Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,"Adeline, Resplendent Cathar",MID,,,,,,
main,1,Angel of Glory's Rise,AVR,,,,,,
main,1,Anointed Procession,AKH,,,,,,
main,1,Arcane Signet,C20,,,,,,
main,1,Arid Mesa,MM3,,,,,,
main,1,Badlands,3ED,,,,,,
main,1,Bastion Protector,C15,,,,,,
main,1,Blood Crypt,RNA,,,,,,
main,1,Bloodstained Mire,KTK,,,,,,
main,1,Castle Ardenvale,ELD,,,,,,
main,1,Cathars' Crusade,C16,,,,,,
main,1,Cavern of Souls,AVR,,,,,,
main,1,Champion of the Parish,ISD,,,,,,
main,1,Command Tower,ELD,,,,,,
main,1,Cover of Darkness,ONS,,,,,,
maybe,1,Damn,,,,,,,
main,1,Damnation,TSR,,,,,,
main,1,Demonic Tutor,3ED,,,,,,
main,1,Diabolic Intent,PLS,,,,,,
main,1,Dictate of Erebos,JOU,,,,,,
main,1,Drannith Magistrate,IKO,,,,,,
main,1,Esper Sentinel,MH2,,,,,,
main,1,Fleshtaker,MID,,,,,,
main,1,General Kudro of Drannith,IKO,,,,,,
main,1,"Gisa, Glorious Resurrector",MID,,,,,,
main,1,Godless Shrine,RNA,,,,,,
main,1,Graven Cairns,SHM,,,,,,
main,1,Hanweir Battlements,EMN,,,,,,
main,1,Hanweir Garrison,EMN,,,,,,
main,1,Hanweir Militia Captain,SOI,,,,,,
main,1,Herald's Horn,C17,,,,,,
main,1,Homeward Path,CMD,,,,,,
main,1,Intrepid Adversary,MID,,,,,,
main,1,"Jerren, Corrupted Bishop",MID,,,,,,
main,1,Jirina Kudro,C20,,,,,,
main,1,Keeper of the Accord,CMR,,,,,,
main,1,Kindred Dominance,C17,,,,,,
main,1,Luxury Suite,BBD,,,,,,
main,1,"Mangara, the Diplomat",M21,,,,,,
main,1,Marsh Flats,MM3,,,,,,
main,1,Mentor of the Meek,M19,,,,,,
main,1,Metallic Mimic,AER,,,,,,
main,1,"Michiko Konda, Truth Seeker",SOK,,,,,,
main,1,"Mikaeus, the Lunarch",ISD,,,,,,
main,1,Molten Echoes,C20,,,,,,
main,1,Moorland Rescuer,MIC,,,,,,
main,1,Morbid Opportunist,MID,,,,,,
main,1,Mountain,M21,,,,,,
main,1,Norin the Wary,TSP,,,,,,
main,1,Obelisk of Urd,ZNC,,,,,,
main,1,Odric's Outrider,MID,,,,,,
main,1,"Odric, Lunarch Marshal",C20,,,,,,
main,1,Outlaws' Merriment,ELD,,,,,,
main,1,Patriarch's Bidding,MH2,,,,,,
main,1,Phyrexian Tower,UMA,,,,,,
main,6,Plains,M21,,,,,,
main,1,Plateau,3ED,,,,,,
main,1,Priest of Forgotten Gods,RNA,,,,,,
main,1,Prowling Geistcatcher,MIC,,,,,,
main,1,Reconnaissance,EXO,,,,,,
main,1,Reflecting Pool,CNS,,,,,,
main,1,Reliquary Tower,C15,,,,,,
main,1,Rite of Oblivion,MID,,,,,,
main,1,Rogue's Passage,ORI,,,,,,
maybe,1,Ruinous Ultimatum,,,,,,,
main,1,Sacred Foundry,GTC,,,,,,
main,1,Scrubland,3ED,,,,,,
main,1,Serra Ascendant,IMA,,,,,,
main,1,"Shizo, Death's Storehouse",CHK,,,,,,
main,1,"Silvar, Devourer of the Free",C20,,,,,,True
main,1,Skullclamp,C20,,,,,,
main,1,Smothering Tithe,RNA,,,,,,
main,1,Sol Ring,C20,,,,,,
main,1,Soul Warden,EXO,,,,,,
main,1,Soul's Attendant,ROE,,,,,,
main,1,Species Specialist,C20,,,,,,
main,1,Spectator Seating,CMR,,,,,,
main,1,Swamp,M21,,,,,,
main,1,"Syr Konrad, the Grim",ELD,,,,,,
main,1,"Tajic, Legion's Edge",GRN,,,,,,
main,1,Teferi's Protection,C17,,,,,,
main,1,Teysa Karlov,RNA,,,,,,
main,1,Thalia's Lieutenant,C20,,,,,,
main,1,The Meathook Massacre,MID,,,,,,
main,1,The Ozolith,IKO,,,,,,
maybe,1,Titan Hunter,,,,,,,
main,1,Toxic Deluge,2XM,,,,,,
main,1,"Trynn, Champion of Freedom",C20,,,,,,True
main,1,Unclaimed Territory,C20,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",M15,,,,,,
main,1,Vampiric Tutor,EMA,,,,,,
main,1,Vanquisher's Banner,XLN,,,,,,
main,1,Vault of Champions,CMR,,,,,,
main,1,Vault of the Archangel,MD1,,,,,,
main,1,Volrath's Stronghold,STH,,,,,,
main,1,Witch's Clinic,C21,,,,,,
main,1,Wrath of God,2XM,,,,,,
main,1,Zulaport Cutthroat,C20,,,,,,
