Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Arena,TSB,,,,,,
main,1,Ash Barrens,C16,,,,,,
main,1,Bad River,MIR,,,,,,
main,1,Bant Panorama,ALA,,,,,,
main,1,Blasted Landscape,USG,,,,,,
main,1,Blighted Cataract,BFZ,,,,,,
main,1,Cephalid Coliseum,V12,foil,,,,,
main,1,Cradle of the Accursed,AKH,,,,,,
main,1,Dark Depths,V16,foil,,,,,
main,1,Desert,V12,foil,,,,,
main,1,Desert of the Mindful,HOU,,,,,,
main,1,Dread Statuary,DDM,,,,,,
main,1,Drownyard Temple,SOI,,,,,,
main,1,Dust Bowl,MMQ,,,,,,
main,1,Esper Panorama,ALA,,,,,,
main,1,Evolving Wilds,M15,,,,,,
main,1,Faerie Conclave,C13,,,,,,
main,1,Fathom Trawl,LRW,,,,,,
side,1,Field of the Dead,M20,,,,,,
main,1,Flood Plain,MIR,,,,,,
main,1,Foundry of the Consuls,ORI,,,,,,
main,1,Gargoyle Castle,C14,,,,,,
main,1,Geier Reach Sanitarium,EMN,,,,,,
main,1,Ghost Quarter,MD1,,,,,,
main,1,Gitaxian Probe,NPH,,,,,,
main,1,Glacial Chasm,V12,foil,,,,,
main,1,"Gods' Eye, Gate to the Reikai",BOK,,,,,,
main,1,Grixis Panorama,ALA,,,,,,
main,1,Halimar Depths,DDM,,,,,,
main,1,Homeward Path,C13,,,,,,
main,1,Ice Floe,ICE,,,,,,
main,42,Island,M15,,,,,,
maybe,1,"Kaho, Minamo Historian",SOK,,,,,,
main,1,Laboratory Maniac,ISD,,,,,,
main,1,Lonely Sandbar,C14,,,,,,
main,1,Mana Severance,TMP,,,,,,
main,1,Maze of Ith,EMA,,,,,,
main,1,Mishra's Factory,EMA,,,,,,
main,1,Mutavault,M14,,,,,,
main,1,Myriad Landscape,C14,,,,,,
maybe,1,Mystical Tutor,6ED,,,,,,
main,1,Oasis,4ED,,,,,,
main,1,Petrified Field,ODY,,,,,,
main,1,Quicksand,WWK,,,,,,
main,1,Remote Isle,C14,,,,,,
main,1,Riptide Laboratory,ONS,,,,,,
main,1,Soldevi Excavations,ALL,,,,,,
main,1,Spawning Bed,BFZ,,,,,,
main,1,Springjack Pasture,C13,,,,,,
main,1,Stalking Stones,TMP,,,,,,
main,1,Svyelunite Temple,6ED,,,,,,
main,1,Swarmyard,TSP,,,,,,
main,1,Tectonic Edge,WWK,,,,,,
main,1,"Teferi, Mage of Zhalfir",TSP,,,,,,True
main,1,Terminal Moraine,PLS,,,,,,
main,1,Terrain Generator,NMS,,,,,,
main,1,Terramorphic Expanse,MMA,,,,,,
main,1,Thespian's Stage,GTC,,,,,,
main,1,Tolaria West,V16,foil,,,,,
main,1,Urza's Factory,TSP,,,,,,
main,1,Warped Landscape,SOI,,,,,,
main,1,Zoetic Cavern,FUT,,,,,,
