Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Agent of Treachery,,,,,,,
main,1,Altered Ego,,,,,,,
main,1,Ash Barrens,,,,,,,
main,1,Ashnod's Altar,,,,,,,
main,1,Barrage of Expendables,,,,,,,
main,1,Beastmaster Ascension,,,,,,,
main,1,Beneath the Sands,,,,,,,
main,1,Birds of Paradise,,,,,,,
main,1,Bloodshot Cyclops,,,,,,,
main,1,Bonds of Mortality,,,,,,,
main,1,Breeding Pool,,,,,,,
main,1,Captivating Crew,,,,,,,
main,1,Chamber of Manipulation,,,,,,,
main,1,City of Brass,,,,,,,
main,1,Claws of Gix,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Commander's Sphere,,,,,,,
main,1,Conquering Manticore,,,,,,,
main,1,Control Magic,,,,,,,
main,1,Counterspell,,,,,,,
main,1,Cultivate,,,,,,,
main,1,Cultivator's Caravan,,,,,,,
main,1,Dack's Duplicate,,,,,,,
main,1,Darksteel Ingot,,,,,,,
main,1,Deadeye Navigator,,,,,,,
main,1,Decimate,,,,,,,
main,1,Destructive Revelry,,,,,,,
main,1,Djinn of Infinite Deceits,,,,,,,
main,1,Dualcaster Mage,,,,,,,
main,1,"Edric, Spymaster of Trest",,,,,,,
main,1,Evolutionary Escalation,,,,,,,
main,1,Evolving Wilds,,,,,,,
main,1,Fabled Passage,,,,,,,
main,1,Fling,,,,,,,
main,1,Followed Footsteps,,,,,,,
main,5,Forest,,,,,,,
main,1,Frenzied Fugue,,,,,,,
main,1,Frontier Bivouac,,,,,,,
main,1,Fury Storm,,,,,,,
main,1,Game Plan,,,,,,,
main,1,Grab the Reins,,,,,,,
main,1,Grand Coliseum,,,,,,,
main,1,Guided Passage,,,,,,,
main,1,Hero's Blade,,,,,,,
main,1,Impulse,,,,,,,
main,1,In Bolas's Clutches,,,,,,,
main,5,Island,,,,,,,
main,1,Kodama's Reach,,,,,,,
main,1,Lifecrafter's Bestiary,,,,,,,
main,1,Makeshift Munitions,,,,,,,
main,1,Mana Confluence,,,,,,,
main,1,Mizzium Transreliquat,,,,,,,
main,1,Molten Primordial,,,,,,,
main,5,Mountain,,,,,,,
main,1,Opal Palace,,,,,,,
main,1,Order of Succession,,,,,,,
main,1,Perplexing Chimera,,,,,,,
main,1,Progenitor Mimic,,,,,,,
main,1,Protean Raider,,,,,,,
main,1,Rattleclaw Mystic,,,,,,,
main,1,Reality Shift,,,,,,,
main,1,Reverberate,,,,,,,
main,1,Rishkar's Expertise,,,,,,,
main,1,Rugged Highlands,,,,,,,
main,1,Saheeli's Artistry,,,,,,,
main,1,Sheltered Thicket,,,,,,,
main,1,Shivan Reef,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Spelltwine,,,,,,,
main,1,Spitting Image,,,,,,,
main,1,Spring / Mind,,,,,,,
main,1,Steam Vents,,,,,,,
main,1,Stitcher's Graft,,,,,,,
main,1,Stomping Ground,,,,,,,
main,1,Swiftwater Cliffs,,,,,,,
main,1,Terramorphic Expanse,,,,,,,
main,1,Thornwood Falls,,,,,,,
main,1,Trygon Predator,,,,,,,
main,1,Vizier of Many Faces,,,,,,,
main,1,Voyaging Satyr,,,,,,,
main,1,Warped Landscape,,,,,,,
main,1,Whisperer of the Wilds,,,,,,,
main,1,Wild Ricochet,,,,,,,
main,1,Word of Seizing,,,,,,,
main,1,Yasova Dragonclaw,,,,,,,True
main,1,Yavimaya Coast,,,,,,,
main,1,Yavimaya's Embrace,,,,,,,
main,1,Zealous Conscripts,,,,,,,
