Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Acidic Slime,,,,,,,
main,1,Arcane Lighthouse,,,,,,,
main,1,Assassin's Trophy,,,,,,,
main,1,Attrition,,,,,,,
main,1,Avenger of Zendikar,,,,,,,
main,1,Awakening Zone,,,,,,,
main,1,Bastion of Remembrance,,,,,,,
main,1,Beacon of Unrest,,,,,,,
main,1,Bedevil,AFC,,,,,,
main,1,Blackcleave Cliffs,,,,,,,
main,1,Blood Artist,,,,,,,
main,1,Blood Crypt,,,,,,,
main,1,Bloodstained Mire,,,,,,,
main,1,Burnished Hart,,,,,,,
main,1,Butcher of Malakir,,,,,,,
main,1,Caller of the Claw,,,,,,,
main,1,Catacomb Sifter,,,,,,,
main,1,Champion of Stray Souls,,,,,,,
main,1,Cinder Glade,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Commander's Sphere,MIC,,,,,,
main,1,Diabolic Intent,,,,,,,
main,1,Dictate of Erebos,,,,,,,
main,1,Disciple of Bolas,,,,,,,
main,1,Dragonskull Summit,,,,,,,
main,1,Dread Return,,,,,,,
main,1,Eternal Witness,,,,,,,
main,1,Evolving Wilds,,,,,,,
main,1,Fecundity,,,,,,,
main,1,Fiend Artisan,,,,,,,
main,1,Finale of Devastation,,,,,,,
main,8,Forest,,,,,,,
main,1,From Beyond,,,,,,,
main,1,"Garruk, Apex Predator",,,,,,,
main,1,Genesis,,,,,,,
main,1,Goblin Bombardment,,,,,,,
main,1,Goblin Sharpshooter,,,,,,,
main,1,Grave Pact,,,,,,,
main,1,Grim Backwoods,,,,,,,
main,1,Hangarback Walker,,,,,,,
main,1,Helm of Possession,,,,,,,
main,1,Hornet Queen,,,,,,,
main,1,"Izoni, Thousand-Eyed",,,,,,,
main,1,Journey to Eternity,,,,,,,
main,1,Krosan Grip,,,,,,,
main,1,"Liliana, Dreadhorde General",,,,,,,
main,1,Mayhem Devil,,,,,,,
main,1,"Mazirek, Kraul Death Priest",,,,,,,
main,1,Meren of Clan Nel Toth,,,,,,,
main,1,Mogg War Marshal,,,,,,,
main,3,Mountain,,,,,,,
main,1,Mycoloth,,,,,,,
main,1,Olivia Voldaren,,,,,,,
main,1,Outpost Siege,,,,,,,
main,1,Overgrown Tomb,,,,,,,
main,1,Poison-Tip Archer,,,,,,,
main,1,Primal Growth,,,,,,,
main,1,"Purphoros, God of the Forge",,,,,,,
main,1,Revel in Riches,,,,,,,
main,1,Rise of the Dread Marn,KHM,,,,,,
main,1,Rootbound Crag,,,,,,,
main,1,Sakura-Tribe Elder,,,,,,,
main,1,Savage Lands,,,,,,,
main,1,Shattergang Brothers,,,,,,,True
main,1,"Sheoldred, Whispering One",,,,,,,
main,1,"Sidisi, Undead Vizier",,,,,,,
main,1,Smoldering Marsh,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Solemn Simulacrum,,,,,,,
main,1,Sprouting Thrinax,,,,,,,
main,1,Stomping Ground,,,,,,,
main,7,Swamp,,,,,,,
main,1,Tempt with Discovery,,,,,,,
main,1,Terramorphic Expanse,,,,,,,
main,1,"Tymaret, the Murder King",,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",,,,,,,
main,1,Vicious Shadows,,,,,,,
main,1,Viridian Emissary,,,,,,,
main,1,Vraska the Unseen,,,,,,,
main,1,"Vraska, Relic Seeker",,,,,,,
main,1,Westvale Abbey,,,,,,,
main,1,Wooded Foothills,,,,,,,
main,1,Woodland Cemetery,,,,,,,
main,1,Wurmcoil Engine,,,,,,,
main,1,Zulaport Cutthroat,,,,,,,
