Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Abundant Growth,,,,,,,
main,1,"Ajani, the Greathearted",WAR,,,,,,
main,1,All That Glitters,ELD,,,,,,
main,1,Azorius Chancery,GK2,,,,,,
main,1,Azorius Guildgate,,,,,,,
main,1,Blind Obedience,,,,,,,
main,1,Blossoming Sands,KTK,,,,,,
main,1,Bountiful Promenade,BBD,,,,,,
main,1,Brazen Borrower,ELD,,,,,,
main,1,Cancel,M19,,,,,,
main,1,Charming Prince,ELD,,,,,,
main,1,Chromatic Lantern,RTR,,,,,,
main,1,Collector Ouphe,MH1,,,,,,
main,1,Comeuppance,C14,,,,,,
main,1,Conjurer's Closet,AVR,,,,,,
main,1,Counterspell,A25,,,,,,
main,1,Cultivate,C13,,,,,,
main,1,Detection Tower,M19,,,,,,
main,1,Doubling Season,BBD,,,,,,
main,1,Dryad of the Ilysian Grove,THB,,,,,,
main,1,Eternal Witness,MMA,,,,,,
main,1,Evolving Wilds,C17,,,,,,
main,1,Exotic Orchard,C16,,,,,,
main,1,Faeburrow Elder,ELD,,,,,,
main,1,Faerie Conclave,ULG,,,,,,
main,1,Faerie Harbinger,LRW,,,,,,
main,1,Faerie Noble,HML,,,,,,
main,1,Farhaven Elf,SHM,,,,,,
main,1,Fertile Ground,LRW,,,,,,
main,1,Fog,4ED,,,,,,
main,1,Folio of Fancies,ELD,foil,,,,,
main,1,Force of Negation,MH1,,,,,,
main,5,Forest,,,,,,,
main,1,Gilded Goose,ELD,,,,,,
main,1,Gingerbread Cabin,ELD,,,,,,
main,1,Glen Elendra Archmage,EVE,,,,,,
main,1,Guildmages' Forum,GRN,,,,,,
main,1,Hallowed Fountain,RNA,,,,,,
main,1,Hushbringer,ELD,foil,,,,,
main,1,Hypnotic Sprite,ELD,,,,,,
main,5,Island,,,,,,,
main,1,Kenrith's Transformation,ELD,,,,,,
main,1,Kodama's Reach,CHK,,,,,,
main,1,Krosan Grip,,,,,,,
main,1,Lightning Greaves,CMD,,,,,,
main,1,Llanowar Elves,DOM,,,,,,
main,1,Lovestruck Beast,ELD,,,,,,
main,1,Luminarch Ascension,ZEN,,,,,,
main,1,Maraleaf Pixie,ELD,,,,,,
main,1,Martyr's Bond,SS2,foil,,,,,
main,1,Master of the Wild Hunt,A25,,,,,,
main,1,Midnight Clock,ELD,,,,,,
main,1,Midsummer Revel,USG,,,,,,
main,1,Mirrormade,ELD,,,,,,
main,1,"Nissa, Vital Force",KLD,,,,,,
main,1,"Oko, the Trickster",ELD,foil,,,,,
main,1,"Oko, Thief of Crowns",ELD,foil,,,,,
main,1,Overwhelming Splendor,,,,,,,
main,1,Parallel Lives,ISD,,,,,,
main,1,Path to Exile,SS2,foil,,,,,
main,4,Plains,RNA,,,,,,
main,1,Privileged Position,RAV,,,,,,
main,1,Progenitor Mimic,DGM,,,,,,
main,1,Ranger's Path,M13,,,,,,
main,1,Reliquary Tower,,,,,,,
main,1,Rest in Peace,SS2,foil,,,,,
main,1,Rite of Replication,ZEN,,,,,,
main,1,Rubinia Soulsinger,LEG,,,,,,True
main,1,Search for Tomorrow,TSP,,,,,,
main,1,Seaside Citadel,ALA,,,,,,
main,1,Sejiri Refuge,,,,,,,
main,1,Selesnya Guildgate,GRN,,,,,,
main,1,Selesnya Sanctuary,GK1,,,,,,
main,1,Selesnya Signet,GK1,,,,,,
main,1,Simic Growth Chamber,DIS,,,,,,
main,1,Swan Song,THS,,,,,,
main,1,Swiftfoot Boots,C16,,,,,,
main,1,Tendershoot Dryad,RIX,,,,,,
main,1,Terramorphic Expanse,CM1,,,,,,
main,1,Tranquil Cove,KTK,,,,,,
main,1,Transguild Promenade,RTR,,,,,,
main,1,"Trostani, Selesnya's Voice",RTR,,,,,,
main,1,Wildborn Preserver,ELD,,,,,,
main,1,Windswept Heath,KTK,,,,,,
main,1,Witching Well,ELD,,,,,,
main,1,Wood Elves,C14,,,,,,
main,1,Wrath of God,V14,foil,,,SL,,
