Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ancient Stirrings,ROE,foil,,,,,
main,1,Avenger of Zendikar,,foil,,True,,,
main,1,"Azusa, Lost but Seeking",000,foil,,,,,
main,1,Beast Within,CN2,foil,,,,,
main,1,Caged Sun,NPH,foil,,,,,
main,1,Chord of Calling,M15,foil,,,,,
main,1,Command Beacon,000,foil,,,,,
main,1,Concordant Crossroads,CHR,,,,,,
main,1,Constant Mists,STH,,,,,,
main,1,Courser of Kruphix,000,foil,,,,,
maybe,1,Court of Bounty,,,,,,,
main,1,Craterhoof Behemoth,MM3,,,True,,,
main,1,Crop Rotation,ULG,foil,,,,,
main,1,Crucible of Worlds,M19,foil,,,,,
main,1,Cryptic Caves,M20,,,,,,
main,1,Crystal Vein,GRV,foil,,,,,
main,1,Cultivate,FNM,foil,,,,,
main,1,Desert of the Indomitable,HOU,foil,,,,,
main,1,Dryad Arbor,V12,foil,,,,,
main,1,Edge of Autumn,FUT,foil,,,,,
main,1,Elemental Bond,ORI,foil,,,,,
main,1,Elvish Reclaimer,M20,pre,,,,,
main,1,Eternal Witness,MMA,foil,,,,,
main,1,Evolving Wilds,M15,foil,,,,,
main,1,Expedition Map,MM2,foil,,,,,
main,1,Exploration,CNS,foil,,,,,
maybe,1,Fabled Passage,,,,,,,
main,1,Finale of Devastation,,foil,,,,,
maybe,1,Force of Vigor,,,,,,,
maybe,1,Gilded Goose,,,,,,,
main,1,Glacial Chasm,V12,foil,,,,,
main,1,Grazing Gladehart,ZEN,foil,,,,,
main,1,Greater Good,BBD,foil,,,,,
main,1,Green Sun's Zenith,EMA,foil,,,,,
maybe,1,Hall of Gemstone,,,,,,,
main,1,Harrow,INV,foil,,,,,
main,1,Haven of the Spirit Dragon,DTK,foil,,,,,
main,1,Hickory Woodlot,MMQ,foil,,,,PT,
main,1,Hour of Promise,HOU,foil,,,,,
main,1,Kodama's Reach,MMA,foil,,,,,
main,1,Life from the Loam,MMA,foil,,,,,
main,1,Lotus Cobra,ZEN,foil,,,,,
main,1,Lotus Field,M20,pre,,,,,
main,1,Misty Rainforest,MM3,foil,,,,,
main,1,Mouth of Ronom,CSP,,,,,,
maybe,1,Mox Diamond,,,,,,,
main,1,Natural Affinity,8ED,foil,,,,,
maybe,1,Nature's Lore,,,,,,,
main,1,Nissa's Triumph,WAR,foil,,,,,
main,1,"Nissa, Vastwood Seer",ORI,foil,,,,,
main,1,"Nissa, Vital Force",KLD,foil,,,,,
main,1,"Nissa, Who Shakes the World",WAR,foil,,,,,
maybe,1,Noxious Revival,,,,,,,
main,1,Nylea's Intervention,THB,foil,,,,,
main,1,Oracle of Mul Daya,,foil,,,,,
main,1,Primal Command,MM3,foil,,,,,
maybe,1,Prismatic Vista,,,,,,,
main,1,Ramunap Excavator,HOU,pre,,,,,
main,1,Realms Uncharted,ROE,foil,,,,,
maybe,1,Reap and Sow,,,,,,,
main,1,Reclaim,ORI,foil,,,,,
main,1,Reclamation Sage,M15,foil,,,,,
main,1,Regal Behemoth,CN2,foil,,,,,
main,1,Regrowth,A25,foil,,True,,,
maybe,1,Road of Return,,,,,,,
main,1,Scapeshift,M19,foil,,,,,
main,1,Scavenger Grounds,HOU,pre,,,,,
main,1,Seasons Past,SOI,foil,,,,,
main,1,Shamanic Revelation,000,foil,,,,,
main,1,Shared Summons,M20,pre,,,,,
main,17,Snow-Covered Forest,MH1,,,,,,
main,1,Snow-Covered Forest,MH1,foil,,,,,
main,1,Sol Ring,C14,,,,,,
main,1,Splendid Reclamation,EMN,foil,,,,,
main,1,Strip Mine,V09,foil,,,,,
main,1,Summer Bloom,VIS,,,,,,
main,1,Summoner's Pact,A25,,,,,,
maybe,1,Sylvan Anthem,,,,,,,
main,1,Sylvan Library,CMA,foil,,,,,
main,1,Sylvan Safekeeper,JUD,foil,,,,,
main,1,Sylvan Scrying,MRD,foil,,,,,
main,1,Tectonic Edge,000,foil,,,,,
main,1,Terramorphic Expanse,M11,foil,,True,,,
maybe,1,Three Visits,,,,,,,
maybe,1,Tireless Provisioner,,,,,,,
main,1,Tireless Tracker,SOI,pre,,,,,
main,1,"Titania, Protector of Argoth",C14,,,,,,True
main,1,Tranquil Thicket,ONS,foil,,,,,
main,1,Traverse the Ulvenwald,SOI,pre,,,,,
main,1,Turntimber Sower,C18,,,,,,
main,1,"Ugin, the Ineffable",WAR,foil,,,,,
main,1,"Ugin, the Spirit Dragon",FRF,foil,,,,,
main,1,Verdant Catacombs,ZEN,foil,,,,,
main,1,Wasteland,EMA,foil,,,,,
main,1,Wayward Swordtooth,RIX,pre,,,,,
maybe,1,Wildest Dreams,,,,,,,
main,1,Windswept Heath,KTK,foil,,,,,
main,1,Wooded Foothills,KTK,foil,,,,,
main,1,World Breaker,OGW,foil,,,,,
maybe,1,Worldly Tutor,,,,,,,
