Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Arcane Signet,,,,,,,
maybe,1,Archetype of Imagination,,,,,,,
maybe,1,Archmage Ascension,,,,,,,
maybe,1,As Foretold,,,,,,,
maybe,1,Back to Basics,UMA,,,,,,
main,1,Bident of Thassa,,,,,,,
side,1,Blatant Thievery,,,,,,,
main,1,Breaching Leviathan,,,,,,,
main,1,Burnished Hart,,,,,,,
main,1,Caged Sun,,,,,,,
main,1,Castle Vantress,,,,,,,
side,1,"Charix, the Raging Isle",ZNR,,,,,,
main,1,Chasm Skulker,,,,,,,
main,1,Colossal Whale,,,,,,,
maybe,1,Concentrate,,,,,,,
main,1,Coral Atoll,,,,,,,
maybe,1,Crush of Tentacles,,,,,,,
maybe,1,Cyclonic Rift,,,,,,,
main,1,Deep-Sea Kraken,,,,,,,
main,1,Displacement Wave,,,,,,,
side,1,Dissipation Field,,,,,,,
main,1,Dragon Turtle,,,,,,,
side,1,Draining Whelk,,,,,,,
side,1,Engulf the Shore,,,,,,,
main,1,Field of Ruin,,,,,,,
side,1,Floodgate,,,,,,,
maybe,1,Flusterstorm,,,,,,,
main,1,Gauntlet of Power,MPS,,,,,,
main,1,Gilded Lotus,,,,,,,
main,1,Gomazoa,,,,,,,
main,1,Guard Gomazoa,,,,,,,
main,1,Halimar Depths,,,,,,,
main,1,Hard Evidence,,,,,,,
main,1,High Tide,FEM,,,,,,
main,1,Ichthyomorphosis,,,,,,,
main,1,Inkwell Leviathan,,,,,,,
maybe,1,Into the Roil,,,,,,,
main,1,Inundate,,,,,,,
main,24,Island,,,,,,,
maybe,1,Kederekt Leviathan,,,,,,,
main,1,Kefnet's Monument,,,,,,,
side,1,Kiora Bests the Sea God,,,,,,,
maybe,1,Kiora's Dambreaker,,,,,,,
maybe,1,Kraken Hatchling,,,,,,,
main,1,Leyline of Anticipation,,,,,,,
main,1,Lightning Greaves,,,,,,,
side,1,Lonely Sandbar,,,,,,,
main,1,"Lorthos, the Tidemaker",,,,,,,
main,1,Mana Drain,,,,,,,
main,1,Mesmerizing Benthid,,,,,,,
main,1,Mystic Reflection,KHM,,,,,,
main,1,Mystic Remora,,,,,,,
main,1,Mystic Sanctuary,,,,,,,
main,1,Nadir Kraken,THB,,,,,,
main,1,"Nykthos, Shrine to Nyx",,,,,,,
main,1,Nyx Lotus,,,,,,,
side,1,Octoprophet,,,,,,,
maybe,1,Ominous Seas,,,,,,,
maybe,1,Pearl Lake Ancient,,,,,,,
main,1,Pongify,,,,,,,
main,1,Propaganda,,,,,,,
main,1,Pursued Whale,M21,,,,,,
main,1,Quest for Ula's Temple,,,,,,,
main,1,Quicksilver Amulet,,,,,,,
maybe,1,Quicksilver Fountain,,,,,,,
main,1,Rapid Hybridization,,,,,,,
main,1,Ravenform,,,,,,,
main,1,Reality Shift,,,,,,,
maybe,1,Reef Worm,,,,,,,
main,1,Reliquary Tower,,,,,,,
main,1,Rhystic Study,,,,,,,
main,1,Rogue's Passage,,,,,,,
main,1,Rush of Knowledge,,,,,,,
main,1,Sapphire Medallion,,,,,,,
main,1,Scavenger Grounds,,,,,,,
main,1,Scourge of Fleets,000,,,,,,
side,1,Scuttletide,,,,,,,
main,1,Sea Gate Restoration,,,,,,,
main,1,Sea-Dasher Octopus,,,,,,,
maybe,1,Sealock Monster,,,,,,,
main,1,Serpent of Yawning Depths,,,,,,,
main,1,Shark Typhoon,IKO,,,,,,
main,1,Shipbreaker Kraken,,,,,,,
main,1,"Slinn Voda, the Rising Deep",,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Spawning Kraken,C21,,,,,,
side,1,Spectral Deluge,,,,,,,
main,1,Stormsurge Kraken,,,,,,,
main,1,Stormtide Leviathan,,foil,,,,,
main,1,Swiftfoot Boots,,,,,,,
main,1,Synthetic Destiny,,,,,,,
maybe,1,Tectonic Edge,,,,,,,
main,1,"Teferi, Temporal Archmage",,,,,,,
main,1,Temple of the False God,,,,,,,
main,1,"Thassa, God of the Sea",,,,,,,
maybe,1,Thought Sponge,,,,,,,
main,1,Thran Dynamo,,,,,,,
main,1,"Thryx, the Sudden Storm",THB,,,,,,True
main,1,Tidal Barracuda,,,,,,,
maybe,1,Tidal Force,,,,,,,
main,1,Tidal Kraken,,,,,,,
main,1,Tidal Wave,,,,,,,
main,1,Trench Behemoth,,,,,,,
maybe,1,Trench Gorger,,,,,,,
main,1,Tromokratis,000,,,,,,
maybe,1,Void Stalker,,,,,,,
main,1,Voracious Greatshark,IKO,,,,,,
side,1,Waker of Waves,,,,,,,
main,1,Wash Out,,,,,,,
main,1,Wayfarer's Bauble,,,,,,,
main,1,Whelming Wave,,,,,,,
