Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Allure of the Unknown,THB,foil,,,,,
main,1,Alpine Meadow,KHM,foil,,,,,
main,1,Anguished Unmaking,SOI,,,,,,
main,1,Approach of the Second Sun,AKH,,,,,,
main,1,Assemble the Legion,GTC,foil,True,True,,,
main,1,Battlefield Forge,M15,,,,,,
main,1,Bedevil,RNA,,,,,,
main,1,Beseech the Queen,HOP,,,,,,
main,1,Blackblade Reforged,DOM,foil,,,,,
main,1,Blasphemous Act,ISD,,,,,,
main,1,Bolas's Citadel,000,foil,,,,,
main,1,Boros Garrison,MM2,foil,,,,,
main,1,Boros Signet,RAV,foil,,,,,
main,1,Burning Sands,ODY,,,,,,
main,1,Canyon Slough,,foil,,,,,
maybe,1,Castle Ardenvale,,,,,,,
main,1,Castle Locthwain,ELD,foil,,,,,
main,1,"Chandra, Flamecaller",OGW,foil,,,,,
main,1,Chromatic Lantern,C16,,,,,,
main,1,Command Tower,CMR,foil,,,,,
main,1,Concealed Courtyard,,,,,,,
main,1,Cut / Ribbons,AKH,foil,True,,,,
main,1,Damn,MH2,foil,,,,,
main,1,Damnation,MM3,,,,,,
main,1,Day of Judgment,M11,,,,,,
main,1,Debt to the Deathless,DGM,,True,,,,
main,1,Demonic Tutor,DDC,,,,,,
main,1,Devastating Mastery,STX,foil,,,,,
main,1,Doomskar,KHM,foil,,,,,
main,1,Drossforge Bridge,MH2,foil,,,,,
main,1,End Hostilities,KTK,foil,,,,,
maybe,1,Enlightened Tutor,,,,,,,
maybe,1,Esper Sentinel,,,,,,,
main,1,Evolving Wilds,M15,,,,,KO,
main,1,Fires of Invention,ELD,foil,,,,,
main,1,Foreboding Ruins,SOI,,,,,,
main,1,Fumigate,KLD,,,,,,
main,1,Furycalm Snarl,STX,,,,,,
maybe,1,Gift of Estates,,,,,,,
main,1,Goldmire Bridge,MH2,foil,,,,,
maybe,1,Grim Tutor,,,,,,,
main,1,Increasing Ambition,DKA,,,,,,
main,1,Inspiring Vantage,KLD,,,,,,
main,1,Jaya Ballard,DOM,foil,,,,,
main,1,Jokulhaups,5ED,,,,,,
main,1,Kaya's Wrath,RNA,pre,,,,,
main,1,Lavaclaw Reaches,WWK,,,,,,
main,1,Lorehold Campus,STX,foil,,,,,
main,1,Loxodon Warhammer,C14,,,,,,
main,1,Luxury Suite,BBD,,,,,,
main,1,Mana Confluence,JOU,,,,,,
main,1,Merciless Eviction,GTC,foil,,,,,
main,1,Mind Stone,C14,,,,,,
main,4,Mountain,,foil,,,,,
main,1,Needle Spires,OGW,,True,,,,
main,1,Nevinyrral's Disk,EMA,foil,,,,,
main,1,Nomad Outpost,KTK,,,,,,
main,1,Obliterate,V16,foil,,,,,
main,1,Ondu Inversion,ZNR,foil,,,,,
maybe,1,Onward / Victory,,,,,,,
main,1,Opal Palace,CMR,foil,,,,,
main,1,Open the Armory,SOI,,,,,,
main,1,Orzhov Signet,MM3,foil,,,,,
main,1,Path of Ancestry,CMR,foil,,,,,
main,1,Phyrexian Arena,CN2,,,,,,
main,3,Plains,,foil,,,,,
main,1,Profane Tutor,MH2,foil,,,,,
main,1,Pyroblast,EMA,,,,,,
main,1,Rakdos Carnarium,MM2,foil,,,,,
main,1,Rakdos Signet,C16,,,,,,
main,1,Reconstruct History,STX,foil,,,,,
main,1,Rogue's Passage,CN2,,,,,,
main,1,Rout,CNS,,,,,,
main,1,Ruinous Ultimatum,IKO,foil,,,,,
main,1,Rustvale Bridge,MH2,foil,,,,,
main,1,Savai Crystal,IKO,foil,,,,,
maybe,1,Savai Triome,,,,,,,
maybe,1,Shadowspear,,,,,,,
main,1,Shambling Vent,BFZ,,,,,,
main,1,Shatter the Sky,THB,foil,,,,,
main,1,Silverquill Campus,STX,foil,,,,,
main,1,Skyclave Relic,ZNR,foil,,,,,
maybe,1,Smothering Tithe,,,,,,,
main,1,Snowfield Sinkhole,KHM,foil,,,,,
main,1,Sol Ring,C14,,,,,,
main,1,Sublime Exhalation,C16,,,,,,
main,1,Sulfurous Mire,KHM,foil,,,,,
main,2,Swamp,,foil,,,,,
main,1,Swords to Plowshares,IMA,foil,,,,,
main,1,Tainted AEther,USG,,,,,,
main,1,Temple of Malice,BNG,foil,,,,,
main,1,Temple of Silence,THS,,,,,,
main,1,Temple of Triumph,THS,foil,True,True,,,
main,1,Terramorphic Expanse,PDS,foil,,,,,
main,1,Thriving Bluff,JMP,,,,,,
main,1,Toxic Deluge,EMA,,,,,,
main,1,Utter End,000,foil,,,,,
main,1,Valakut Awakening,ZNR,foil,,,,,
maybe,1,Vampiric Tutor,,,,,,,
main,1,Vanquish the Horde,MID,foil,,,,,
main,1,Vindicate,EMA,,,,,,
main,1,Volcanic Vision,DTK,pre,,,,,
main,1,Wrath of God,EMA,foil,,,,,
main,1,Zurgo Helmsmasher,KTK,foil,True,,,,True
