Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Accursed Witch,SOI,,,,,,
main,1,Agent of Erebos,JOU,,,,,,
main,1,Artificer's Hex,M14,,,,,,
acquire,1,Bake into a Pie,,,,,,,
main,1,Barrow Witches,,,,,,,
main,1,Bitterheart Witch,ISD,,,,,,
main,1,Blightcaster,ORI,,,,,,
main,1,Bog Witch,ARC,,,,,,
main,1,Bogbrew Witch,M14,,,,,,
main,1,Bubbling Cauldron,M14,,,,,,
main,1,Cackling Witch,MMQ,,,,,,
main,1,Caligo Skin-Witch,DOM,,,,,,
main,1,Captive Audience,,,,,,,
acquire,1,Cauldron Familiar,,,,,,,
main,1,Chittering Witch,,,,,,,
main,1,Circle of Affliction,PLC,,,,,,
main,1,Command Tower,C17,,,,,,
main,1,Crumbling Necropolis,C17,,,,,,
main,1,Curse of Death's Hold,ISD,,,,,,
main,1,Curse of Echoes,DKA,,,,,,
acquire,1,Curse of Fool's Wisdom,C19,,,,,,
main,1,Curse of Inertia,,,,,,,
main,1,Curse of Misfortunes,DKA,,,,,,
main,1,Curse of Oblivion,ISD,,,,,,
main,1,Curse of Opulence,C17,,,,,,
main,1,Curse of Shaken Faith,MID,,,,,,
main,1,Curse of Shallow Graves,C13,,,,,,
main,1,Curse of Stalked Prey,ISD,,,,,,
main,1,Curse of Surveillance,MID,,,,,,
acquire,1,Curse of Surveillance,MID,,,,,,
main,1,Curse of Thirst,DKA,,,,,,
main,1,Curse of Vengeance,C16,,,,,,
main,1,Curse of Wizardry,ROE,,,,,,
main,1,Daxos's Torment,C15,,,,,,
main,1,Decree of Pain,C17,,,,,,
main,1,Desolate Lighthouse,AVR,,,,,,
main,1,Dimir Aqueduct,C17,,,,,,
main,1,Dreamspoiler Witches,MMA,,,,,,
main,1,Evolving Wilds,DKA,,,,,,
main,1,"Exava, Rakdos Blood Witch",DGM,,,,,,
main,1,Festering Newt,M14,,,,,,
main,1,Frogify,,,,,,,
main,1,Geier Reach Sanitarium,EMN,,,,,,
main,1,Ghost Quarter,ISD,,,,,,
main,1,Hex,CMD,,,,,,
main,1,Inkfathom Witch,PC2,,,,,,
main,4,Island,SHM,,,,,,
main,1,Izzet Guildgate,,,,,,,
main,1,Jar of Eyeballs,DKA,,,,,,
main,1,Kindly Stranger,SOI,,,,,,
main,1,Knucklebone Witch,LRW,,,,,,
main,1,Malakir Bloodwitch,C17,,,,,,
main,3,Mountain,ISD,,,,,,
main,1,"Nekusar, the Mindrazer",,,,,,,True
main,1,Plague Witch,EMA,,,,,,
main,1,Polluted Bonds,SHM,,,,,,
main,1,Polymorph,M10,,,,,,
main,1,Polymorphist's Jest,C17,,,,,,
main,1,Rakdos Carnarium,C17,,,,,,
main,1,Raven Familiar,C13,,,,,,
main,1,Season of the Witch,DRK,,,,,,
main,1,Shipwreck Marsh,MID,,,,,,
acquire,1,Sorcerer's Broom,,,,,,,
main,1,Spiteflame Witch,SHM,,,,,,
main,1,Stensia Bloodhall,ISD,,,,,,
main,17,Swamp,THS,,,,,,
main,1,Tempting Witch,,,,,,,
acquire,1,The Cauldron of Eternity,,,,,,,
main,1,The Fallen,MED,,,,,,
main,1,Thoughtpicker Witch,RAV,,,,,,
main,1,Torment of Scarabs,HOU,,,,,,
main,1,Trespasser's Curse,AKH,,,,,,
main,1,Turn to Frog,,,,,,,
main,1,Vow of Flight,CMD,,,,,,
main,1,Vow of Lightning,,,,,,,
main,1,Vow of Malice,,,,,,,
main,1,Ward of Bones,EVE,,,,,,
main,1,Warteye Witch,MH1,,,,,,
main,1,Wicker Witch,SOI,,,,,,
main,1,Witch's Cottage,,,,,,,
main,1,Witch's Familiar,M15,,,,,,
main,1,Witch's Mist,FUT,,,,,,
main,1,Witch's Oven,,,,,,,
main,1,Witch's Vengeance,,,,,,,
main,1,Witches' Eye,THS,,,,,,
