Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Accomplished Automaton,,,,,,,
main,1,Aether Gale,,,,,,,
main,1,Archipelagore,IKO,,,,,,
main,1,Brilliant Plan,,,,,,,
main,1,Brine Elemental,,,,,,,
main,1,Cataclysmic Gearhulk,,,,,,,
main,1,Chromatic Sphere,,,,,,,
main,1,Cliffhaven Kitesail,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Commander's Sphere,,,,,,,
main,1,Darksteel Ingot,,,,,,,
main,1,Dimir Guildgate,,,,,,,
main,1,Dimir Locket,,,,,,,
main,1,Dismal Backwater,,,,,,,
main,1,Draining Whelk,,,,,,,
main,1,Esper Panorama,AFC,,,,,,
main,1,Expedition Map,,,,,,,
main,1,Fathom Seer,,,,,,,
main,1,Favorable Winds,,,,,,,
main,1,Filigree Angel,,,,,,,
main,1,Flayer Husk,,,,,,,
main,1,Giant's Skewer,,,,,,,
main,1,Glassdust Hulk,,,,,,,
main,1,Goliath Sphinx,,,,,,,
main,1,Grim Tutor,,,,,,,
main,1,Grip of Desolation,,,,,,,
main,1,Guild Globe,,,,,,,
main,1,Infinite Reflection,,,,,,,
main,1,Intellectual Offering,,,,,,,
main,11,Island,,,,,,,
main,1,Malefic Scythe,,,,,,,
main,1,Meandering River,,,,,,,
main,1,Nihil Spellbomb,,,,,,,
main,1,Obelisk of Esper,,,,,,,
main,1,Origin Spellbomb,,,,,,,
main,1,Orzhov Basilica,,,,,,,
main,1,Oswald Fiddlebender,AFR,,,,,,
main,1,Parasitic Strix,,,,,,,
main,1,Phase Dolphin,,,,,,,
main,7,Plains,,,,,,,
main,1,Reef Worm,,,,,,,
main,1,Retreat to Hagra,,,,,,,
main,1,Rush of Knowledge,,,,,,,
main,1,Sanctum Gargoyle,,,,,,,
main,1,Sanguine Bond,,,,,,,
main,1,Sapphire Medallion,,,,,,,
main,1,Shimmering Wings,,,,,,,
main,1,Silver Myr,,,,,,,
main,1,Skinwing,,,,,,,
main,1,Skyscanner,,,,,,,
main,1,Sleep,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Spectral Searchlight,,,,,,,
main,1,Sphinx of the Steel Wind,,,,,,,
main,1,Staggering Insight,,,,,,,
main,1,Star Compass,,,,,,,
main,1,Stitcher Geralf,,,,,,,
main,1,Strandwalker,,,,,,,
main,9,Swamp,,,,,,,
main,1,Swiftfoot Boots,,,,,,,
main,1,"Sydri, Galvanic Genius",C16,,,,,,True
main,1,"Teferi, Temporal Archmage",,,,,,,
main,1,Temple Bell,,,,,,,
main,1,Temple of Deceit,,,,,,,
main,1,Thaumaturge's Familiar,,,,,,,
main,1,Thieving Otter,,,,,,,
main,1,Thopter Foundry,,,,,,,
main,1,Tower Gargoyle,,,,,,,
main,1,Tranquil Cove,,,,,,,
main,1,Transguild Promenade,,,,,,,
main,1,Treasure Keeper,,,,,,,
main,1,Visions of Brutality,,,,,,,
main,1,Vivid Meadow,,,,,,,
main,1,Witching Well,,,,,,,
main,1,Workshop Assistant,,,,,,,
main,1,Worn Powerstone,,,,,,,
