Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,2XM,foil,,,,,
main,1,Akroma's Memorial,TSR,,,,,,
main,1,"Alela, Artful Provocateur",ELD,,,,,,True
main,1,All That Glitters,ELD,,,,,,
main,1,Anguished Unmaking,SLD,,,,,,
main,1,Anointed Procession,AKH,,,,,,
main,1,Arcane Signet,CMR,,,,,,
main,1,Attrition,UDS,,,,,,
main,1,Authority of the Consuls,KLD,,,,,,
main,1,Azorius Signet,DIS,,,,,,
main,1,Bident of Thassa,THS,,,,,,
main,1,Bitterblossom,SLD,,,,,,
main,1,Blessing of the Nephilim,DIS,,,,,,
main,1,Brightclimb Pathway,SLU,foil,,,,,
main,1,Cathars' Crusade,JMP,,,,,,
main,1,Celestial Ancient,PCA,,,,,,
main,1,Chromatic Lantern,SLD,,,,,,
main,1,Chrome Mox,2XM,foil,,,,,
maybe,1,Clever Impersonator,KTK,,,,,,
main,1,Cloud Cover,PLS,,,,,,
main,1,Command Beacon,CMR,,,,,,
main,1,Command Tower,CMR,,,,,,
main,1,Counterspell,STA,,,,,,
main,1,Cover of Darkness,ONS,,,,,,
main,1,Cunning Rhetoric,C21,,,,,,
main,1,Cyclonic Rift,2XM,foil,,,,,
main,1,Deserted Beach,MID,,,,,,
main,1,Dimir Signet,RAV,,,,,,
main,1,Dire Undercurrents,SHM,,,,,,
main,1,Dispatch,C21,,,,,,
main,1,Dovin's Veto,TSR,,,,,,
main,1,Dramatic Finale,STX,,,,,,
main,1,Dromar's Cavern,PLS,,,,,,
main,1,Enlightened Tutor,EMA,,,,,,
main,1,Favorable Winds,AVR,,,,,,
main,1,Fetid Heath,2XM,,,,,,
main,1,Flooded Strand,ZNE,,,,,,
main,1,Force of Will,2XM,foil,,,,,
main,1,Glacial Floodplain,KHM,,,,,,
main,1,Glacial Fortress,XLN,,,,,,
main,1,Glen Elendra Liege,SHM,,,,,,
main,1,Godless Shrine,RNA,,,,,,
main,1,Greater Auramancy,SHM,,,,,,
main,1,Hallowed Fountain,SLD,,,,,,
main,1,Ice Tunnel,KHM,,,,,,
main,1,Idol of Oblivion,C21,,,,,,
main,1,Imprisoned in the Moon,AFC,,,,,,
main,1,Inkshield,C21,,,,,,
main,1,Intangible Virtue,TSR,,,,,,
main,1,Inventors' Fair,KLD,,,,,,
main,1,Island,MID,,,,,,
main,1,Isolated Chapel,DOM,,,,,,
main,1,Karmic Justice,ODY,,,,,,
main,1,Kindred Discovery,C17,,,,,,
main,1,Konda's Banner,CHK,,,,,,
main,1,Leyline of Anticipation,M20,,,,,,
main,1,Mana Crypt,2XM,foil,,,,,
main,1,Mana Drain,CMR,,,,,,
main,1,Mantle of the Ancients,AFC,,,,,,
main,1,Mark of Asylum,CON,,,,,,
main,1,Marsh Flats,ZNE,,,,,,
main,1,"Minamo, School at Water's Edge",CHK,,,,,,
main,1,Mistgate Pathway,SLU,foil,,,,,
main,1,Morphic Pool,ZNE,,,,,,
main,1,Mox Opal,2XM,foil,,,,,
main,1,Murkwater Pathway,SLU,foil,,,,,
main,1,Mystic Gate,2XM,,,,,,
main,1,Nettlecyst,MH2,,,,,,
main,1,Orzhov Signet,GPT,,,,,,
main,1,Overburden,PCY,,,,,,
main,1,Plains,MID,,,,,,
main,1,Polluted Delta,ZNE,,,,,,
main,1,Quietus Spike,C17,,,,,,
main,1,Reconnaissance Mission,IKO,,,,,,
main,1,Reliquary Tower,CMR,,,,,,
main,1,Replenish,UDS,,,,,,
main,1,Retether,PLC,,,,,,
main,1,Robe of Stars,AFC,,,,,,
main,1,Sakashima of a Thousand Faces,CMR,foil,,,,,
main,1,Sakashima the Impostor,SOK,,,,,,
main,1,Scion of Oona,MMA,foil,,,,,
main,1,Sea of Clouds,ZNE,,,,,,
main,1,Serra's Sanctum,USG,,,,,,
main,1,Shipwreck Marsh,MID,,,,,,
main,1,"Shizo, Death's Storehouse",CHK,foil,,,,,
main,1,Sigil of the Empty Throne,TSR,,,,,,
main,1,Snowfield Sinkhole,KHM,,,,,,
main,1,Sol Ring,CMR,,,,,,
maybe,1,Stunt Double,CN2,,,,,,
main,1,Sunken Ruins,2XM,,,,,,
main,1,Swamp,MID,,,,,,
main,1,Swiftfoot Boots,CMR,,,,,,
main,1,Swords to Plowshares,STA,foil,,,,,
main,1,Talisman of Dominance,MRD,,,,,,
main,1,Talisman of Hierarchy,H1R,foil,,,,,
main,1,Talisman of Progress,MRD,,,,,,
main,1,Teferi's Protection,STA,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",TSR,,,,,,
main,1,Utter End,KTK,,,,,,
main,1,Vault of Champions,CMR,foil,,,,,
main,1,Vault of the Archangel,DKA,,,,,,
main,1,Watery Grave,SLD,,,,,,
