Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Alhammarret's Archive,ORI,foil,,,,,
main,1,All Is Dust,000,foil,,,,,
main,1,Ancient Tomb,V12,foil,,,,,
main,1,Arcane Signet,CMR,foil,,,,,
main,1,Arid Mesa,MH2,foil,,,,,
main,1,Blasphemous Act,ISD,foil,,,,,
main,1,Blinkmoth Nexus,MMA,foil,,,,,
main,1,Bloodstained Mire,KTK,,,,,,
main,1,Cavalier of Flame,M20,foil,,,,,
maybe,1,"Chandra, Flamecaller",OGW,foil,,,,,
main,1,"Chandra, Torch of Defiance",S18,foil,,,,,
main,1,Chaos Warp,CMA,foil,,,,,
maybe,1,Chromatic Orrery,M21,foil,,,,,
main,1,Conspiracy Theorist,STX,foil,,,,,
maybe,1,Coveted Jewel,MYS1,,,,,,
main,1,Crucible of Worlds,M19,foil,,,,,
main,1,Cursed Mirror,C21,,,,,,
main,1,"Daretti, Scrap Savant",CM2,foil,,,,,True
main,1,Darksteel Forge,DST,foil,,,,,
main,1,Deflecting Swat,C20,,,,,,
maybe,1,Dire Fleet Daredevil,RIX,foil,,,,,
main,1,Dockside Extortionist,C19,,,,,,
maybe,1,Dreamstone Hedron,ROE,foil,,,,,
main,1,Dualcaster Mage,000,foil,,,,,
main,1,Duplicant,EMA,foil,,,,,
main,1,Electrodominance,RNA,foil,,,,,
main,1,Expedition Map,MM2,foil,,,,,
main,1,Fabled Passage,ELD,foil,,,,,
main,1,Faithless Looting,DKA,foil,,,,,
maybe,1,Fateful Showdown,KLD,foil,,,,,
main,1,Fellwar Stone,C15,,,,,,
main,1,Gamble,EMA,foil,,,,,
main,1,Glacial Crevasses,ICE,,,,,,
main,1,Goblin Engineer,MH1,foil,,,,,
main,1,Goblin Welder,DDU,foil,,,,,
maybe,1,God-Pharaoh's Statue,WAR,foil,,,,,
main,1,Grim Monolith,ULG,,,,,,
main,1,Grixis Panorama,ALA,foil,,,,,
main,1,Imperial Recruiter,MH2,foil,,,,,
main,1,Inkmoth Nexus,000,foil,,,,,
main,1,Inventors' Fair,KLD,foil,,,,,
main,1,Jeska's Will,CMR,foil,,,,,
maybe,1,Jeweled Lotus,CMR,,,,,,
main,1,Jund Panorama,ALA,foil,,,,,
maybe,1,Junk Diver,UDS,foil,,,,,
main,1,Kaldra Compleat,MH2,foil,,,,,
maybe,1,Karn Liberated,UMA,foil,,,,,
main,1,"Kiki-Jiki, Mirror Breaker",V11,foil,,,,,
maybe,1,Krark-Clan Ironworks,5DN,foil,,,,,
main,1,Liquimetal Torque,MH2,foil,,,,,
main,1,Lotus Petal,V09,foil,,,,,
main,1,Loyal Apprentice,C18,,,,,,
main,1,Mana Crypt,EMA,foil,,,,,
main,1,Mana Vault,UMAP,foil,,,,,
maybe,1,Mana Web,WTH,,,,,,
maybe,1,Metalworker,UDS,,,,,,
main,1,Meteor Golem,M19,foil,,,,,
main,1,Mind Stone,000,foil,,,,,
main,1,Mox Diamond,STH,,,,,,
main,1,Mycosynth Lattice,DST,foil,,,,ZH,
main,1,Myr Battlesphere,SOM,foil,,,,,
main,1,Mystifying Maze,M11,foil,,,,,
main,1,Naya Panorama,ALA,foil,,,,,
main,1,"Neheb, Dreadhorde Champion",WAR,foil,,,,,
main,1,Nevinyrral's Disk,V10,foil,,,,,
main,1,Panharmonicon,KLD,foil,,,,,
main,1,Planar Bridge,AER,foil,,,,,
maybe,1,Price of Glory,ODY,foil,,,,,
maybe,1,Prismatic Lens,EMA,foil,,,,,
main,1,"Purphoros, God of the Forge",SLD,foil,,,,,
main,1,"Ragavan, Nimble Pilferer",MH2,,,,,,
main,1,Red Elemental Blast,A25,foil,,,,,
main,1,Rings of Brighthearth,LRW,foil,,,,,
maybe,1,Rolling Earthquake,V14,foil,,,,,
main,1,Sandstone Oracle,IMA,foil,,,,,
main,1,Scalding Tarn,MH2,foil,,,,,
main,1,Scrap Mastery,C14,,,,,,
maybe,1,Scrap Trawler,000,foil,,,,,
maybe,1,Sculpting Steel,10E,foil,,,,,
main,1,Seasoned Pyromancer,MH1,foil,,,,JA,
maybe,1,Shadowspear,THB,foil,,,,,
