Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Agent of Erebos,JOU,,,,,,
main,1,Altar's Reap,MYS1,,,,,,
main,1,Angel of Finality,KHC,,,,,,
main,1,Angel of Flight Alabaster,ISD,,,,,,
main,1,Archetype of Finality,BNG,,,,,,
main,1,"Athreos, God of Passage",MYS1,,,,,,
main,1,Aurora Eidolon,DIS,,,,,,
main,1,Author of Shadows,C21,,,,,,
main,1,Batwing Brume,ARC,,,,,,
main,1,Clarion Spirit,KHM,,,,,,
main,1,Command Tower,C21,,,,,,
main,1,"Daxos, Blessed by the Sun",THB,,,,,,
main,1,Desecrated Tomb,M19,foil,,,,,
main,1,Despark,STA,,,,,,
main,1,Divine Gambit,STA,,,,,,
main,1,Drag to the Underworld,THB,,,,,,
main,1,Dread Rider,KHM,,,,,,
main,1,"Egon, God of Death",KHM,,,,,,
main,1,Eidolon of Inspiration,THB,,,,,,
main,1,Eidolon of Rhetoric,JOU,,,,,,
main,1,Elspeth's Nightmare,THB,,,,,,
main,1,Erebos's Intervention,THB,,,,,,
main,1,Exotic Orchard,C21,,,,,,
main,1,Fell the Mighty,C17,,,,,,
main,1,Field of Ruin,TSR,,,,,,
main,1,Foreboding Fruit,ELD,,,,,,
main,1,Forlorn Pseudamma,BNG,,,,,,
main,1,Funeral Rites,JMP,,,,,,
main,1,Ghostly Prison,C21,,,,,,
main,1,Gravewaker,JMP,,,,,,
main,1,Gray Merchant of Asphodel,THB,,,,,,
main,1,Grim Return,M14,,,,,,
main,1,Grimoire of the Dead,C19,,,,,,
main,1,Guardian Kirin,MH2,,,,,,
main,1,Hallowed Burial,CN2,,,,,,
main,1,Haunting Voyage,KHM,,,,,,
main,1,Howltooth Hollow,LRW,,,,,,
main,1,Idyllic Grange,ELD,,,,,,
main,1,"Kunoros, Hound of Athreos",THB,,,,,,True
main,1,"Liliana, Dreadhorde General",SLD,foil,,,,,
main,1,Luminous Angel,DD3,,,,,,
main,1,March of the Returned,THS,,,,,,
main,1,Morningtide,TOR,,,,,,
main,1,Night's Whisper,MYS1,,,,,,
main,1,Nykthos Paragon,MH2,,,,,,
main,1,Oath of Ghouls,EXO,,,,,,
main,1,"Obzedat, Ghost Council",MM3,,,,,,
main,1,Orzhov Basilica,C21,,,,,,
main,1,Orzhov Cluestone,C15,,,,,,
main,15,Plains,AFR,,,,,,
main,1,Rally the Ranks,KHM,,,,,,
main,1,Read the Bones,ORI,,,,,,
main,1,Release the Dogs,JMP,,,,,,
main,1,Revenant,CMR,,,,,,
main,1,Revoke Existence,2XM,,,,,,
main,1,Ritual of the Returned,JOU,,,,,,
main,1,Sentry of the Underworld,THS,,,,,,
main,1,Spinning Wheel,ELD,,,,,,
main,1,Spirit of the Labyrinth,BNG,,,,,,
main,1,Suture Spirit,EVE,,,,,,
main,14,Swamp,STX,,,,,,
main,1,Talisman of Hierarchy,MH1,,,,,,
main,1,Temple of Silence,C21,,,,,,
main,1,"Teysa, Envoy of Ghosts",C21,,,,,,
main,1,"Thalisse, Reverent Medium",CMR,,,,,,
main,1,Tormod's Crypt,M21,,,,,,
main,1,"Tymaret, Chosen from Death",THB,,,,,,
main,1,Underworld Coinsmith,MYS1,,,,,,
main,1,Underworld Connections,C17,,,,,,
main,1,Underworld Dreams,THB,,,,,,
main,1,Unholy Indenture,M20,,,,,,
main,1,Usher of the Fallen,KHM,,,,,,
main,1,Whip of Erebos,THS,,,,,,
