Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Arcane Signet,,,,,,,
main,1,Brainspoil,,,,,,,
main,1,Cabal Coffers,,,,,,,
main,1,Cabal Ritual,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Consecrated Sphinx,,,,,,,
main,1,Consuming Aberration,,,,,,,
main,1,Cryptic Gateway,,,,,,,
main,1,Cyclonic Rift,,,,,,,
main,1,Darkness,,,,,,,
main,1,Diabolic Intent,,,,,,,
main,1,Dig Through Time,,,,,,,
main,1,Dimir Machinations,,,,,,,
main,1,Distant Melody,,,,,,,
main,1,Dramatic Reversal,,,,,,,
main,1,Fabricate,,,,,,,
main,1,Fact or Fiction,,,,,,,
main,1,Fellwar Stone,,,,,,,
main,1,Gilded Lotus,,,,,,,
main,1,Herald's Horn,,,,,,,
main,1,High Tide,,,,,,,
main,1,Intruder Alarm,,,,,,,
main,13,Island,,,,,,,
main,1,Kindred Discovery,,,,,,,
main,1,Living Death,,,,,,,
main,1,Mystical Tutor,,,,,,,
main,1,"Nykthos, Shrine to Nyx",,,,,,,
main,30,Persistent Petitioners,,,,,,,
main,1,Prismatic Vista,,,,,,,
main,1,Read the Bones,,,,,,,
main,1,Rhystic Study,,,,,,,
main,1,Secret Salvage,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Sphinx of the Chimes,,,,,,,
main,13,Swamp,,,,,,,
main,1,"Taigam, Sidisi's Hand",,,,,,,True
main,1,Talisman of Dominance,,,,,,,
main,1,Thran Dynamo,,,,,,,
main,1,Thrumming Stone,,,,,,,
main,1,Traumatize,,,,,,,
main,1,Turnabout,,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",,,,,,,
main,1,Vanquisher's Banner,,,,,,,
main,1,Watery Grave,,,,,,,
main,1,Wayfarer's Bauble,,,,,,,
main,1,Whispering Madness,,,,,,,
main,1,Windfall,,,,,,,
