Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Adaptive Automaton,2XM,,,,,,
main,1,Akroma's Memorial,TSR,,,,,,
main,1,All Is Dust,MYS1,,,,,,
main,1,Alloy Myr,,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Arcum Dagsson,2XM,,,,,,True
main,1,Bloodline Pretender,KHM,,,,,,
main,1,Blue Sun's Zenith,,,,,,,
main,1,Brass Squire,CMR,,,,,,
main,1,Buried Ruin,,,,,,,
main,1,Coat of Arms,MYS1,,,,,,
main,1,Counterspell,MH2,,,,,,
main,1,Curse of the Swine,C21,,,,,,
main,1,Darksteel Forge,2XM,,,,,,
main,1,Darksteel Myr,SOM,,,,,,
main,1,Door of Destinies,C17,,,,,,
main,1,Eldrazi Monument,MYS1,,,,,,
main,1,Endless Atlas,,,,,,,
main,1,Engulf the Shore,GN2,,,,,,
main,1,Etherium Sculptor,,,,,,,
main,1,Fabricate,,,,,,,
main,1,Foundry Inspector,,,,,,,
main,1,Genesis Chamber,BBD,,,,,,
main,1,Herald's Horn,,,,,,,
main,1,Hovermyr,NPH,,,,,,
main,1,Imprisoned in the Moon,AFC,,,,,,
main,29,Island,,,,,,,
main,1,Jhoira's Familiar,,,,,,,
main,1,Lightning Greaves,AFC,,,,,,
main,1,Lodestone Myr,MM2,,,,,,
main,1,Magewright's Stone,MYSTOR,,,,,,
main,1,Master Transmuter,2XM,,,,,,
main,1,Mechanized Production,,,,,,,
main,1,Metallic Mimic,SLD,,,,,,
main,1,Mirrodin Besieged,MH1,,,,,,
main,1,Myr Battlesphere,C21,,,,,,
main,1,Myr Enforcer,J21,,,,,,
main,1,Myr Galvanizer,SOM,,,,,,
main,1,Myr Moonvessel,,,,,,,
main,1,Myr Propagator,SOM,,,,,,
main,1,Myr Reservoir,,,,,,,
main,1,Myr Retriever,2XM,,,,,,
main,1,Myr Scrapling,MH2,,,,,,
main,1,Myr Sire,JMP,,,,,,
main,1,Myr Turbine,,,,,,,
main,1,Myr Welder,MBS,,,,,,
main,1,Myriad Landscape,,,,,,,
main,1,Null Brooch,,,,,,,
main,1,Palladium Myr,,,,,,,
main,1,Parcel Myr,MH2,,,,,,
main,1,Perilous Myr,CMR,,,,,,
main,1,Plague Myr,,,,,,,
main,1,Pull from Tomorrow,,,,,,,
main,1,Ravenform,KHM,,,,,,
main,1,Resculpt,STX,,,,,,
main,1,Sarcomite Myr,TSR,,,,,,
main,1,Seat of the Synod,C18,,,,,,
main,1,Shimmer Dragon,,,,,,,
main,1,Shimmer Myr,CMR,,,,,,
main,1,Silver Myr,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Sword of the Animist,,,,,,,
main,1,Thousand-Year Elixir,C21,,,,,,
main,1,Tribute Mage,,,,,,,
main,1,Trophy Mage,,,,,,,
main,1,Universal Automaton,H1R,,,,,,
main,1,Unwinding Clock,C18,,,,,,
main,1,Vanquisher's Banner,TSR,,,,,,
main,1,Vedalken Archmage,,,,,,,
main,1,War Room,,,,,,,
main,1,Wayfarer's Bauble,,,,,,,
main,1,Whir of Invention,,,,,,,
