Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ancient Tomb,V12,foil,,,,,
main,1,Arcane Signet,CMR,foil,,,,,
main,1,Archfiend of Depravity,000,foil,,,,,
main,1,Arid Mesa,ZEN,,,,,,
main,1,Ashnod's Altar,,,,,,,
maybe,1,Aura Thief,,,,,,,
main,1,Baleful Strix,EMA,,,,,,
main,1,Blood Crypt,RTR,,,,,,
main,1,Bloodstained Mire,KTK,,,,,,
maybe,1,"Boseiju, Who Shelters All",,,,,,,
maybe,1,Burglar Rat,,,,,,,
maybe,1,Captivating Crew,,,,,,,
main,1,Carrion Feeder,,foil,,,,,
main,1,Chaos Warp,,,,,,,
maybe,1,Chasm Skulker,,,,,,,
main,1,City of Brass,,,,,,,
main,1,Command Tower,CMR,foil,,,,,
main,1,Consecrated Sphinx,IMA,,,,,,
maybe,1,Corpse Augur,,,,,,,
main,1,Cyclonic Rift,RTR,,,,,,
main,1,Dack's Duplicate,,foil,,,,,
main,1,Damnation,MM3,,,,,,
maybe,1,Dauthi Mindripper,,,,,,,
maybe,1,Dauthi Voidwalker,,,,,,,
maybe,1,Deadly Rollick,,,,,,,
maybe,1,Deflecting Swat,,,,,,,
maybe,1,Demon's Disciple,,,,,,,
main,1,Demonic Tutor,UMA,foil,,,,,
main,1,Diabolic Intent,PLS,,,,,,
main,1,Dictate of Erebos,,,,,,,
maybe,1,Dimir House Guard,,,,,,,
main,1,Dimir Signet,MM3,foil,,,,,
maybe,1,Disciple of Bolas,M13,foil,,,,,
main,1,Dockside Extortionist,,,,,,,
main,1,"Drana, Liberator of Malakir",,,,,,,
maybe,1,Dreadhorde Arcanist,,,,,,,
maybe,1,Elderfang Disciple,,,,,,,
maybe,1,Elvish Doomsayer,,,,,,,
maybe,1,"Erebos, God of the Dead",,,,,,,
main,1,Falkenrath Aristocrat,,foil,,,,,
main,1,Feed the Swarm,,foil,,,,,
main,1,Fierce Guardianship,,,,,,,
main,1,Flayer of the Hatebound,,foil,,,,,
maybe,1,Fleshbag Marauder,,,,,,,
maybe,1,Fleshwrither,,,,,,,
main,1,Flooded Strand,KTK,,,,,,
maybe,1,Force of Negation,,,,,,,
maybe,1,Force of Will,,,,,,,
main,1,Forge of Heroes,,,,,,,
maybe,1,Fulminator Mage,,,,,,,
main,1,Glen Elendra Archmage,EVE,,,,,,
main,1,Goblin Bombardment,MH2,foil,,,,,
main,1,Grave Pact,CMD,,,,,,
main,1,Gray Merchant of Asphodel,THB,foil,,,,,
main,1,Grim Haruspex,,foil,,,,,
maybe,1,"Grimgrin, Corpse-Born",,,,,,,
maybe,1,Herald of Secret Streams,,foil,,,,,
main,1,High Market,,,,,,,
maybe,1,Hope of Ghirapur,,,,,,,
main,1,Imperial Recruiter,A25,,,,,,
maybe,1,Insurrection,,,,,,,
main,3,Island,,,,,,,
main,1,Izzet Signet,MM3,foil,,,,,
maybe,1,Jokulhaups,,,,,,,
maybe,1,"Judith, the Scourge Diva",,foil,,,,,
main,1,"Kokusho, the Evening Star",MMA,foil,,,,,
main,1,Last One Standing,,foil,,,,,
main,1,Legion Loyalist,GTC,,,,,,
main,1,Lightning Greaves,,,,,,,
maybe,1,Liliana's Specter,,,,,,,
main,1,Liliana's Standard Bearer,M21,foil,,,,,
maybe,1,Living Death,,foil,,,,,
main,1,Mana Confluence,JOU,,,,,,
main,1,Mana Crypt,EMA,,,,,,
maybe,1,Mana Drain,,,,,,,
main,1,"Marchesa, the Black Rose",CNS,foil,,,,,True
main,1,Marsh Flats,ZEN,,,,,,
maybe,1,Marton Stromgald,,,,,,,
maybe,1,Merciless Executioner,,,,,,,
main,1,Metallic Mimic,,foil,,,,,
maybe,1,Midnight Reaper,,,,,,,
main,1,"Mikaeus, the Unhallowed",DKA,foil,,,,,
main,1,Misty Rainforest,ZEN,,,,,,
main,3,Mountain,,,,,,,
main,1,Necropotence,DKM,foil,,,,,
maybe,1,"Nicol Bolas, the Ravager",,,,,,,
maybe,1,Noxious Toad,,,,,,,
maybe,1,Ogre Battledriver,000,foil,,,,,
main,1,Oona's Blackguard,000,foil,,,,,
maybe,1,Opposition Agent,,,,,,,
