Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Aggravated Assault,ONS,foil,,,,,
main,1,Akrasan Squire,ALA,,,,,,
main,1,Angel of Jubilation,AVR,,,,,,
main,1,Arcane Signet,AFC,,,,,,
main,1,Archetype of Aggression,BNG,foil,,,,,
main,1,Arid Mesa,MM3,,,,,,
main,1,Assault Suit,CM1,,,,,,
main,1,Assemble the Legion,MYS1,,,,,,
main,1,"Aurelia, the Warleader",GK1,foil,,,,,
main,1,Aven Squire,M13,foil,,,,,
main,1,Balefire Liege,MYSTOR,foil,,,,,
main,1,Bastion Protector,C15,,,,,,
main,1,Benalish Marshal,GNT,,,,,,
main,1,Boros Signet,SLD,,,,,,
main,1,Cathars' Crusade,JMP,,,,,,
main,1,Chalice of the Void,TSR,,,,,,
main,1,Combat Celebrant,AKH,,,,,,
main,1,Comet Storm,CMR,,,,,,
main,1,Command Beacon,CMR,,,,,,
main,1,Command Tower,AFC,,,,,,
main,1,Concerted Effort,RAV,foil,,,,,
main,1,Crashing Drawbridge,ELD,foil,,,,,
main,1,Curse of Bloodletting,DKA,foil,,,,,
main,1,Darksteel Citadel,C21,,,,,,
main,1,Dauntless Bodyguard,DOM,,,,,,
main,1,Dictate of Heliod,MYS1,,,,,,
main,1,Dockside Extortionist,C19,,,,,,
main,1,Dolmen Gate,MYS1,,,,,,
main,1,Dragonrage,FRF,foil,,,,,
main,1,Emergence Zone,WAR,,,,,,
main,1,Evolving Wilds,AFR,,,,,,
main,1,Exotic Orchard,AFC,,,,,,
main,1,Fellwar Stone,AFC,,,,,,
main,1,Field of Ruin,TSR,,,,,,
main,1,Fragmentize,MYS1,,,,,,
main,1,Furnace of Rath,DPA,,,,,,
main,1,Gideon's Sacrifice,WAR,,,,,,
main,1,"Gisela, Blade of Goldnight",SLD,,,,,,
main,1,Glaring Spotlight,GTC,,,,,,
main,1,Goblin Champion,MH1,,,,,,
main,1,Goblin War Drums,A25,foil,,,,,
main,1,Gratuitous Violence,AFC,,,,,,
main,1,Haktos the Unscarred,THB,foil,,,,,True
main,1,Hammer of Purphoros,THS,,,,,,
main,1,Heliod's Intervention,THB,foil,,,,,
main,1,Idyllic Tutor,THB,foil,,,,,
main,1,Inspiring Vantage,KLD,,,,,,
main,1,Insult / Injury,AKH,,,,,,
main,1,"Iroas, God of Victory",SLD,foil,,,,,
main,1,Legion's Initiative,DGM,,,,,,
main,1,Lightning Mauler,AVR,,,,,,
main,9,Mountain,THB,foil,,,,,
main,1,Nyx Lotus,THB,,,,,,
main,1,Ondu Inversion,ZNR,foil,,,,,
main,1,Opal Palace,C21,,,,,,
main,1,Path to Exile,TSR,,,,,,
main,12,Plains,THB,foil,,,,,
main,1,Rugged Prairie,2XM,,,,,,
main,1,Sanctum Prelate,MH2,,,,,,
main,1,Savage Beating,DST,,,,,,
main,1,Seal Away,DOM,,,,,,
main,1,Seize the Day,UMA,foil,,,,,
main,1,"Sephara, Sky's Blade",M20,foil,,,,,
main,1,Silverblade Paladin,C14,,,,,,
main,1,Single Combat,WAR,,,,,,
main,1,Smothering Tithe,RNA,,,,,,
main,1,Sol Ring,AFC,,,,,,
main,1,Spear of Heliod,THS,,,,,,
main,1,Sword of Sinew and Steel,MH1,,,,,,
main,1,Talisman of Conviction,H1R,foil,,,,,
main,1,Teferi's Protection,STA,,,,,,
main,1,Terramorphic Expanse,AFC,,,,,,
main,1,Tome of Legends,ELD,,,,,,
main,1,Tragic Arrogance,C21,,,,,,
main,1,True Conviction,SS2,,,,,,
main,1,Unbreakable Formation,CMR,,,,,,
main,1,Underworld Breach,THB,foil,,,,,
main,1,Urabrask the Hidden,SLD,,,,,,
main,1,Warlord's Fury,DOM,,,,,,
main,1,Waves of Aggression,EVE,,,,,,
main,1,World at War,ROE,,,,,,
