Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Rector,UDS,,,,,,
main,1,Academy Ruins,MMA,,,,,,
main,1,Ancient Tomb,TMP,,,,,,
acquire,1,Arid Mesa,,,,,,,
main,1,Armageddon,4ED,,,,,,
main,1,Austere Command,CMD,,,,,,
main,1,Authority of the Consuls,KLD,foil,,,,,
main,1,Azorius Signet,DIS,,,,,,
main,1,Brainstorm,ICE,,True,,,,
main,1,Command Tower,,,,,,,
main,1,Counterspell,PSG,,,,,,
main,1,Crucible of Worlds,10E,,,,,,
main,1,Cyclonic Rift,RTR,foil,,,,,
main,1,Detention Sphere,RTR,foil,,,,,
main,1,Dig Through Time,,,,,,,
main,1,Dovin's Veto,,,,,,,
main,1,Drifting Meadow,C15,,,,,,
main,1,Echo of Eons,,,,,,,
main,1,Enchanted Evening,SHM,,,,,,
main,1,Enlightened Tutor,MIR,,,,,,
main,1,Expedition Map,,,,,,,
main,1,Fabricate,MRD,,,,,,
main,1,Fact or Fiction,INV,,,,,,
main,1,Flagstones of Trokair,UMA,foil,,,,,
main,1,Flooded Strand,ONS,,,,,,
main,1,Force of Will,ALL,,,,,,
acquire,1,Force of Will,,,,,,,
main,1,Geier Reach Sanitarium,,,,,,,
main,1,Ghostly Prison,CN2,foil,,,,,
main,1,Halimar Depths,WWK,foil,,,,,
main,1,Hall of Heliod's Generosity,,,,,,,
main,1,Hallowed Fountain,RTR,foil,,,,,
main,1,"Hanna, Ship's Navigator",INV,foil,,,,,True
main,1,Idyllic Tutor,MOR,,,,,,
main,1,Intuition,TMP,,,,,,
main,1,Inventors' Fair,KLD,pre,,,,,
main,1,Irrigated Farmland,,,,,,,
acquire,1,Irrigated Farmland,,,,,,,
main,5,Island,BFZ,foil,,,,,
main,1,Land Equilibrium,LEG,,,,,,
main,1,Land Tax,BRB,,,,,,
main,1,Lonely Sandbar,ONS,foil,,,,,
main,1,Mana Breach,EXO,,,,,,
main,1,Mana Crypt,EMA,,,,,,
main,1,Mana Drain,LEG,,,,,IT,
main,1,Mana Vault,4ED,,,,,,
main,1,Marsh Flats,ZEN,,True,,,,
main,1,Memory Jar,ULG,,,,,,
main,1,Metallurgic Summonings,KLD,foil,,,,,
main,1,Mind Stone,000,foil,,,,,
main,1,Mind's Dilation,,foil,,,,,
main,1,Mindslaver,MRD,,,,,,
main,1,Misty Rainforest,ZEN,,,,,,
main,1,Muddle the Mixture,RAV,,,,,,
main,1,Mystic Gate,SHM,,,,,,
main,1,Mystical Tutor,MIR,,,,,,
main,1,Omniscience,M13,,,,,,
main,1,Opalescence,UDS,,,,,,
main,1,Open the Vaults,M10,,,,,,
main,1,Overburden,,,,,,,
main,1,Pact of Negation,A25,,,,,,
main,1,Parallax Wave,NMS,,,,,,
main,1,Path to Exile,PSG,foil,,,,,
main,3,Plains,BFZ,foil,,,,,
main,1,Polluted Delta,,,,,,JA,
acquire,1,Polluted Delta,,,,,,,
main,1,Prairie Stream,,,,,,,
main,1,Propaganda,TMP,,,,,,
main,1,Reflecting Pool,TMP,,,,,,
main,1,Reliquary Tower,CON,foil,,,,,
acquire,1,Remote Isle,,,,,,,
main,1,Replenish,UDS,,,,,,
main,1,Rhystic Study,PCY,foil,,,,,
main,1,Scalding Tarn,,,,,,,
acquire,1,Scalding Tarn,,,,,,,
main,1,Scroll Rack,TMP,,,,,,
main,1,Sea of Clouds,BBD,,,,,,
main,1,Secluded Steppe,ONS,foil,,,,,
main,1,Sensei's Divining Top,CHK,,,,,DE,
main,1,Serra's Sanctum,USG,,,,,,
main,1,Smothering Tithe,RNA,,,,,,
main,1,Snapcaster Mage,ISD,,,,,DE,
main,1,Sol Ring,3ED,,,,,,
main,1,Sphere of Safety,RTR,foil,,,,,
main,1,Sphinx's Revelation,RTR,,,,,,
main,1,Strip Mine,ATQ,,,,,,
main,1,Summary Dismissal,EMN,foil,,,,,
main,1,Sunder,USG,,,,,,
main,1,Supreme Verdict,000,foil,,,,,
main,1,Swan Song,THS,,,,,,
main,1,Swords to Plowshares,2ED,,,,,,
main,1,Talisman of Progress,MRD,,,,,,
main,1,Teferi's Protection,,,,,,,
acquire,1,Teferi's Protection,,,,,,,
main,1,Thran Dynamo,UDS,,,,,,
main,1,Time Spiral,USG,,,,,,
acquire,1,Timetwister,,,,,,,
main,1,Tundra,3ED,,,,,,
acquire,1,Tundra,,,,,,,
main,1,Tunnel Vision,RAV,,,,,,
main,1,"Ugin, the Spirit Dragon",FRF,foil,,,,,
main,1,Winds of Abandon,,foil,,,,,
main,1,Windswept Heath,KTK,,,,,,
