Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,,,,,,,
main,1,Ambassador Laquatus,,,,,,,True
main,1,Ancient Tomb,,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Archaeomancer,,,,,,,
main,1,Back to Basics,,,,,,,
main,1,Basalt Monolith,,,,,,,
main,1,Blue Sun's Zenith,,,,,,,
main,1,Brainstorm,,,,,,,
main,1,Bruvac the Grandiloquent,,,,,,,
main,1,Caged Sun,,,,,,,
main,1,Chrome Mox,,,,,,,
main,1,Counterspell,,,,,,,
main,1,Cyclonic Rift,,,,,,,
main,1,Deadeye Navigator,,,,,,,
main,1,Dramatic Reversal,,,,,,,
main,1,Drift of Phantasms,,,,,,,
main,1,Extraplanar Lens,,,,,,,
main,1,Fabricate,,,,,,,
main,1,Fierce Guardianship,,,,,,,
main,1,Fleet Swallower,,,,,,,
main,1,Flooded Strand,,,,,,,
main,1,Flusterstorm,,,,,,,
main,1,Force of Negation,,,,,,,
main,1,Force of Will,,,,,,,
main,1,Fraying Sanity,,,,,,,
main,1,Ghostly Flicker,,,,,,,
main,1,Gitaxian Probe,,,,,,,
main,1,Grand Architect,,,,,,,
main,1,Grim Monolith,,,,,,,
main,1,High Tide,,,,,,,
main,1,Intuition,,,,,,,
main,1,Inventors' Fair,,,,,,,
main,26,Island,,,,,,,
main,1,Isochron Scepter,,,,,,,
main,1,Maddening Cacophony,,,,,,,
main,1,Mana Crypt,,,,,,,
main,1,Mana Drain,,,,,,,
main,1,Mana Vault,,,,,,,
main,1,Merchant Scroll,,,,,,,
main,1,Misty Rainforest,,,,,,,
main,1,Mox Diamond,,,,,,,
main,1,Muddle the Mixture,,,,,,,
main,1,Mystic Sanctuary,,,,,,,
main,1,Mystical Tutor,,,,,,,
main,1,"Narset, Parter of Veils",,,,,,,
main,1,Pact of Negation,,,,,,,
main,1,Palinchron,,,,,,,
main,1,Peregrine Drake,,,,,,,
main,1,Pili-Pala,,,,,,,
main,1,Polluted Delta,,,,,,,
main,1,Ponder,,,,,,,
main,1,Power Artifact,,,,,,,
main,1,Preordain,,,,,,,
main,1,Reshape,,,,,,,
main,1,Rhystic Study,,,,,,,
main,1,Rings of Brighthearth,,,,,,,
main,1,Scalding Tarn,,,,,,,
main,1,Scavenger Grounds,,,,,,,
main,1,Sensei's Divining Top,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Solve the Equation,,,,,,,
main,1,Spellseeker,,,,,,,
main,1,Swan Song,,,,,,,
main,1,Tezzeret the Seeker,,,,,,,
main,1,Timetwister,,,,,,,
main,1,Tolaria West,,,,,,,
main,1,Transmute Artifact,,,,,,,
main,1,Traumatize,,,,,,,
main,1,Tribute Mage,,,,,,,
main,1,Trinket Mage,,,,,,,
main,1,Trophy Mage,,,,,,,
main,1,Urza's Saga,,,,,,,
main,1,War Room,,,,,,,
main,1,Whir of Invention,,,,,,,
