Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ancient Tomb,TMP,,,,,,
main,1,Arcane Signet,ZNC,,,,,,
main,1,Ashnod's Altar,CHR,,,,,,
main,1,Blood Moon,DRK,,,,,,
main,1,Caged Sun,C14,,,,,,
main,1,Chaos Warp,C14,,,,,,
main,1,Coercive Recruiter,CMR,,,,,,
main,1,Combat Celebrant,AKH,,,,,,
main,1,Comet Storm,C15,,,,,,
main,1,Command Beacon,C15,,,,,,
main,1,Cursed Mirror,C21,,,,,,
main,1,Deflecting Swat,C20,,,,,,
main,1,Dire Fleet Daredevil,RIX,,,,,,
main,1,Dockside Extortionist,C19,,,,,,
main,1,Dualcaster Mage,C14,,,,,,
main,1,Duplicant,MRD,,,,,JA,
main,1,Emrakul's Hatcher,ROE,,,,,,
main,1,Extraplanar Lens,MRD,,,,,,
maybe,1,Fanatic of Mogis,,,,,,,
main,1,Feldon of the Third Path,C14,,,,,,
main,1,Flametongue Kavu,PLS,,,,,,
main,1,Fork,3ED,,,,,,
main,1,Gamble,000,foil,,,,,
main,1,Gauntlet of Might,2ED,,,,,,
main,1,Gauntlet of Power,TSP,,,,,,
main,1,Goblin Bombardment,MH2,,,,,,
maybe,1,Heat Shimmer,LRW,,,,,,
main,1,Homeward Path,CMD,,,,,,
main,1,Humble Defector,CMR,foil,,,,,
main,1,Imperial Recruiter,A25,,,,,,
main,1,Inferno Titan,M11,,,,,,
main,1,Insurrection,CMD,,,,,,
main,1,Jeska's Will,CMR,,,,,,
main,1,Jeweled Lotus,CMR,,,,,,
main,1,"Kiki-Jiki, Mirror Breaker",CHK,foil,,,,,True
main,1,Koth of the Hammer,SOM,,,,,,
main,1,Lightning Greaves,MRD,,,,,,
main,1,Magus of the Wheel,C15,,,,,,
main,1,Mind Stone,IMA,,,,,,
main,1,Mindclaw Shaman,M13,,,,,,
main,1,Mirage Mirror,HOU,,,,,,
main,1,Molten Primordial,GTC,foil,,,,,
main,29,Mountain,CHK,foil,,,,,
main,1,Myr Battlesphere,SOM,,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,,,,,,
main,1,Panharmonicon,KLD,,,,,,
main,1,Phyrexian Altar,INV,,,,,,
main,1,Pilgrim's Eye,WWK,,,,,,
main,1,Reverberate,M11,foil,,,,,
main,1,Ruby Medallion,C14,,,,,,
main,1,Ruination,CMD,,,,,,
main,1,Seasoned Pyromancer,MH1,,,,,,
main,1,Siege-Gang Commander,10E,,,,,,
main,1,Skullclamp,DST,,,,,,
main,1,Sol Ring,C13,,,,,,
main,1,Solemn Simulacrum,M12,,,,,,
main,1,Steel Hellkite,SOM,,,,,,
main,1,Stingscourger,PLC,,,,,,
main,1,Stranglehold,CMD,,,,,,
main,1,Swiftfoot Boots,M12,,,,,,
main,1,Temple of the False God,SCG,,,,,,
maybe,1,Terror of the Peaks,M21,,,,,,
main,1,Thornbite Staff,MOR,,,,,,
main,1,Thran Dynamo,V13,foil,,,,,
main,1,Tibalt's Trickery,KHM,foil,,,,,
main,1,Tuktuk Scrapper,WWK,,,,,,
main,1,Twinflame,JOU,foil,,,,,
main,1,Umbral Mantle,SHM,,,,,,
maybe,1,Underworld Breach,THB,,,,,,
main,1,"Valakut, the Molten Pinnacle",000,foil,,,,,
main,1,Vandalblast,RTR,,,,,,
main,1,Wheel of Fortune,3ED,,,,,,
main,1,Wheel of Misfortune,CMR,,,,,,
main,1,Wild Ricochet,LRW,foil,,,,,
main,1,Wurmcoil Engine,SOM,,,,,,
main,1,Zealous Conscripts,AVR,,,,,,
