Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Altar of the Brood,KTK,foil,,,,,
main,1,Basalt Monolith,3ED,,,,,,
main,1,Basilisk Collar,MM3,,,,,,
main,1,Blood on the Snow,KHM,pre,,,,,
main,1,Bloodchief Ascension,ZEN,,,,,,
main,1,Bojuka Bog,TSR,,,,,,
main,1,Bolas's Citadel,000,foil,,,,,
main,1,Bontu's Monument,AKH,foil,,,,,
main,1,Buried Ruin,C16,,,,,,
main,1,Cabal Coffers,TOR,,,,,,
main,1,Castle Locthwain,ELD,pre,,,,,
main,1,Champion's Helm,CMD,,,,,,
main,1,Coldsteel Heart,CSP,foil,,,,,
main,1,Crypt Ghast,GTC,,,,,,
main,1,Damnation,PSG,foil,,,,,
main,1,Dark Depths,CSP,foil,,,,,
main,1,Darksteel Plate,MBS,foil,,,,,
main,1,Dead of Winter,MH1,foil,,,,,
main,1,Demon of Dark Schemes,KLD,pre,,,,,
main,1,Dimir House Guard,RAV,,,,,,
main,1,Doom Whisperer,GRN,,,,,,
main,1,Doomed Necromancer,ONS,foil,,,,,
maybe,1,Draugr Necromancer,KHM,foil,,,,,
main,1,Dread Summons,C15,,,,,,
main,1,Drift of the Dead,CTD,,,,,,
main,1,"Erebos, God of the Dead",THS,,,,,,
main,1,Expedition Map,MM2,,,,,,
main,1,Exquisite Blood,AVR,,,,,,
main,1,Extraplanar Lens,MRD,,,,,,
main,1,Feed the Swarm,ZNR,foil,,,,,
main,1,Fleshbag Marauder,CMD,,,,,,
main,1,Foundry Inspector,KLD,foil,,,,,
main,1,Frostwalk Bastion,MH1,foil,,,,,
main,1,Gray Merchant of Asphodel,TSR,foil,,,,,
main,1,Grindstone,TMP,,,,,,
maybe,1,Haunted Crossroads,MMQ,foil,,,,,
main,1,Hedron Crawler,OGW,,,,,,
main,1,Helm of the Host,DOM,pre,,,,,
main,1,Inventors' Fair,KLD,pre,,,,,
main,1,Jet Medallion,TMP,,,,,,
main,1,Jhoira's Familiar,DOM,foil,,,,,
main,1,"K'rrik, Son of Yawgmoth",C19,,,,,,
main,1,"Kozilek, Butcher of Truth",ROE,,,,,,
main,1,Leaden Myr,MRD,,,,,,
main,1,Leechridden Swamp,SHM,foil,,,,,
main,1,Lightning Greaves,C15,,,,,,
main,1,Liliana of the Dark Realms,M13,,,,,,
main,1,Magus of the Coffers,PLC,foil,,,,,
main,1,Magus of the Will,C16,,,,,,
main,1,Manakin,TMP,,,,,,
main,1,Merciless Executioner,FRF,,,,,,
main,1,Mesmeric Orb,MRD,foil,,,,,
main,1,Mimic Vat,SOM,foil,,,,,
main,1,Mindcrank,NPH,foil,,,,,
main,1,Mire in Misery,C19,,,,,,
main,1,Morality Shift,JUD,foil,,,,,
main,1,Mortuary Mire,BFZ,foil,,,,,
main,1,Mouth of Ronom,CSP,foil,,,,,
main,1,Murderous Rider,ELD,,,,,,
main,1,Myriad Landscape,C14,,,,,,
main,1,Necropotence,V09,foil,,,,,
main,1,Oversold Cemetery,ONS,foil,,,,,
main,1,Palladium Myr,C14,,,,,,
main,1,Phyrexian Arena,APC,,,,,,
main,1,Phyrexian Rager,MBS,,,,,,
main,1,Plaguecrafter,C19,,,,,,
maybe,1,Praetor's Grasp,NPH,,,,,,
main,1,Sanguine Bond,TSR,,,,,,
main,1,Scrying Sheets,CSP,foil,,,,,
main,1,Sequestered Stash,KLD,foil,,,,,
main,1,Shriekmaw,TSR,,,,,,
main,18,Snow-Covered Swamp,CSP,foil,,,,,
main,2,Snow-Covered Swamp,SLD,foil,,,,,
main,1,Sol Ring,C16,,,,,,
main,1,Solemn Simulacrum,C14,,,,,,
main,1,Swiftfoot Boots,M12,,,,,,
main,1,"Syr Konrad, the Grim",ELD,foil,,,,,True
maybe,1,"Tormod, the Desecrator",CMR,foil,,,,,
main,1,Tortured Existence,STH,,,,,,
main,1,Toxic Deluge,C13,,,,,,
main,1,Trepanation Blade,ISD,foil,,,,,
main,1,"Ulamog, the Infinite Gyre",MM2,,,,,,
maybe,1,Undertaker,TSB,foil,,,,,
main,1,"Urborg, Tomb of Yawgmoth",M15,,,,,,
main,1,Wayfarer's Bauble,C15,,,,,,
main,1,Whip of Erebos,THS,,,,,,
main,1,Witch's Cottage,ELD,foil,,,,,
