Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,"Ajani, Mentor of Heroes",RNAMED,foil,,,,,
main,1,"Akroma, Angel of Wrath",DDC,foil,,,,,
main,1,Augur of Autumn,MID,foil,,,,,
main,1,Avacyn's Pilgrim,000,foil,,,,,
main,1,"Avacyn, Angel of Hope",000,foil,,,,,
main,1,"Azusa, Lost but Seeking",000,foil,,,,,
main,1,Birds of Paradise,M11,foil,,,,,
main,1,Birthing Pod,000,foil,,,,,
main,1,Bow of Nylea,THS,foil,,,,,
main,1,Canopy Vista,EXP,foil,,,,,
main,1,Captain Sisay,SLD,foil,,,,,True
main,1,Chord of Calling,M15,foil,,,,,
main,1,Command Tower,CMA,foil,,,,,
main,1,Dark Depths,UMAP,foil,,,,,
main,1,Defense of the Heart,000,foil,,,,,
main,1,Dosan the Falling Leaf,CHK,foil,,,,,
main,1,Dragonlord Dromoka,DTK,foil,,,,,
main,1,Eiganjo Castle,CHK,foil,,,,,
main,1,Eladamri's Call,PLS,foil,,,,,
main,1,"Elesh Norn, Grand Cenobite",000,foil,,,,,
main,1,Elvish Mystic,000,foil,,,,,
main,1,"Evra, Halcyon Witness",DOM,foil,,,,,
main,1,Farseek,000,foil,,,,,
main,1,Flagstones of Trokair,TSP,foil,,,,,
main,7,Forest,UND,foil,,,,,
main,1,Gaddock Teeg,000,foil,,,,,
main,1,Gaea's Cradle,PSG,foil,,,,,
main,1,Garruk Wildspeaker,CMD,foil,,,,,
main,1,"Garruk, Caller of Beasts",000,foil,,,,,
main,1,"Ghalta, Primal Hunger",000,foil,,,,,
main,1,Growing Rites of Itlimoc,XLN,pre,,,,,
main,1,"Hokori, Dust Drinker",BOK,foil,,,,,
main,1,Joraga Treespeaker,ROE,foil,,,,,
main,1,Kamahl's Druidic Vow,DOM,pre,,,,,
main,1,"Karametra, God of Harvests",SLD,foil,,,,,
main,1,Khalni Heart Expedition,ZEN,foil,,,,,
main,1,Kodama's Reach,SLD,foil,,,,,
main,1,"Kozilek, Butcher of Truth",MM2,foil,,,,,
main,1,"Kozilek, the Great Distortion",OGW,foil,,,,,
main,1,Krosan Verge,JUD,foil,,,,,
main,1,Lightning Greaves,MPS,foil,,,,,
main,1,"Linvala, Keeper of Silence",ROE,foil,,,,,
main,1,Llanowar Elves,000,foil,,,,,
main,1,Mana Crypt,MPS,foil,,,,,
main,1,Mangara of Corondor,TSP,foil,,,,,
main,1,Mindslaver,MRD,foil,,,,,
main,1,Mirari's Wake,MH2,foil,,,,,
main,1,"Mirri, Weatherlight Duelist",SLD,foil,,,,,
main,1,Mistveil Plains,SHM,foil,,,,,
main,1,Myojin of Cleansing Fire,CHK,foil,,,,,
main,1,Myojin of Life's Web,CHK,foil,,,,,
main,1,"Nissa, Vastwood Seer",000,foil,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,foil,,,,,
main,1,"Odric, Lunarch Marshal",SOI,foil,,,,,
main,1,"Okina, Temple to the Grandfathers",CHK,foil,,,,,
main,1,Oracle of Mul Daya,ZEN,foil,,,,,
main,1,Pendelhaven,000,foil,,,,,
main,7,Plains,UND,foil,,,,,
main,1,Rampant Growth,7ED,foil,,,,,
main,1,Razorverge Thicket,ZNE,foil,,,,,
main,1,"Reki, the History of Kamigawa",SLD,foil,,,,,
main,1,"Rune-Tail, Kitsune Ascendant",SOK,foil,,,,,
main,1,Sakura-Tribe Elder,SLD,foil,,,,,
main,1,Savannah,3ED,,,,,,
main,1,Selesnya Signet,RAV,foil,,,,,
main,1,"Selvala, Heart of the Wilds",CN2,foil,,,,,
main,1,Shaman of Forgotten Ways,DTK,foil,,,,,
main,1,"Sigarda, Host of Herons",AVR,foil,,,,,
main,1,Sol Ring,MPS,foil,,,,,
main,1,Sunpetal Grove,M13,foil,,,,,
main,1,Swiftfoot Boots,M12,foil,,,,,
main,1,Sylvan Caryatid,000,foil,,,,,
main,1,Temple Garden,EXP,foil,,,,,
main,1,"Thalia, Heretic Cathar",000,foil,,,,,
main,1,Thespian's Stage,GTC,foil,,,,,
main,1,Thousand-Year Elixir,LRW,foil,,,,,
main,1,Thran Temporal Gateway,DOM,foil,,,,,
main,1,Time of Need,CHK,foil,,,,,
main,1,"Ugin, the Spirit Dragon",M21,foil,,,,,
main,1,"Ulamog, the Ceaseless Hunger",BFZ,foil,,,,,
main,1,"Untaidake, the Cloud Keeper",CHK,foil,,,,,
main,1,Urza's Ruinous Blast,DOM,foil,,,,,
main,1,"Vorinclex, Voice of Hunger",SLD,foil,,,,,
main,1,Windswept Heath,EXP,foil,,,,,
main,1,Wood Elves,000,foil,,,,,
main,1,Wooded Bastion,EXP,foil,,,,,
main,1,Yavimaya Hollow,UDS,foil,,,,,
main,1,"Yeva, Nature's Herald",M13,foil,,,,,
