Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Agitator Ant,,,,,,,
main,1,Akroma's Will,,,,,,,
main,1,Ancient Tomb,,,,,,,
main,1,Angel's Grace,,,,,,,
main,1,Anguished Unmaking,SOI,,True,,,,
main,1,Arcane Signet,C20,,,,,,
main,1,Arid Mesa,,,True,,,,
main,1,Backlash,INV,,,,,,
main,1,Battlefield Forge,,,True,,,,
main,1,"Birgi, God of Storytelling",KHM,,,,,,
main,1,Blood Crypt,RTR,,True,,,,
main,1,Bloodchief Ascension,,,True,,,,
main,1,Bloodstained Mire,,,True,,,,
main,1,Bloodthirsty Blade,,,,,,,
main,1,Bolas's Citadel,WAR,,,,,,
main,1,Boros Charm,,,True,,,,
main,1,Boros Signet,,,,,,,
main,1,"Breena, the Demagogue",,foil,,,,,
main,1,Caves of Koilos,,,True,,,,
main,1,Children of Korlis,TSR,,,,,,
main,1,Chrome Mox,,,,,,,
main,1,Clifftop Retreat,ISD,,True,,,,
main,1,Command Tower,C17,,True,,,,
main,1,Dauthi Voidwalker,,,,,,,
main,1,Dawn Charm,,,True,,,,
main,1,Deflecting Palm,,,,,,,
main,1,Deflecting Swat,,,,,,,
main,1,Demonic Tutor,UMA,,True,,,,
main,1,Disrupt Decorum,C17,,True,,,,
main,1,Dockside Extortionist,,,,,,,
main,1,Dragonskull Summit,XLN,,True,,,,
main,1,Duelist's Heritage,,,,,,,
main,1,Eldrazi Displacer,,,,,,,
main,1,Enlightened Tutor,EMA,,True,,,,
main,1,Esper Sentinel,,,,,,,
main,1,Fellwar Stone,,,True,,,,
main,1,Fire Covenant,,,,,,,
main,1,Generous Gift,,,,,,,
main,1,"Gisela, Blade of Goldnight",AVR,,True,,,,
main,1,Godless Shrine,,,True,,,,
main,1,Grand Abolisher,,,True,,,,
main,1,Isolated Chapel,ISD,,True,,,,
main,1,"Kambal, Consul of Allocation",,,,,,,
main,1,"Karazikar, the Eye Tyrant",,,,,,,
main,1,"Kardur, Doomscourge",KHM,,,,,,
main,1,Kor Haven,NMS,,True,,,,
main,1,Luxury Suite,,,True,,,,
main,1,Mana Crypt,000,,,,,,
main,1,Mandate of Peace,,,,,,,
main,1,Marsh Flats,,,True,,,,
main,1,Master of Cruelties,,,True,,,,
main,1,Maze of Ith,DRK,,True,,,,
main,1,Mirage Mirror,,,True,,,,
main,1,Mother of Runes,,,True,,,,
main,2,Mountain,M10,,True,,,,
main,1,Mox Amber,,,,,,,
main,1,Mox Opal,,,,,,,
main,1,Necropotence,ICE,,True,,,,
main,1,Orzhov Signet,C17,,True,,,,
main,1,Path to Exile,MM3,,True,,,,
main,3,Plains,ALA,,True,,,,
main,1,Price of Progress,,,True,,,,
main,1,Prismatic Vista,,,,,,,
main,1,Queen Marchesa,,,True,,,,True
main,1,Rakdos Charm,TSR,,,,,,
main,1,Rakdos Signet,C17,,True,,,,
main,1,"Rankle, Master of Pranks",,,,,,,
main,1,Red Elemental Blast,,,,,,,
main,1,Rogue's Passage,,,True,,,,
main,1,Sacred Foundry,,,True,,,,
main,1,Savai Triome,,,,,,,
main,1,Scavenger Grounds,,,True,,,,
main,1,Selfless Squire,,,,,,,
main,1,"Shizo, Death's Storehouse",,,,,,,
main,1,Slayers' Stronghold,,,,,,,
main,1,Smothering Tithe,,,True,,,,
main,1,Sol Ring,C17,,True,,,,
main,1,Spectator Seating,,,,,,,
main,1,Strip Mine,4ED,,True,,,,
main,1,Sun Titan,,,,,,,
main,1,Sunforger,,,,,,,
main,2,Swamp,ALA,,True,,,,
main,1,Sword of Feast and Famine,MBS,,True,,,,
main,1,Sword of War and Peace,NPH,,True,,,,
main,1,Swords to Plowshares,C17,,True,,,,
main,1,Talisman of Conviction,,,True,,,,
main,1,Talisman of Hierarchy,,,True,,,,
main,1,Teferi's Protection,,,True,,,,
main,1,Toxic Deluge,,,,,,,
main,1,Tymna the Weaver,,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",M15,,True,,,,
main,1,Vampiric Tutor,,,True,,,,
main,1,Vault of Champions,,,,,,,
main,1,Virtus the Veiled,,,True,,,,
main,1,Wheel of Fortune,3ED,,,,,,
main,1,Yawgmoth's Will,USG,,,,,,
