Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Aetherflux Reservoir,KLD,,,,,,
main,1,"Ajani, Strength of the Pride",M20,,,,,,
main,1,Anguished Unmaking,000,,,,,,
main,1,Arid Mesa,ZNE,foil,,,,,
main,1,Ashes of the Abhorrent,XLN,,,,,,
main,1,Auriok Champion,IMA,,,,,,
main,1,Austere Command,LRW,,,,,,
main,1,Authority of the Consuls,KLD,,,,,,
main,1,Beacon of Immortality,5DN,foil,,,,,
main,1,Blind Obedience,GTC,,,,,,
main,1,Blood Artist,AVR,,,,,,
main,1,Bloodstained Mire,ZNE,foil,,,,,
main,1,Brightclimb Pathway,ZNR,foil,,,,,
main,1,Cabal Coffers,TOR,,,,,ZH,
main,1,Celestial Convergence,PCY,,,,,,
main,1,Command Tower,C13,,,,,,
main,1,Council's Judgment,2XM,foil,,,,,
main,1,Crested Sunmare,HOU,,,,,,
main,1,Crypt Ghast,C14,,,,,,
main,1,Damn,MH2,foil,,,,,
main,1,Dark Confidant,2XM,foil,,,,,
main,1,Deadly Rollick,C20,,,,,,
main,1,Demonic Tutor,2ED,,,,,DE,
main,1,Despark,WAR,foil,,,,,
main,1,"Elesh Norn, Grand Cenobite",IMA,,,,,,
main,1,Enlightened Tutor,000,foil,,,,,
main,1,Esper Sentinel,MH2,foil,,,,,
main,1,Exquisite Blood,AVR,,,,,,
main,1,Exsanguinate,SOM,,,,,,
main,1,Fabled Passage,M21,,,,,,
main,1,Fetid Heath,EXP,foil,,,,,
main,1,Flawless Maneuver,C20,,,,,,
main,1,Flooded Strand,ZNE,foil,,,,,
main,1,Fumigate,KLD,foil,,,,,
main,1,Godless Shrine,EXP,foil,,,,,
main,1,Grand Abolisher,M12,,,,,,
main,1,Grim Tutor,M21,,,,,,
main,1,"Heliod, Sun-Crowned",SLD,foil,,,,,
main,1,Idyllic Tutor,THB,,,,,,
main,1,Isolated Chapel,DOM,pre,,,,,
main,1,"Kambal, Consul of Allocation",KLD,,,,,,
main,1,Karlov of the Ghost Council,C15,,True,,,,True
main,1,Liliana of the Dark Realms,M14,,,,,,
main,1,"Linvala, Keeper of Silence",ROE,,,,,,
main,1,Luminous Broodmoth,IKO,,,,,,
main,1,Mana Crypt,EMA,,,,,,
main,1,Mana Vault,3ED,,,,,,
main,1,"Mangara, the Diplomat",M21,,,,,,
main,1,Marsh Flats,EXP,foil,,,,,
main,1,Mox Amber,DOM,,,,,,
main,1,Necropotence,ICE,,True,,,,
main,1,Night's Whisper,5DN,foil,,,,,
main,1,Path to Exile,FNM,,,,,,
main,8,Plains,THB,foil,,,,,
main,1,Polluted Delta,ZNE,foil,,,,,
main,1,Prismatic Vista,ZNE,foil,,,,,
main,1,Resplendent Angel,M19,,,,,,
main,1,Retreat to Hagra,BFZ,foil,,,,,
main,1,Rhox Faithmender,M13,,,,,,
main,1,Rogue's Passage,CN2,foil,,,,,
main,1,Sanguine Bond,M14,foil,,,,,
main,1,Scrubland,3ED,,,,HP,,
main,1,Serra Ascendant,IMA,foil,,,,,
main,1,Smothering Tithe,RNA,,,,,,
main,1,Sol Ring,3ED,,,,,,
main,1,Solitude,MH2,foil,,,,,
main,1,"Sorin, Vengeful Bloodlord",WAR,,,,,,
main,1,Soul Warden,9ED,,,,,,
main,1,Soul's Attendant,ROE,,,,,,
main,1,Sun Titan,DDL,foil,,,,,
main,6,Swamp,THB,foil,,,,,
main,1,Swords to Plowshares,PSG,,,,,,
main,1,Tablet of the Guilds,RTR,foil,,,,,
main,1,Teferi's Protection,C17,,,,,,
main,1,Test of Endurance,JUD,,,,,,
main,1,Toxic Deluge,EMA,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",M15,,,,,,
main,1,Urza's Saga,MH2,foil,,,,,
main,1,Vampire Hexmage,ZEN,,,,,,
main,1,Vampiric Tutor,PSG,foil,,,,,
main,1,Vanishing Verse,STX,,,,,,
main,1,Vault of Champions,CMR,foil,,,,,
main,1,Verdant Catacombs,ZNE,foil,,,,,
main,1,Vindicate,MH2,foil,,,,,
main,1,"Vito, Thorn of the Dusk Rose",M21,,,,,,
main,1,"Vona, Butcher of Magan",XLN,,,,,,
main,1,Walking Ballista,AER,,,,,,
main,1,Windswept Heath,ZNE,foil,,,,,
