Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ancestral Statue,,foil,,,,,
main,1,Animate Dead,,foil,,,,,
main,1,Arcane Signet,ELD,,,,,,
main,1,Archfiend of Despair,,,,,,,
main,1,Arid Mesa,ZEN,,,,,,
main,1,Artisan of Kozilek,,foil,,,,,
main,1,Blightsteel Colossus,,foil,,,,,
main,1,Blightstep Pathway,,foil,,,,,
main,1,Blisterspit Gremlin,,foil,,,,,
main,1,Blood Crypt,RTR,,,,,,
main,1,Bloodstained Mire,KTK,,,,,,
main,1,Bolt Bend,,foil,,,,,
maybe,1,Burnt Offering,,,,,,,
main,1,Castle Locthwain,ELD,,,,,,
main,1,Chrome Mox,,foil,,,,,
main,1,City of Brass,5ED,,,,,,
main,1,Command Tower,C15,,,,,,
main,1,Cryptolith Fragment,,foil,,,,,
main,1,Dauthi Voidwalker,,,,,,,
main,1,Deflecting Swat,C20,,,,,,
main,1,Demonic Tutor,3ED,,,,,,
main,1,Diabolic Intent,BBD,,,,,,
main,1,Disciple of Bolas,,foil,,,,,
main,1,Dragonskull Summit,M13,,,,,,
main,1,Dreadbore,,,,,,,
main,1,Duplicant,,foil,,,,,
main,1,Faithless Looting,MYS1,,,,,,
main,1,Fellwar Stone,4ED,,,,,,
main,1,Fervor,,,,,,,
main,1,Flame Rift,,foil,,,,,
main,1,Graven Cairns,,foil,,,,,
main,1,Heartless Hidetsugu,,foil,,,,,
main,1,Homeward Path,CMD,,,,,,
main,1,Ifnir Deadlands,HOU,,,,,,
main,1,Imp's Mischief,,,,,,,
main,1,Impact Tremors,,,,,,,
main,1,It That Betrays,,,,,,,
main,1,Jeweled Lotus,,,,,,,
main,1,Knollspine Dragon,,,,,,,
main,1,"Kozilek, Butcher of Truth",,foil,,,,,
main,1,"Kozilek, the Great Distortion",,,,,,,
main,1,Lightning Greaves,,foil,,,,,
main,1,Lobber Crew,,foil,,,,,
main,1,Luxury Suite,,foil,,,,,
main,1,Mana Confluence,JOU,,,,,,
main,1,Mindblade Render,BBD,,,,,,
main,6,Mountain,,foil,,,,,
main,1,Necromancy,,foil,,,,,
main,1,Nettle Drone,,foil,,,,,
main,1,Night Market Lookout,,foil,,,,,
main,1,Night's Whisper,MYS1,,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,,,,,,
main,1,"Olivia, Mobilized for War",,foil,,,,,
main,1,Opposition Agent,,,,,,,
main,1,"Orcus, Prince of Undeath",,,,,,,
main,1,Phyrexian Arena,,,,,,,
main,1,Phyrexian Reclamation,,,,,,,
main,1,Plague Spitter,,foil,,,,,
main,1,Polluted Delta,KTK,,,,,,
main,1,Rakdos Signet,DIS,,,,,,
main,1,"Rakdos, Lord of Riots",GK2,foil,,,,,True
main,1,"Razaketh, the Foulblooded",HOU,,,,,,
main,1,Reanimate,,,,,,,
maybe,1,Sacrifice,,,,,,,
main,1,Sanctum of Stone Fangs,,foil,,,,,
main,1,Sanctum of Ugin,BFZ,,,,,,
main,1,Sandstone Oracle,,foil,,,,,
main,1,Scroll Rack,,foil,,,,,
main,1,Shepherd of Rot,,,,,,,
main,1,"Shinka, the Bloodsoaked Keep",,,,,,,
main,1,"Shizo, Death's Storehouse",,,,,,,
main,1,Sign in Blood,,foil,,,,,
main,1,Smoldering Marsh,C20,,,,,,
main,1,Sol Ring,C19,,,,,,
main,1,Spear Spewer,,foil,,,,,
main,1,Stormfist Crusader,,foil,,,,,
main,1,Sunscorched Desert,,foil,,,,,
main,5,Swamp,,foil,,,,,
main,1,Swiftfoot Boots,,foil,,,,,
main,1,Talisman of Indulgence,,,,,,,
main,1,Terminate,MM3,,,,,,
main,1,Thermo-Alchemist,,foil,,,,,
main,1,Thrill of Possibility,,foil,,,,,
main,1,Tree of Perdition,,foil,,,,,
main,1,"Ulamog, the Infinite Gyre",,foil,,,,,
main,1,Urabrask the Hidden,,foil,,,,,
main,1,"Urborg, Tomb of Yawgmoth",UMA,,,,,,
main,1,Valakut Awakening,,foil,,,,,
main,1,Vampiric Tutor,,,,,,,
main,1,"Varragoth, Bloodsky Sire",,foil,,,,,
main,1,Verdant Catacombs,ZEN,,,,,,
main,1,Void Winnower,,,,,,,
main,1,Wheel of Fortune,,,,,,,
