Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,AEther Adept,M12,,,,,,
main,1,Air-Cult Elemental,AFR,,,,,,
main,1,Annul,KHM,foil,,,,,
main,1,Archetype of Imagination,BNG,,,,,,
main,1,Archmage's Charm,MH1,,,,,,
main,1,Ascendant Spirit,KHM,,,,,,
main,1,"Barrin, Tolarian Archmage",M21,pre,,,,,
main,1,Blue Sun's Zenith,STA,,,,,,
main,1,Cloudkin Seer,M20,,,,,,
main,1,Conjurer's Closet,AVR,,,,,,
main,1,Counterspell,MH2,,,,,,
main,1,Crystal Shard,MRD,,,,,,
main,1,Cyclonic Rift,RTR,,,,,,
main,1,Dark Depths,UMA,,,,,,
main,1,Deadeye Navigator,MM3,,,,,,
main,1,Delay,MYSTOR,foil,,,,,
main,1,Devastation Tide,AVR,,,,,,
main,1,Dragon Turtle,AFR,foil,,,,,
main,1,Erratic Portal,EXO,,,,,,
main,1,Force of Will,2XM,,,,,,
main,1,Gilded Lotus,MRD,foil,,,,,
main,1,Graven Lore,KHM,foil,,,,,
main,1,Icebreaker Kraken,KHM,,,,,,
main,1,Island,ELD,foil,,,,,
main,2,Island,ELD,foil,,,,,
main,2,Island,ELD,foil,,,,,
main,2,Island,IKO,foil,,,,,
main,2,Island,IKO,foil,,,,FR,
main,1,Island,KLD,,,,,,
main,2,Island,M21,foil,,,,,
main,1,Island,ONS,foil,,,,,
main,1,Island,UND,,,,,,
main,1,Jace Beleren,SS1,,,,,,
main,1,Jace's Mindseeker,M14,foil,,,,,
main,1,"Jace, Wielder of Mysteries",WAR,,,,,JA,
main,1,Karn's Temporal Sundering,DOM,,,,,,
main,1,Kiora Bests the Sea God,THB,,,,,,
main,1,Laboratory Maniac,UMA,,,,,,
main,1,Leveler,TSR,,,,,,
main,1,Leyline of Anticipation,M11,,,,,,
main,1,Man-o'-War,VIS,,,,,,
main,1,Mana Crypt,2XM,,,,,,
main,1,Marit Lage's Slumber,MH1,,,,,,
main,1,Meteor Golem,C19,,,,,,
main,1,Mind Flayer,AFR,,,,,,
main,1,Mist Raven,MM3,,,,,,
main,1,Mordenkainen,AFR,foil,,,,,
main,1,Mulldrifter,CMR,,,,,,
main,1,"Narset, Parter of Veils",WAR,,,,,JA,
main,1,Negate,STA,foil,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,,,,,,
main,1,Pact of Negation,TSR,,,,,,
main,1,Panharmonicon,KLD,,,,,,
main,1,Peregrine Drake,EMA,foil,,,,,
main,1,Pongify,2XM,foil,,,,,
main,1,Propaganda,TMP,,,,,,
main,1,Ravenform,KHM,,,,,,
main,1,Reliquary Tower,000,foil,,,,,
main,1,Roil Elemental,SLD,foil,,,,,
main,1,Scholar of the Lost Trove,,pre,,,,,
main,1,Snow Day,STX,,,,,,
main,13,Snow-Covered Island,KHM,,,,,,
main,3,Snow-Covered Island,KHM,foil,,,,,
main,1,Snow-Covered Island,MH1,,,,,,
main,1,Sol Ring,C16,,,,,,
main,1,Solemn Simulacrum,M12,foil,,,,,
main,1,Spell Pierce,SLD,,,,,,
main,1,Stifle,CNS,,,,,,
main,1,Stormsurge Kraken,C14,,,,,,
main,1,Strategic Planning,STA,,,,,,
main,1,Sublime Epiphany,M21,foil,,,,,
main,1,Subtlety,MH2,,,,,,
main,1,Swan Song,SLD,,,,,,
main,1,Teferi's Ageless Insight,M21,foil,,,,,
main,1,Tempest Caller,XLN,,,,,,
main,1,Thassa's Oracle,THB,,,,,,
main,1,"Thassa, Deep-Dwelling",THB,foil,,,,,True
main,1,"Thassa, God of the Sea",SLD,foil,,,,,
main,1,Thought Monitor,MH2,,,,,,
main,1,Time Warp,STA,,,,,,
main,1,Walk the Aeons,TSR,,,,,,
