Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Altar of Dementia,CNS,foil,,,,,
main,1,Ancient Tomb,V12,foil,,,,,
main,1,Angelic Renewal,UMA,foil,,,,,
main,1,Anguished Unmaking,000,foil,,,,,
main,1,Animate Dead,GRV,foil,,,,,
main,1,Arcane Signet,SLD,foil,,,,,
main,1,Ashnod's Altar,EMA,foil,,,,,
main,1,Aura of Silence,10E,foil,,,,,
main,1,Banisher Priest,000,foil,,,,,
main,1,Blasting Station,MYSTOR,foil,,,,,
main,1,Blind Obedience,GTC,foil,,,,,
main,1,Blood Artist,EMA,foil,,,,,
main,1,Bloodghast,ZEN,foil,,,,,
main,1,Bloodsoaked Champion,KTK,foil,,,,,
main,1,Bojuka Bog,WWK,foil,,,,,
main,1,Brightclimb Pathway,ZNR,foil,,,,,
main,1,Buried Alive,GRV,foil,,,,,
main,1,Buried Ruin,2XM,foil,,,,,
main,1,Castle Locthwain,ELD,foil,,,,,
main,1,Caves of Koilos,ORI,foil,,,,,
main,1,Chrome Mox,000,foil,,,,,
main,1,Coalition Relic,A25,foil,,,,,
main,1,Command Tower,000,foil,,,,,
main,1,Concealed Courtyard,KLD,foil,,,,,
main,1,Corpse Knight,000,foil,,,,,
main,1,Cruel Celebrant,WAR,foil,,,,,
main,1,Damnation,MM3,foil,,,,,
main,1,Dark Prophecy,M14,foil,,,,,
main,1,Dark Ritual,A25,foil,,,,,
main,1,Darkest Hour,USG,,,,,,
main,1,Demonic Tutor,UMAP,foil,,,,,
main,1,Despark,WAR,foil,,,,,
main,1,Diabolic Intent,BBD,foil,,,,,
main,1,Enlightened Tutor,EMA,foil,,,,,
main,1,Fetid Heath,EXP,foil,,,,,
main,1,Fracture,STX,foil,,,,,
main,1,Godless Shrine,EXP,foil,,,,,
main,1,Grand Abolisher,M12,foil,,,,,
main,1,Gravecrawler,000,foil,,,,,
main,1,Grim Haruspex,KTK,foil,,,,,
main,1,Haunted Dead,EMN,foil,,,,,
main,1,Inventors' Fair,KLD,foil,,,,,
main,1,Isolated Chapel,ISD,foil,,,,,
main,1,Karmic Guide,EMA,foil,,,,,
main,1,Leonin Relic-Warder,MBS,foil,,,,,
main,1,Lurrus of the Dream-Den,IKO,foil,,,,,
main,1,Mana Crypt,EMA,foil,,,,,
main,1,Marsh Flats,EXP,foil,,,,,
main,1,Mentor of the Meek,ISD,foil,,,,,
main,1,Merciless Eviction,GTC,foil,,,,,
main,1,Midnight Reaper,GRN,foil,,,,,
main,1,Mox Diamond,V10,foil,,,,,
main,1,Myriad Landscape,A25,foil,,,,,
main,1,Necromancy,VIS,,,,,,
main,1,Necropotence,EMA,foil,,,,,
main,1,Nether Traitor,TSP,foil,,,,,
main,1,Nim Deathmantle,SOM,foil,,,,,
main,1,Orzhov Basilica,GPT,foil,,,,,
main,1,Orzhov Signet,GPT,foil,,,,,
main,1,Pawn of Ulamog,ROE,foil,,,,,
main,1,Phyrexian Altar,UMA,foil,,,,,
main,1,Phyrexian Tower,UMA,foil,,,,,
main,1,Pitiless Plunderer,RIX,foil,,,,,
main,3,Plains,GK2,foil,,,,,
main,1,Prismatic Vista,ZNE,foil,,,,,
main,1,Reassembling Skeleton,M12,foil,,,,,
main,1,Recruiter of the Guard,CN2,foil,,,,,
main,1,Reliquary Tower,000,foil,,,,,
main,1,Reveillark,UMA,foil,,,,,
main,1,Sadistic Hypnotist,ODY,,,,,,
main,1,Scrubland,LEB,,,,,,
main,1,Sengir Autocrat,EMA,foil,,,,,
main,1,Shambling Vent,BFZ,pre,,,,,
main,1,Shineshadow Snarl,STX,foil,,,,,
main,1,Silent Clearing,MH1,foil,,,,,
main,1,Skullclamp,V09,foil,,,,,
main,1,Smothering Abomination,BFZ,foil,,,,,
main,1,Sol Ring,V10,foil,,,,,
main,1,Stoneforge Mystic,000,foil,,,,,
main,1,Sun Titan,PSG,foil,,,,,
main,5,Swamp,GK2,foil,,,,,
main,1,Swords to Plowshares,EMA,foil,,,,,
main,1,Tainted Field,DDK,,,,,,
main,1,Talisman of Hierarchy,MH1,foil,,,,,
main,1,"Teysa, Orzhov Scion",GK2,,,,,,True
main,1,The Meathook Massacre,MID,foil,,,,,
main,1,Thespian's Stage,UMA,foil,,,,,
main,1,Thought Vessel,CMR,foil,,,,,
main,1,"Urborg, Tomb of Yawgmoth",V12,foil,,,,,
main,1,Vampiric Tutor,000,foil,,,,,
main,1,Vault of Champions,CMR,foil,,,,,
main,1,Viscera Seer,M11,foil,,,,,
main,1,"Yawgmoth, Thran Physician",MH1,foil,,,,,
main,1,Zulaport Cutthroat,SLD,foil,,,,,
