Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Acid Web Spider,,foil,,,,,
main,1,Adaptive Automaton,,foil,,,,,
main,1,All Is Dust,000,foil,,,,,
main,1,Arachnogenesis,,,,,,,
main,1,Arachnus Spinner,MM3,foil,,,,,
main,1,Arachnus Web,MM3,foil,,,,,
main,1,Arasta of the Endless Web,THB,foil,,,,,
main,1,Arcane Signet,SLD,foil,,,,,
main,1,Ashnod's Altar,EMA,foil,,,,,
main,1,Assassin's Trophy,GRN,foil,,,,,
main,1,Bane of Progress,CC1,foil,,,,,
main,1,Bayou,3ED,,,,,,
main,1,Beast Within,NPH,foil,,,,,
main,1,Black Sun's Zenith,000,foil,,,,,
main,1,Blightwidow,,foil,,,,,
main,1,Blooming Marsh,,foil,,,,,
main,1,Bojuka Bog,WWK,foil,,,,,
main,1,Cabal Coffers,000,foil,,,,,
main,1,Cavern of Souls,UMAP,foil,,,,,
main,1,Command Tower,000,foil,,,,,
main,1,Craterhoof Behemoth,MM3,foil,,,,,
main,1,Crop Rotation,2XM,foil,,,,,
main,1,Cultivate,M21,foil,,,,,
main,1,Dakmor Salvage,MMA,foil,,,,,
main,1,Deadly Recluse,,foil,,,,,
main,1,Demonic Tutor,000,,,,,,
main,1,Diabolic Intent,AKHMPS,foil,,,,,
main,1,Doubling Season,RAV,foil,,,,,
main,1,Dryad Arbor,V12,foil,,,,,
main,1,"Erebos, God of the Dead",SLD,foil,,,,,
main,1,Eternal Witness,UMAP,foil,,,,,
main,1,Fabled Passage,ELD,foil,,,,,
main,1,Force of Vigor,MH1,foil,,,,,
main,7,Forest,HOU,foil,,,,,
main,1,Gaea's Cradle,PSG,foil,,,,,
main,1,Golgari Signet,MM3,foil,,,,,
main,1,Grapple with the Past,EMN,foil,,,,,
main,1,Green Sun's Zenith,V13,foil,,,,,
main,1,Grim Tutor,M21,foil,,,,,
main,1,Grisly Salvage,000,foil,,,,,
main,1,"Grist, the Hunger Tide",MH2,foil,,,,,
main,1,Harrow,ZEN,foil,,,,,
main,1,"Ishkanah, Grafwidow",,foil,,,,,True
main,1,Jeweled Lotus,CMR,foil,,,,,
main,1,Jungle Weaver,,foil,,,,,
main,1,Kessig Recluse,DKA,foil,,,,,
main,1,Krosan Grip,000,foil,,,,,
main,1,Life from the Loam,UMAP,foil,,,,,
main,1,Llanowar Wastes,ORI,foil,,,,,
main,1,"Lolth, Spider Queen",AFR,foil,,,,,
main,1,Maelstrom Pulse,000,foil,,,,,
main,1,Mana Crypt,MPS,foil,,,,,
main,1,Metallic Mimic,AER,foil,,,,,
main,1,Natural Order,STA,foil,,,,,
main,1,Nim Deathmantle,,foil,,,,,
main,1,Nurturing Peatland,,foil,,,,,
main,1,Nyx Weaver,,foil,,,,,
main,1,Obelisk of Urd,,foil,,,,,
main,1,Overgrown Tomb,EXP,foil,,,,,
main,1,Parallel Lives,ISD,foil,,,,,
main,1,Penumbra Spider,MM3,foil,,,,,
main,1,Perpetual Timepiece,,foil,,,,,
main,1,Phyrexian Altar,INV,foil,,,,,
main,1,Prismatic Vista,,foil,,,,,
main,1,Rings of Brighthearth,MPS,foil,,,,,
main,1,Rotwidow Pack,,foil,,,,,
main,1,Silklash Spider,M13,foil,,,,,
main,1,Slitherbore Pathway,KHM,foil,,,,,
main,1,Sol Ring,MPS,foil,,,,,
main,1,Spider Spawning,ISD,foil,,,,,
main,1,Sporeweb Weaver,M21,foil,,,,,
main,1,Stingerfling Spider,,foil,,,,,
main,3,Swamp,HOU,foil,,,,,
main,1,Swarmyard,,foil,,,,,
main,1,Sylvan Library,EMA,foil,,,,,
main,1,Talisman of Resilience,MH1,foil,,,,,
main,1,Temple of Malady,M21,foil,,,,,
main,1,The Meathook Massacre,MID,foil,,,,,
main,1,Toxic Deluge,2XM,foil,,,,,
main,1,Twilight Mire,EXP,foil,,,,,
main,1,Twin-Silk Spider,,foil,,,,,
main,1,Undergrowth Stadium,CMR,foil,,,,,
main,1,"Urborg, Tomb of Yawgmoth",M15,foil,,,,,
main,1,Urza's Saga,MH2,foil,,,,,
main,1,Vampiric Tutor,CMR,foil,,,,,
main,1,Verdant Catacombs,EXP,foil,,,,,
main,1,Vessel of Nascency,,foil,,,,,
main,1,"Vraska, Golgari Queen",GRNMED,foil,,,,,
main,1,"Vraska, Relic Seeker",,foil,,,,,
main,1,Whip of Erebos,THS,foil,,,,,
main,1,Woodland Cemetery,ISD,foil,,,,,
main,1,"Yavimaya, Cradle of Growth",MH2,foil,,,,,
