Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,MMA,,,,,,
main,1,Adarkar Wastes,6ED,,,,,,
main,1,Aether Spellbomb,JMP,,,,,,
main,1,Aetherflux Reservoir,MYS1,,,,,,
acquire,1,Aetherworks Marvel,,,,,,,
main,1,"Alela, Artful Provocateur",ELD,foil,,,,,True
maybe,1,All That Glitters,ELD,,,,,,
main,1,Ancient Den,MRD,,,,,,
maybe,1,Anguished Unmaking,SOI,,,,,,
maybe,1,Arcane Denial,A25,,,,,,
main,1,Arcane Sanctum,ALA,,,,,,
main,1,Arcane Signet,C21,,,,,,
maybe,1,Arcum Dagsson,CSP,,,,,,
maybe,1,Artificer's Assistant,DOM,,,,,,
maybe,1,Auriok Salvagers,2XM,,,,,,
maybe,1,Azorius Chancery,C16,,,,,,
maybe,1,Azorius Signet,DIS,,,,,,
main,1,Baleful Strix,C13,,,,,,
maybe,1,Ballista Charger,KLD,,,,,,
maybe,1,Basalt Monolith,C15,,,,,,
acquire,1,Blasting Station,,,,,,,
maybe,1,Blue Sun's Zenith,C15,,,,,,
maybe,1,Bolas's Citadel,WAR,,,,,,
maybe,1,Brainstone,MH2,,,,,,
acquire,1,Brazen Borrower,,,,,,,
maybe,1,Bronze Guardian,C21,,,,,,
maybe,1,Broodstar,MRD,,,,,,
main,1,Buried Ruin,M12,,,,,,
maybe,1,Caltrops,UDS,,,,,,
maybe,1,Caves of Koilos,MD1,,,,,,
maybe,1,Chief Engineer,C16,,,,,,
main,1,Chromatic Sphere,MRD,,,,,,
main,1,Chromatic Star,2XM,,,,,,
maybe,1,Clock of Omens,M13,,,,,,
acquire,1,Cloud Key,,,,,,,
main,1,Codex Shredder,CMR,,,,,,
main,1,Command Tower,C16,,,,,,
maybe,1,Commander's Sphere,AFC,,,,,,
main,1,Conjurer's Bauble,5DN,,,,,,
maybe,1,Copy Artifact,3ED,,,,,,
maybe,1,Counterspell,5ED,,,,,,
main,1,Cranial Plating,C16,,,,,,
maybe,1,"Dakkon, Shadow Slayer",MH2,,,,,,
main,1,Damn,MH2,,,,,,
maybe,1,Damnation,MM3,,,,,,
main,1,Dance of the Manse,ELD,,,,,,
main,1,Darksteel Citadel,C21,,,,,,
maybe,1,Darksteel Forge,M14,,,,,,
maybe,1,Darksteel Ingot,M14,,,,,,
maybe,1,Darksteel Juggernaut,SOM,,,,,,
main,1,Darkwater Egg,ODY,,,,,,
maybe,1,Debt to the Deathless,DGM,,,,,,
maybe,1,Despark,WAR,,,,,,
maybe,1,Dig Through Time,KTK,,,,,,
main,1,Digsite Engineer,,,,,,,
maybe,1,Dimir Aqueduct,PCA,,,,,,
maybe,1,Dimir Signet,RAV,,,,,,
