Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Acolyte of Affliction,,,,,,,
main,1,Altar of Dementia,,,,,,,
main,1,Apocalypse Demon,,,,,,,
maybe,1,Autumnal Gloom,,,,,,,
main,1,Bala Ged Recovery,,,,,,,
main,1,Barren Moor,,,,,,,
main,1,Beast Within,,,,,,,
main,1,Bojuka Bog,,,,,,,
main,1,Bontu's Monument,,,,,,,
main,1,Butcher of Malakir,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Crop Sigil,,,,,,,
main,1,Culling Ritual,STX,,,,,,
main,1,Death Match,,,,,,,
main,1,Decree of Pain,,,,,,,
main,1,Diligent Farmhand,,,,,,,
main,1,Disciple of Bolas,,,,,,,
main,1,Doomgape,,,,,,,
main,1,Elemental Bond,,,,,,,
main,1,Elves of Deep Shadow,,,,,,,
main,1,Elvish Mystic,,,,,,,
main,1,End-Raze Forerunners,,,,,,,
main,1,Evolving Wilds,,,,,,,
main,1,Field of Ruin,,,,,,,
maybe,1,Fireshrieker,,,,,,,
main,1,Font of Fertility,,,,,,,
main,8,Forest,,,,,,,
maybe,1,Fyndhorn Elves,,,,,,,
main,1,Garruk's Packleader,,,,,,,
maybe,1,Garruk's Uprising,,,,,,,
main,1,Genesis,,,,,,,
maybe,1,"Ghalta, Primal Hunger",,,,,,,
main,1,Glowspore Shaman,,,,,,,
main,1,Golgari Germination,,,,,,,
main,1,Golgari Rot Farm,,,,,,,
main,1,"Goreclaw, Terror of Qal Sisma",,,,,,,
main,1,Gravebreaker Lamia,,,,,,,
main,1,Greater Good,,,,,,,
main,1,Grisly Salvage,,,,,,,
main,1,Gutter Grime,,,,,,,
main,1,Hagra Mauling,,,,,,,
main,1,"Hogaak, Arisen Necropolis",,,,,,,True
main,1,Ilysian Caryatid,,,,,,,
maybe,1,Inquisitor's Flail,,,,,,,
main,1,"Jarad, Golgari Lich Lord",,,,,,,
maybe,1,"Kalitas, Traitor of Ghet",,,,,,,
main,1,Khalni Ambush,,,,,,,
main,1,Khalni Garden,,,,,,,
main,1,Korozda Guildmage,,,,,,,
main,1,Life's Legacy,,,,,,,
main,1,Llanowar Elves,,,,,,,
main,1,Llanowar Mentor,,,,,,,
main,1,Llanowar Wastes,,,,,,,
main,1,Loam Dryad,,,,,,,
main,1,Massacre Girl,,,,,,,
main,1,Mausoleum Secrets,,,,,,,
main,1,Memorial to Folly,,,,,,,
main,1,Mire Triton,,,,,,,
main,1,Mogis's Marauder,,,,,,,
main,1,Moldervine Reclamation,,,,,,,
main,1,Momentous Fall,,,,,,,
main,1,Mortuary Mire,,,,,,,
main,1,Mosswort Bridge,,,,,,,
main,1,Nighthowler,ZNC,,,,,,
main,1,Nyx Weaver,,,,,,,
main,1,Ooze Garden,,,,,,,
main,1,Open the Graves,,,,,,,
maybe,1,Path of Discovery,,,,,,,
maybe,1,"Polukranos, Unchained",,,,,,,
main,1,Rampant Growth,,,,,,,
main,1,Return of the Wildspeaker,,,,,,,
main,1,Rhonas's Monument,,,,,,,
main,1,Rogue's Passage,,,,,,,
main,1,Rushed Rebirth,STX,,,,,,
main,1,Saruli Caretaker,,,,,,,
main,1,Satyr Wayfinder,,,,,,,
main,1,Selesnya Eulogist,,,,,,,
main,1,Sequestered Stash,,,,,,,
main,1,Sewer Nemesis,MYS1,,,,,,
main,1,Skull Prophet,,,,,,,
maybe,1,Soldevi Adnate,ALL,,,,,,
main,1,Status / Statue,,,,,,,
main,1,Stitcher's Supplier,,,,,,,
main,1,"Surrak, the Hunt Caller",,,,,,,
main,7,Swamp,,,,,,,
main,1,Tainted Wood,,,,,,,
main,1,Temple of Malady,,,,,,,
main,1,Terramorphic Expanse,,,,,,,
main,1,Tranquil Thicket,,,,,,,
main,1,Underrealm Lich,,,,,,,
main,1,Urborg Justice,,,,,,,
main,1,Veteran Explorer,,,,,,,
main,1,Void Maw,,,,,,,
maybe,1,Wand of Orcus,AFC,,,,,,
main,1,Whisperer of the Wilds,,,,,,,
main,1,Wild Growth,,,,,,,
main,1,Windgrace's Judgment,,,,,,,
maybe,1,Witherbloom Command,STX,,,,,,
main,1,Xathrid Demon,,,,,,,
