Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Abrupt Decay,TSR,,,,,,
acquire,1,Abrupt Decay,,,,,,,
maybe,1,Altar of the Brood,KTK,,,,,,
main,1,Ancient Tomb,ZNE,,,,,,
acquire,1,Ancient Tomb,,,,,,,
main,1,Arcane Denial,CMR,,,,,,
main,1,Arcane Signet,C21,,,,,,
maybe,1,"Ashiok, Dream Render",SLD,,,,,,
maybe,1,"Ashiok, Nightmare Muse",THB,,,,,,
main,1,Assassin's Trophy,GRN,,,,,,
acquire,1,Assassin's Trophy,,,,,,,
main,1,"Azusa, Lost but Seeking",M21,,,,,,
acquire,1,Bala Ged Recovery,,,,,,,
main,1,Bala Ged Sanctuary,ZNR,,,,,,
maybe,1,Basalt Monolith,C15,,,,,,
main,1,Beast Within,NPH,,,,,,
acquire,1,Beast Within,,,,,,,
main,1,Birds of Paradise,SLD,,,,,,
acquire,1,Birds of Paradise,SLD,,,,,,
main,1,Blue Sun's Zenith,STA,,,,,,
acquire,1,Blue Sun's Zenith,STA,,,,,,
main,1,Bojuka Bog,C19,,,,,,
main,1,"Boseiju, Who Shelters All",V12,,,,,,
acquire,1,"Boseiju, Who Shelters All",V12,,,,,,
main,1,Breeding Pool,SLD,,,,,,
acquire,1,Breeding Pool,,,,,,,
maybe,1,Bruvac the Grandiloquent,JMP,,,,,,
main,1,Burgeoning,C16,,,,,,
acquire,1,Burgeoning,C16,,,,,,
main,1,Cabal Coffers,MH2,,,,,,
acquire,1,Cabal Coffers,,,,,,,
main,1,Carpet of Flowers,SLD,,,,,,
acquire,1,Carpet of Flowers,SLD,,,,,,
main,1,Chrome Mox,2XM,,,,,,
acquire,1,Chrome Mox,2XM,,,,,,
main,1,City of Brass,MD1,,,,,,
acquire,1,City of Brass,,,,,,,
main,1,Command Tower,ELD,,,,,,
main,1,Consecrated Sphinx,MBS,,,,,,
acquire,1,Consecrated Sphinx,,,,,,,
acquire,1,Crucible of Fire,IMA,,,,,,
main,1,Crucible of Worlds,M19,,,,,,
main,1,Cyclonic Rift,C14,,,,,,
acquire,1,Cyclonic Rift,,,,,,,
main,1,"Damia, Sage of Stone",,,,,,,True
main,1,Dark Confidant,2XM,,,,,,
acquire,1,Dark Confidant,,,,,,,
main,1,Dark Ritual,STA,,,,,,
acquire,1,Dark Ritual,STA,,,,,,
main,1,Deadeye Navigator,MM3,,,,,,
acquire,1,Deadeye Navigator,MM3,,,,,,
maybe,1,Deadly Rollick,C20,,,,,,
main,1,Deathrite Shaman,GK1,,,,,,
main,1,Demonic Tutor,000,,,,,,
acquire,1,Demonic Tutor,,,,,,,
maybe,1,"Emrakul, the Promised End",EMN,,,,,,
maybe,1,Endbringer,OGW,,,,,,
main,1,Eternal Witness,TSR,,,,,,
acquire,1,Eternal Witness,TSR,,,,,,
main,1,Exotic Orchard,C19,,,,,,
acquire,1,Exotic Orchard,,,,,,,
main,1,Exploration,2XM,,,,,,
acquire,1,Exploration,,,,,,,
main,1,Expropriate,CN2,,,,,,
main,1,Forbidden Orchard,C16,,,,,,
acquire,1,Forbidden Orchard,C16,,,,,,
main,1,Force of Will,2XM,,,,,,
acquire,1,Force of Will,2XM,,,,,,
main,1,Forest,MID,,,,,,
maybe,1,Fractured Sanity,MH2,,,,,,
maybe,1,Fraying Sanity,HOU,,,,,,
acquire,1,Glasspool Shore,,,,,,,
main,1,Grim Tutor,M21,,,,,,
acquire,1,Grim Tutor,,,,,,,
acquire,1,Hagra Broodpit,,,,,,,
maybe,1,Hedron Crab,ZEN,,,,,,
main,1,Homeward Path,C16,,,,,,
main,1,Intuition,TPR,,,,,,
acquire,1,Intuition,TPR,,,,,,
main,3,Island,JMP,,,,,,
maybe,1,It That Betrays,DDP,,,,,,
main,1,"Jace, Wielder of Mysteries",SLD,foil,,,,,
main,1,Jeweled Lotus,CMR,,,,,,
acquire,1,Jeweled Lotus,CMR,,,,,,
main,1,Jwari Ruins,ZNR,,,,,,
acquire,1,Jwari Ruins,,,,,,,
maybe,1,"Kozilek, Butcher of Truth",UMA,,,,,,
maybe,1,"Kozilek, the Great Distortion",OGW,,,,,,
main,1,Leyline of Anticipation,M20,,,,,,
maybe,1,Leyline of the Void,M11,,,,,,
main,1,Lim-Dul's Vault,C13,,,,,,
acquire,1,Lim-Dul's Vault,C13,,,,,,
main,1,Lotus Cobra,ZNR,,,,,,
acquire,1,Lotus Cobra,ZNR,,,,,,
maybe,1,Maddening Cacophony,ZNR,,,,,,
acquire,1,Malakir Mire,ZNR,,,,,,
main,1,Mana Confluence,JOU,,,,,,
acquire,1,Mana Confluence,,,,,,,
main,1,Mana Crypt,2XM,,,,,,
acquire,1,Mana Crypt,,,,,,,
main,1,Mana Drain,CMR,,,,,,
acquire,1,Mana Drain,CMR,,,,,,
main,1,Mana Vault,UMA,,,,,,
acquire,1,Mana Vault,UMA,,,,,,
maybe,1,Manic Scribe,SOI,,,,,,
maybe,1,Mind Grind,GTC,,,,,,
main,1,Misty Rainforest,ZNE,,,,,,
acquire,1,Misty Rainforest,,,,,,,
maybe,1,Mockery of Nature,EMN,,,,,,
main,1,Morphic Pool,ZNE,,,,,,
main,1,Murkwater Pathway,ZNR,,,,,,
main,1,Mystic Remora,MED,,,,,,
acquire,1,Mystic Remora,MED,,,,,,
main,1,Mystical Tutor,EMA,,,,,,
acquire,1,Mystical Tutor,EMA,,,,,,
main,1,Nature's Claim,TSR,,,,,,
acquire,1,Nature's Claim,,,,,,,
main,1,Nature's Lore,AFC,,,,,,
acquire,1,Nature's Lore,AFC,,,,,,
main,1,Necropotence,EMA,,,,,,
acquire,1,Necropotence,,,,,,,
main,1,Negate,STA,,,,,,
acquire,1,Negate,,,,,,,
maybe,1,Notion Thief,ZNC,,,,,,
main,1,Null Brooch,EXO,,,,,,
main,1,Null Profusion,PLC,,,,,,
acquire,1,Null Profusion,,,,,,,
main,1,Opposition Agent,CMR,,,,,,
acquire,1,Opposition Agent,,,,,,,
main,1,Overgrown Tomb,SLD,,,,,,
acquire,1,Overgrown Tomb,,,,,,,
main,1,Pact of Negation,AKHMPS,,,,,,
acquire,1,Pact of Negation,TSR,,,,,,
main,1,Palinchron,VMA,,,,,,
acquire,1,Palinchron,VMA,,,,,,
main,1,Peregrine Drake,BBD,,,,,,
main,1,Pernicious Deed,A25,,,,,,
acquire,1,Pernicious Deed,,,,,,,
main,1,Phantasmal Image,AFC,,,,,,
main,1,Polluted Delta,ZNE,,,,,,
acquire,1,Polluted Delta,,,,,,,
main,1,Praetor's Grasp,NPH,,,,,,
acquire,1,Praetor's Grasp,NPH,,,,,,
main,1,Prismatic Vista,H1R,foil,,,,,
acquire,1,Prismatic Vista,,,,,,,
main,1,Recycle,TPR,,,,,,
acquire,1,Recycle,,,,,,,
main,1,Reflecting Pool,CNS,,,,,,
acquire,1,Reflecting Pool,,,,,,,
main,1,Reliquary Tower,C19,,,,,,
main,1,Rhystic Study,PCY,,,,,,
maybe,1,Rings of Brighthearth,CMR,,,,,,
main,1,Riptide Laboratory,MH2,,,,,,
maybe,1,Ruin Crab,ZNR,,,,,,
main,1,Rune-Scarred Demon,MYS1,,,,,,
acquire,1,Rune-Scarred Demon,MYS1,,,,,,
main,1,Scroll Rack,CMR,,,,,,
acquire,1,Scroll Rack,CMR,,,,,,
main,1,"Sea Gate, Reborn",ZNR,,,,,,
acquire,1,"Sea Gate, Reborn",,,,,,,
maybe,1,Sire of Stagnation,BFZ,,,,,,
main,1,Slitherbore Pathway,KHM,,,,,,
main,1,Sol Ring,C19,,,,,,
maybe,1,Spawnsire of Ulamog,ROE,,,,,,
maybe,1,Sphinx's Tutelage,ORI,,,,,,
main,1,Strip Mine,ZNE,,,,,,
acquire,1,Strip Mine,ZNE,,,,,,
main,1,Swamp,MID,,,,,,
main,1,Swan Song,SLD,,,,,,
acquire,1,Swan Song,,,,,,,
main,1,Sylvan Library,CC1,,,,,,
acquire,1,Sylvan Library,,,,,,,
maybe,1,Teferi's Tutelage,M21,,,,,,
acquire,1,"Teferi, Mage of Zhalfir",TSR,,,,,,
main,1,Three Visits,CMR,,,,,,
main,1,Tidechannel Pathway,KHM,,,,,,
main,1,Time Warp,STA,,,,,,
acquire,1,Time Warp,STA,,,,,,
main,1,Tolaria West,TSR,,,,,,
acquire,1,Tolaria West,,,,,,,
main,1,Tooth and Nail,MRD,,,,,,
acquire,1,Tooth and Nail,MRD,,,,,,
main,1,Toxic Deluge,CC2,,,,,,
acquire,1,Toxic Deluge,,,,,,,
maybe,1,"Ulamog, the Ceaseless Hunger",BFZ,,,,,,
maybe,1,"Ulamog, the Infinite Gyre",UMA,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",M15,,,,,,
main,1,Vampiric Tutor,CMR,,,,,,
acquire,1,Vampiric Tutor,,,,,,,
main,1,"Venser, Shaper Savant",TSR,,,,,,
acquire,1,"Venser, Shaper Savant",TSR,,,,,,
main,1,Verdant Catacombs,ZNE,,,,,,
acquire,1,Verdant Catacombs,,,,,,,
main,1,Wasteland,ZNE,,,,,,
acquire,1,Wasteland,,,,,,,
main,1,Watery Grave,SLD,,,,,,
acquire,1,Watery Grave,,,,,,,
maybe,1,World Breaker,OGW,,,,,,
main,1,Yawgmoth's Will,VMA,,,,,,
acquire,1,Yawgmoth's Will,VMA,,,,,,
main,1,Zagoth Triome,IKO,,,,,,
