Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Allosaurus Shepherd,,,,,,,
main,1,Ancient Tomb,,foil,,,,,
main,1,Arbor Elf,,foil,,,,,
main,1,Avenger of Zendikar,,foil,,,,,
main,1,"Azusa, Lost but Seeking",,foil,,,,,True
main,1,Bala Ged Sanctuary,ZNR,foil,,,,,
main,1,Bane of Progress,,,,,,,
main,1,Batterskull,2XM,,,,,,
main,1,Beast Within,,foil,,,,,
main,1,Birds of Paradise,,foil,,,,,
main,1,Boreal Druid,,foil,,,,,
main,1,"Boseiju, Who Shelters All",,foil,,,,,
main,1,Burgeoning,C16,,,,,,
main,1,Carpet of Flowers,,,,,,,
main,1,Castle Garenbrig,,foil,,,,,
main,1,Cavern of Souls,,,,,,,
main,1,Chord of Calling,,foil,,,,,
main,1,Courser of Kruphix,,foil,,,,,
main,1,Craterhoof Behemoth,,foil,,,,,
main,1,Crop Rotation,,foil,,,,,
main,1,Crucible of Worlds,000,foil,,,,,
main,1,Deserted Temple,,,,,,,
main,1,Dryad Arbor,V12,foil,,,,,
main,1,Elvish Mystic,,foil,,,,,
main,1,Eternal Witness,000,foil,,,,,
main,1,Expedition Map,,,,,,,
main,1,Exploration,,foil,,,,,
main,1,Fabled Passage,,,,,,,
main,1,Fierce Empath,SCG,foil,,,,,
main,1,Finale of Devastation,,,,,,,
main,1,Force of Vigor,,foil,,,,,
main,20,Forest,AKH,foil,,,,,
main,1,Fyndhorn Elves,,foil,,,,,
main,1,Gaea's Cradle,PSG,foil,,,,,
main,1,"Garruk, Primal Hunter",,,,,,,
main,1,Green Sun's Zenith,,foil,,,,,
main,1,Harmonize,,foil,,,,,
main,1,Homeward Path,,,,,,,
main,1,Hunter's Insight,,foil,,,,,
main,1,Hunter's Prowess,,foil,,,,,
main,1,Kenrith's Transformation,ELD,foil,,,,,
main,1,"Kozilek, Butcher of Truth",,foil,,,,,
main,1,"Kozilek, the Great Distortion",,foil,,,,,
main,1,Krosan Grip,,foil,,,,,
main,1,Life's Legacy,M15,,,,,,
main,1,Lignify,MYS1,foil,,,,,
main,1,Llanowar Elves,,foil,,,,,
main,1,Mana Crypt,,,,,,,
main,1,Mind's Eye,MPS,foil,,,,,
main,1,Misty Rainforest,,foil,,,,,
main,1,Momentous Fall,,foil,,,,,
maybe,1,Mox Diamond,,,,,,,
main,1,Natural Order,,,,,,,
main,1,"Nissa, Vital Force",,foil,,,,,
main,1,"Nykthos, Shrine to Nyx",,foil,,,,,
main,1,Oracle of Mul Daya,,,,,,,
main,1,Prismatic Vista,,,,,,,
main,1,Ramunap Excavator,,foil,,,,,
main,1,Regal Force,,foil,,,,,
main,1,Reliquary Tower,,foil,,,,,
main,1,Return of the Wildspeaker,,,,,,,
main,1,Rishkar's Expertise,,foil,,,,,
main,1,Runic Armasaur,M19,foil,,,,,
main,1,Scute Swarm,ZNR,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Song of the Dryads,CM1,,,,,,
main,1,Soul's Majesty,,foil,,,,,
main,1,Strip Mine,,,,,,,
main,1,Sylvan Library,,foil,,,,,
main,1,Sylvan Scrying,,foil,,,,,
main,1,Terastodon,,foil,,,,,
maybe,1,Timeless Witness,,,,,,,
main,1,Tireless Tracker,,foil,,,,,
main,1,Tooth and Nail,MRD,foil,,,,,
main,1,Utopia Sprawl,,,,,,,
main,1,Verdant Catacombs,,,,,,,
main,1,Wasteland,,,,,,,
main,1,Wild Growth,,,,,,,
main,1,Windswept Heath,,,,,,,
main,1,Wooded Foothills,,,,,,,
main,1,Worldly Tutor,,,,,,,
main,1,Yavimaya Hollow,,,,,,,
main,1,"Yavimaya, Cradle of Growth",MH2,,,,,,
