Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Adarkar Wastes,,foil,,,,,
main,1,Ancient Tomb,ZNE,foil,,,,,
main,1,Angel's Grace,TSR,foil,,,,,
main,1,Arcane Signet,CMR,foil,,,,,
main,1,Archaeomancer,,foil,,,,,
main,1,Arid Mesa,,,,,,,
main,1,Aven Mindcensor,TSR,foil,,,,,
main,1,Azorius Signet,,foil,,,,,
main,1,Brazen Borrower,ELD,foil,,,,,
maybe,1,Bribery,000,foil,,,,,
side,1,Cataclysmic Gearhulk,MPS,foil,,,,,
main,1,Cavern of Souls,,,,,,,
side,1,Charming Prince,ELD,foil,,,,,
main,1,Command Tower,CMR,foil,,,,,
maybe,1,Commit / Memory,,foil,,,,,
main,1,Cyclonic Rift,2XM,foil,,,,,
main,1,Devastation Tide,,foil,,,,,
main,1,Eldrazi Displacer,,foil,,,,,
main,1,"Elesh Norn, Grand Cenobite",,foil,,,,,
main,1,Enlightened Tutor,,,,,,,
main,1,"Ephara, God of the Polis",SLD,foil,,,,,True
main,1,Esper Sentinel,MH2,foil,,,,,
main,1,Evacuation,8ED,foil,,,,,
main,1,Faerie Artisans,,,,,,,
main,1,Felidar Retreat,ZNR,foil,,,,,
main,1,Field of the Dead,,foil,,,,,
main,1,Fierce Guardianship,,,,,,,
main,1,Flooded Strand,,,,,,,
main,1,Force of Negation,,,,,,,
main,1,Force of Will,,,,,,,
main,1,Generous Gift,,foil,,,,,
main,1,Ghostly Flicker,,foil,,,,,
main,1,Gilded Drake,,,,,,,
main,1,Glacial Fortress,XLN,foil,,,,,
main,1,Glen Elendra Archmage,,foil,,,,,
main,1,Grand Abolisher,,,,,,,
main,1,Grand Arbiter Augustin IV,,foil,,,,,
main,1,Hallowed Fountain,EXP,foil,,,,,
main,1,Hengegate Pathway,KHM,foil,,,,,
main,3,Island,UND,foil,,,,,
main,1,Karmic Guide,,foil,,,,,
main,1,Keeper of the Accord,CMR,foil,,,,,
main,1,Kor Haven,EXP,foil,,,,,
main,1,Land Tax,,foil,,,,,
main,1,Lavinia of the Tenth,,foil,,,,,
main,1,Mana Crypt,,,,,,,
main,1,Mana Drain,,,,,,,
main,1,Marsh Flats,,,,,,,
side,1,Meddling Mage,2XM,foil,,,,,
main,1,Mind Stone,000,foil,,,,,
maybe,1,Mistveil Plains,UMA,foil,,,,,
main,1,Misty Rainforest,,,,,,,
main,1,Monastery Mentor,000,foil,,,,,
main,1,Mystic Gate,EXP,foil,,,,,
side,1,Mystic Reflection,KHM,foil,,,,,
main,1,Mystic Remora,,,,,,,
main,1,Mystical Tutor,,foil,,,,,
main,1,Nadir Kraken,THB,foil,,,,,
main,1,"Nezahal, Primal Tide",,foil,,,,,
main,1,"Nykthos, Shrine to Nyx",,,,,,,
main,1,Path to Exile,FNM,foil,,,,,
main,1,Peregrine Drake,,foil,,,,,
main,1,Phyrexian Metamorph,000,foil,,,,,
main,2,Plains,UND,foil,,,,,
main,1,Polluted Delta,,,,,,,
main,1,Prairie Stream,EXP,foil,,,,,
main,1,Prismatic Lens,UMA,foil,,,,,
main,1,Prismatic Vista,MH1,,,,,,
main,1,Recruiter of the Guard,,,,,,,
main,1,Reflector Mage,,foil,,,,,
main,1,Reliquary Tower,000,foil,,,,,
main,1,Reveillark,,foil,,,,,
main,1,Rhystic Study,000,foil,,,,,
main,1,Scalding Tarn,,,,,,,
main,1,Scavenger Grounds,,foil,,,,,
main,1,Sea of Clouds,ZNE,foil,,,,,
main,1,Skyclave Apparition,ZNR,foil,,,,,
main,1,Snapcaster Mage,,,,,,,
main,3,Snow-Covered Island,MH1,foil,,,,,
main,2,Snow-Covered Plains,MH1,foil,,,,,
main,1,Sol Ring,000,foil,,,,,
main,1,Solemn Simulacrum,MPS,foil,,,,,
main,1,Solitude,MH2,foil,,,,,
main,1,Soulherder,,foil,,,,,
maybe,1,Spellseeker,BBD,,,,,,
main,1,Stifle,AKHMPS,foil,,,,,
main,1,Stonecloaker,,foil,,,,,
main,1,Strip Mine,ZNE,foil,,,,,
main,1,Sun Titan,000,foil,,,,,
main,1,Supreme Verdict,000,foil,,,,,
main,1,Swords to Plowshares,EMA,foil,,,,,
main,1,Talisman of Progress,,foil,,,,,
main,1,Teferi's Protection,SLD,foil,,,,,
main,1,"Thassa, Deep-Dwelling",THB,foil,,,,,
side,1,Theoretical Duplication,C21,foil,,,,,
main,1,Thought Vessel,CMR,foil,,,,,
main,1,Time Wipe,000,foil,,,,,
main,1,Tundra,,,,,,,
main,1,Unexpectedly Absent,,foil,,,,,
main,1,"Venser, Shaper Savant",MM3,foil,,,,,
main,1,"Venser, the Sojourner",DDI,foil,,,,,
main,1,Whitemane Lion,,foil,,,,,
main,1,Windswept Heath,,,,,,,
