Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Allosaurus Shepherd,,,,,,,
main,1,Altar of the Brood,,foil,,,,,
main,1,Aluren,,,,,,,
main,1,Arbor Elf,,foil,,,,,
main,1,Argothian Elder,,,,,,,
main,1,"Ashaya, Soul of the Wild",,,,,,,
main,1,Autumn's Veil,,,,,,,
main,1,Beast Whisperer,,foil,,,,,
main,1,Beast Within,,foil,,,,,
maybe,1,Birchlore Rangers,,,,,,,
main,1,Castle Garenbrig,,foil,,,,,
main,1,Cavern of Souls,,foil,,,,,
main,1,Chord of Calling,,foil,,,,,
main,1,Chrome Mox,,,,,,,
maybe,1,Circle of Dreams Druid,,,,,,,
main,1,Cloudstone Curio,,,,,,,
main,1,Concordant Crossroads,,,,,,,
main,1,Copperhorn Scout,,foil,,,,,
side,1,Craterhoof Behemoth,,foil,,,,,
main,1,Crop Rotation,,foil,,,,,
maybe,1,Cryptolith Rite,,foil,,,,,
main,1,Deserted Temple,,foil,,,,,
main,1,Devoted Druid,,foil,,,,,
main,1,Dryad Arbor,,foil,,,,,
main,1,Earthcraft,,,,,,,
main,1,Eldritch Evolution,,foil,,,,,
main,1,Elvish Archdruid,,foil,,,,,
maybe,1,Elvish Guidance,,,,,,,
maybe,1,Elvish Harbinger,,,,,,,
main,1,Elvish Mystic,,foil,,,,,
maybe,1,Elvish Piper,,,,,,,
maybe,1,Elvish Reclaimer,,foil,,,,,
main,1,Elvish Visionary,,foil,,,,,
main,1,Emerald Medallion,,,,,,,
main,1,Emergence Zone,,,,,,,
main,1,Endurance,,foil,,,,,
maybe,1,Essence Warden,,,,,,,
main,1,Eternal Witness,,foil,,,,,
main,1,"Ezuri, Renegade Leader",SOM,foil,,,,,True
main,1,Fauna Shaman,,foil,,,,,
maybe,1,Fierce Empath,,,,,,,
main,1,Finale of Devastation,,foil,,,,,
main,1,Force of Vigor,,foil,,,,,
main,10,Forest,,foil,,,,,
maybe,1,"Freyalise, Llanowar's Fury",,,,,,,
main,1,Fyndhorn Elves,,foil,,,,,
main,1,Gaea's Cradle,,,,,,,
maybe,1,Gaea's Herald,,foil,,,,,
main,1,Genesis Wave,,foil,,,,,
main,1,Glimpse of Nature,,,,,,,
main,1,Green Sun's Zenith,,foil,,,,,
side,1,Growing Rites of Itlimoc,,foil,,,,,
maybe,1,Guardian Project,,,,,,,
main,1,Heritage Druid,,foil,,,,,
main,1,Heroic Intervention,,foil,,,,,
main,1,Homeward Path,,,,,,,
maybe,1,Imperious Perfect,,foil,,,,,
maybe,1,Joraga Treespeaker,,,,,,,
main,1,Kenrith's Transformation,,,,,,,
main,1,"Kogla, the Titan Ape",,,,,,,
main,1,Krosan Grip,,foil,,,,,
maybe,1,Leyline of Abundance,,foil,,,,,
maybe,1,Lifecrafter's Bestiary,,,,,,,
main,1,Lightning Greaves,,foil,,,,,
main,1,Llanowar Elves,,foil,,,,,
main,1,Llanowar Tribe,,foil,,,,,
main,1,Llanowar Visionary,,,,,,,
main,1,Mana Crypt,,,,,,,
main,1,"Marwyn, the Nurturer",,foil,,,,,
main,1,Misty Rainforest,,foil,,,,,
main,1,Mox Diamond,,,,,,,
main,1,Natural Order,,foil,,,,,
main,1,Nature's Claim,,foil,,,,,
main,1,"Nykthos, Shrine to Nyx",,foil,,,,,
main,1,Nyxbloom Ancient,,,,,,,
main,1,Oakhame Adversary,,foil,,,,,
main,1,Pendelhaven,,foil,,,,,
maybe,1,Praetor's Counsel,,foil,,,,,
main,1,Priest of Titania,,foil,,,,,
main,1,Prismatic Vista,,foil,,,,,
main,1,Quirion Ranger,,foil,,,,,
main,1,Reclamation Sage,,foil,,,,,
main,1,Regal Force,,foil,,,,,
maybe,1,Regrowth,,foil,,,,,
main,1,Scryb Ranger,,foil,,,,,
main,1,Seeker of Skybreak,,foil,,,,,
side,1,"Selvala, Heart of the Wilds",,,,,,,
main,1,Shamanic Revelation,,foil,,,,,
maybe,1,Shared Summons,,,,,,,
maybe,1,Skyshroud Poacher,,foil,,,,,
main,1,Sol Ring,,foil,,,,,
maybe,1,Song of the Dryads,,,,,,,
main,1,Staff of Domination,,foil,,,,,
main,1,Summoner's Pact,,foil,,,,,
main,1,Survival of the Fittest,,,,,,,
maybe,1,Sword of the Paruns,,,,,,,
main,1,Sylvan Library,,foil,,,,,
main,1,Temur Sabertooth,,foil,,,,,
maybe,1,The Great Henge,,,,,,,
main,1,Thousand-Year Elixir,,foil,,,,,
maybe,1,Throne of the God-Pharaoh,,,,,,,
main,1,"Turntimber, Serpentine Wood",,,,,,,
main,1,Umbral Mantle,,foil,,,,,
main,1,Utopia Sprawl,,,,,,,
main,1,Veil of Summer,,foil,,,,,
main,1,Verdant Catacombs,,foil,,,,,
maybe,1,Viridian Joiner,,foil,,,,,
maybe,1,Viridian Zealot,,foil,,,,,
maybe,1,Vivien Reid,,foil,,,,,
maybe,1,Vivien's Arkbow,,,,,,,
main,1,"Vivien, Monsters' Advocate",,,True,,,,
main,1,War Room,,,,,,,
main,1,Wild Growth,,,,,,,
main,1,Windswept Heath,,foil,,,,,
main,1,Wirewood Channeler,,foil,,,,,
main,1,Wirewood Lodge,,foil,,,,,
main,1,Wirewood Symbiote,EMA,foil,,,,,
maybe,1,Wood Elves,,foil,,,,,
main,1,Wooded Foothills,,foil,,,,,
main,1,Worldly Tutor,,,,,,,
main,1,"Yavimaya, Cradle of Growth",,foil,True,,,,
main,1,"Yeva, Nature's Herald",,foil,,,,,
main,1,"Yisan, the Wanderer Bard",,,,,,,
