Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,2XM,,,,,,
main,1,AEtherize,ZNC,,,,,,
main,1,Arcane Denial,CMR,,,,,,
main,1,Arcane Signet,C21,,,,,,
main,1,Archaeomancer,MYS1,,,,,,
main,1,Back to Basics,UMA,,,,,,
main,1,Blink of an Eye,DOM,,,,,,
main,1,Blue Sun's Zenith,STA,,,,,,
main,1,"Borrowing 100,000 Arrows",MYS1,,,,,,
main,1,Caged Sun,MYS1,,,,,,
main,1,Coldsteel Heart,MYS1,,,,,,
main,1,Counterspell,MH2,,,,,,
main,1,Crush of Tentacles,OGW,,,,,,
main,1,Cyclonic Rift,2XM,,,,,,
main,1,Darksteel Ingot,SLD,,,,,,
main,1,Dramatic Reversal,GN2,,,,,,
main,1,Engulf the Shore,GN2,,,,,,
main,1,Extraplanar Lens,MPS,,,,,,
main,1,Fabricate,HOP,,,,,,
main,1,Fellwar Stone,CM2,,,,,,
main,1,Frost Titan,M11,,,,,,
main,1,"Gadwick, the Wizened",ELD,,,,,,True
main,1,Gilded Lotus,SLD,,,,,,
main,1,Icefall Regent,E01,,,,,,
main,1,Imprisoned in the Moon,EMN,,,,,,
main,31,Island,,,,,,,
main,1,Isochron Scepter,2XM,,,,,,
main,1,"Jace, Wielder of Mysteries",SLD,,,,,,
main,1,Laboratory Maniac,TSR,,,,,,
main,1,Midnight Clock,ELD,,,,,,
main,1,Mind Stone,C21,,,,,,
main,1,Mystic Confluence,TSR,,,,,,
main,1,Mystical Tutor,SS1,,,,,,
main,1,"Narset, Parter of Veils",SLD,,,,,,
main,1,Negate,STA,,,,,,
main,1,Niblis of Frost,C20,,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,,,,,,
main,1,Opposition,UDS,,,,,,
main,1,Opt,STA,,,,,,
main,1,Polymorphist's Jest,C17,,,,,,
main,1,Ponder,C21,,,,,,
main,1,Preordain,CMR,,,,,,
main,1,Quiet Contemplation,KTK,,,,,,
main,1,Reality Shift,C19,,,,,,
main,1,Reality Spasm,ROE,,,,,,
main,1,Reef Worm,C21,,,,,,
main,1,Reliquary Tower,C21,,,,,,
main,1,Reshape,2XM,,,,,,
main,1,Rhystic Study,JMP,,,,,,
main,1,Riptide Laboratory,JMP,,,,,,
main,1,Sanctum of Eternity,C19,,,,,,
main,1,Scourge of Fleets,CMR,,,,,,
main,1,Sensei's Divining Top,EMA,,,,,,
main,1,Serum Visions,C21,,,,,,
main,1,Sky Diamond,KHC,,,,,,
main,1,Sleep,MYS1,,,,,,
main,1,Sol Ring,C21,,,,,,
main,1,Solve the Equation,STX,,,,,,
main,1,Tangle Wire,V13,,,,,,
main,1,Teferi's Ageless Insight,M21,,,,,,
main,1,"Teferi, Mage of Zhalfir",TSR,,,,,,
main,1,Thassa's Oracle,THB,,,,,,
main,1,Thought Vessel,CMR,,,,,,
main,1,Tribute Mage,MH1,,,,,,
main,1,"Venser, Shaper Savant",TSR,,,,,,
main,1,Verity Circle,RNA,,,,,,
main,1,Wavebreak Hippocamp,THB,,,,,,
main,1,Wayfarer's Bauble,CM2,,,,,,
main,1,Willbreaker,ORI,,,,,,
main,1,Worn Powerstone,C18,,,,,,
