Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Aggressive Mining,,,,,,,
main,1,Akroan Horse,,,,,,,
side,1,Angelic Accord,,,,,,,
main,1,Approach of the Second Sun,,,,,,,
side,1,Assault Suit,,,,,,,
main,1,Assemble the Legion,,,,,,,
main,1,Banishing Light,,,,,,,
main,1,Bazaar Trader,,,,,,,
main,1,Bloodthirsty Blade,,,,,,,
maybe,1,Bucknard's Everfull Purse,AFC,,,,,,
main,1,Cascade Bluffs,,,,,,,
main,1,Celestial Colonnade,ZNE,,,,,,
main,1,Clout of the Dominus,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Curse of Opulence,,,,,,,
main,1,Darksteel Mutation,,,,,,,
main,1,Desolate Lighthouse,,,,,,,
main,1,Detention Sphere,,,,,,,
maybe,1,Dissolve,,,,,,,
main,1,Djinn of Infinite Deceits,,,,,,,
main,1,Embargo,,,,,,,
main,1,Evolving Wilds,,,,,,,
main,1,Faith's Fetters,,,,,,,
main,1,Felidar Sovereign,,,,,,,
maybe,1,Fell the Mighty,,,,,,,
acquire,1,Fell the Mighty,,,,,,,
main,1,Fool's Demise,,,,,,,
main,1,Ghostly Pilferer,,,,,,,
side,1,Ghostly Prison,,,,,,,
main,1,Gift of Immortality,,,,,,,
maybe,1,Goblin Cadets,,,,,,,
main,1,Grafdigger's Cage,,,,,,,
main,1,Grafted Skullcap,,,,,,,
main,1,Grid Monitor,MRD,,,,,,
main,1,Howling Mine,4ED,,,,,,
main,1,Humble Defector,,,,,,,
main,1,Illusions of Grandeur,,,,,,,
main,1,Imprisoned in the Moon,,,,,,,
maybe,1,Inspired Ultimatum,IKO,,,,,,
main,8,Island,,,,,,,
maybe,1,Island Sanctuary,,,,,,,
main,1,"Kazuul, Tyrant of the Cliffs",,,,,,,
main,1,"Kwain, Itinerant Meddler",,,,,,,
main,1,"Kykar, Wind's Fury",,,,,,,
main,1,Laboratory Maniac,,,,,,,
main,1,Legerdemain,,,,,,,
maybe,1,Lightmine Field,,,,,,,
maybe,1,Mandate of Peace,,,,,,,
main,1,Master Warcraft,,,,,,,
side,1,Midnight Clock,,,,,,,
main,1,Monologue Tax,,,,,,,
main,4,Mountain,,,,,,,
main,1,Mystic Gate,,,,,,,
main,1,Mystic Monastery,,,,,,,
main,1,Narset of the Ancient Way,IKO,,,,,,
main,1,Nine Lives,M21,,,,,,
main,1,Open the Vaults,C15,,,,,,
main,1,Oreskos Explorer,,,,,,,
main,1,Overburden,,,,,,,
main,1,Pendant of Prosperity,C19,,,,,,
main,1,Pentad Prism,,,,,,,
acquire,1,Perplexing Chimera,,,,,,,
main,1,Phyrexian Rebirth,,,,,,,
main,1,Pilgrim's Eye,,,,,,,
main,9,Plains,,,,,,,
maybe,1,Planar Outburst,,,,,,,
main,1,Political Trickery,,,,,,,
maybe,1,Powerstone Minefield,,,,,,,
main,1,Prairie Stream,,,,,,,
main,1,"Pramikon, Sky Rampart",,foil,,,,,
maybe,1,Propaganda,,,,,,,
main,1,Psychosis Crawler,,,,,,,
main,1,Puca's Mischief,SHM,,,,,,
main,1,Pyromancer's Swath,,,,,,,
main,1,Reliquary Tower,,,,,,,
maybe,1,Render Silent,,,,,,,
maybe,1,Rite of the Raging Storm,,,,,,,
main,1,Riverglide Pathway,,,,,,,
main,1,Role Reversal,WAR,pre,,,,,
main,1,Rust Elemental,,,,,,,
main,1,Shifting Borders,,,,,,,
main,1,Shivan Reef,,,,,,,
maybe,1,Smoke,,,,,,,
main,1,Sol Ring,,,,,,,
maybe,1,Sphere of Safety,,,,,,,
main,1,Spirebluff Canal,,,,,,,
acquire,1,Suppression Bonds,,,,,,,
main,1,Switcheroo,,,,,,,
main,1,Talisman of Conviction,MH1,,,,,,
main,1,Talisman of Creativity,MH1,,,,,,
main,1,Teferi's Ageless Insight,M21,foil,,,,,
main,1,Temple of the False God,,,,,,,
main,1,Tempting Contract,C21,,,,,,
main,1,Terramorphic Expanse,,,,,,,
main,1,Thassa's Oracle,THB,,,,,,
main,1,The Royal Scions,ELD,,,,,,
maybe,1,Thought Lash,ALL,,,,,,
main,1,Thought Vessel,,,,,,,
acquire,1,Thought Vessel,,,,,,,
main,1,Time Wipe,WAR,,,,,,
main,1,Treasure Nabber,,,,,,,
main,1,Valakut Awakening,,,,,,,
main,1,Vedalken Plotter,,,,,,,
main,1,Whirlwind of Thought,IKO,,,,,,
maybe,1,Words of Worship,,,,,,,
main,1,Wrong Turn,,,,,,,
main,1,Zedruu the Greathearted,C16,,,,,,True
