Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Adarkar Wastes,ICE,,,,,,
main,1,Aetherflux Reservoir,KLD,,,,,,
main,1,"Alela, Artful Provocateur",ELD,foil,,,,,True
main,1,Anointed Procession,AKH,,,,,,
main,1,Arcane Signet,ELD,,,,,,
main,1,Ash Barrens,2XM,,,,,,
main,1,Ashnod's Altar,5ED,,,,,,
main,1,Azorius Signet,GK2,,,,,,
main,1,Baleful Strix,2XM,,,,,,
main,1,Bastion of Remembrance,IKO,,,,,,
main,1,Bolas's Citadel,WAR,,,,,,
main,1,Caves of Koilos,C20,,,,,,
main,1,Clearwater Pathway,ZNR,,,,,,
main,1,Command Tower,ELD,,,,,,
main,1,Cruel Celebrant,WAR,,,,,,
main,1,Damn,MH2,,,,,,
main,1,Darksteel Mutation,C21,,,,,,
main,1,Dead Weight,ISD,,,,,,
main,1,Dictate of Erebos,JOU,,,,,,
main,1,Dimir Signet,RAV,,,,,,
main,1,Doomed Traveler,CMR,,,,,,
main,1,Doomwake Giant,JOU,,,,,,
main,1,Drowned Catacomb,XLN,,,,,,
main,1,"Elspeth, Sun's Champion",DDO,foil,,,,,
main,1,Enlightened Tutor,MIR,,,,,,
main,1,"Erebos, Bleak-Hearted",THB,,,,,,
main,1,Esper Sentinel,MH2,,,,,,
main,1,Exotic Orchard,C19,,,,,,
main,1,Exquisite Blood,JMP,,,,,,
main,1,Fabled Passage,ELD,,,,,,
main,1,Fanatical Devotion,NMS,,,,,,
main,1,Fellwar Stone,5ED,,,,,,
main,1,Fleshtaker,MID,,,,,,
main,1,Frogify,ELD,,,,,,
main,1,Glacial Fortress,XLN,,,,,,
main,1,Godless Shrine,RNA,,,,,,
main,1,Grim Guardian,JOU,,,,,,
main,1,Hallowed Fountain,RNA,,,,,,
main,1,Idol of Oblivion,C19,,,,,,
main,1,Idyllic Tutor,THB,,,,,,
main,1,Imprisoned in the Moon,EMN,,,,,,
main,3,Island,ELD,,,,,,
main,1,Isolated Chapel,DOM,,,,,,
main,1,Kasmina's Transmutation,WAR,,,,,,
main,1,Lampad of Death's Vigil,THB,,,,,,
main,1,Land Tax,4ED,,,,,,
main,1,"Liliana, Dreadhorde General",WAR,,,,,,
main,1,Mana Crypt,2XM,,,,,,
main,1,Martyr's Cause,ULG,,,,,,
main,1,Meekstone,4ED,,,,,,
main,1,Midnight Clock,ELD,,,,,,
main,1,Mind Stone,C18,,,,,,
main,1,Myriad Landscape,CMR,,,,,,
main,1,Orzhov Signet,CMD,,,,,,
main,1,Phyrexian Altar,UMA,,,,,,
main,5,Plains,ELD,,,,,,
main,1,Plumb the Forbidden,STX,,,,,,
main,1,Prairie Stream,C19,,,,,,
main,1,Prismatic Vista,MH1,,,,,,
main,1,Reflecting Pool,TMP,,,,,,
main,1,Sanguine Bond,C21,,,,,,
main,1,Seal of Cleansing,MH2,,,,,,
main,1,Sensei's Divining Top,CHK,,,,,,
main,1,Shimmer Dragon,ELD,,,,,,
main,1,Skeletal Scrying,C17,,,,,,
main,1,Skullclamp,DST,,,,,,
main,1,Smothering Tithe,RNA,,,,,,
main,1,Sol Ring,CMR,,,,,,
main,1,Spawning Pit,DST,,,,,,
main,10,Swamp,ELD,,,,,,
main,1,"Syr Konrad, the Grim",ELD,,,,,,
main,1,Talisman of Dominance,MRD,,,,,,
main,1,Talisman of Hierarchy,MH1,,,,,,
main,1,Talisman of Progress,MRD,,,,,,
main,1,The Meathook Massacre,MID,,,,,,
main,1,Thopter Spy Network,C18,,,,,,
main,1,Underground River,ICE,,,,,,
main,1,Vampiric Rites,BFZ,,,,,,
main,1,Vault of Champions,CMR,,,,,,
main,1,Village Rites,M21,,,,,,
main,1,Vindictive Vampire,RNA,,,,,,
main,1,"Vito, Thorn of the Dusk Rose",M21,,,,,,
main,1,Watery Grave,GRN,,,,,,
main,1,Wayfarer's Bauble,5DN,,,,,,
main,1,Zulaport Cutthroat,BFZ,,,,,,
