Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ambition's Cost,,,,,,,
main,1,Awakening Zone,ROE,,,,,,
main,1,Bastion of Remembrance,,foil,,,,,
main,1,Beledros Witherbloom,,,,,,,
main,1,Blossoming Defense,,,,,,,
main,1,Bontu's Monument,,,,,,,
main,1,Boundless Realms,,,,,,,
main,1,Butcher of Malakir,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Craterhoof Behemoth,,,,,,,
main,1,Creakwood Liege,,foil,,,,,
main,1,Cultivate,,,,,,,
main,1,Darksteel Plate,,,,,,,
main,1,Deathreap Ritual,,,,,,,
main,1,Deathsprout,,,,,,,
main,1,Dreadhorde Invasion,,,,,,,
main,1,Elvish Mystic,,,,,,,
main,1,Ezuri's Predation,,,,,,,
main,12,Forest,,,,,,,
main,1,Forge of Heroes,,,,,,,
main,1,"Freyalise, Llanowar's Fury",,,,,,,
main,1,Fyndhorn Elves,,foil,,,,,
main,1,Gaze of Granite,DGM,foil,,,,,
main,1,Genesis Chamber,,,,,,,
main,1,Go for the Throat,,,,,,,
main,1,Golgari Charm,,,,,,,
main,1,Golgari Rot Farm,,foil,,,,,
main,1,Golgari Signet,,,,,,,
main,1,"Grismold, the Dreadsower",,,,,,,True
main,1,Harmonize,,,,,,,
main,1,Harvester of Souls,,,,,,,
main,1,Hero's Downfall,THS,,,,,,
main,1,Heroic Intervention,,,,,,,
main,1,Illness in the Ranks,,,,,,,
main,1,Inner Demon,,,,,,,
main,1,Jungle Hollow,,,,,,,
main,1,"Kaervek, the Spiteful",,,,,,,
main,1,Kaya's Ghostform,,,,,,,
main,1,Khalni Garden,,,,,,,
main,1,Kodama's Reach,,,,,,,
main,1,"Liliana, Dreadhorde General",,,,,,,
main,1,Llanowar Elves,,foil,,,,,
main,1,Malakir Rebirth,,,,,,,
main,1,Mask of Griselbrand,,,,,,,
main,1,Massacre Wurm,,,,,,,
main,1,Memorial to Folly,,,,,,,
main,1,Moldervine Reclamation,,,,,,,
main,1,Necrotic Hex,,foil,,,,,
main,1,Oblivion's Hunger,,,,,,,
main,1,Ohran Frostfang,,,,,,,
main,1,Opal Palace,,,,,,,
main,1,Perilous Forays,,,,,,,
main,1,Plague Engineer,,,,,,,
main,1,Putrefy,,,,,,,
main,1,Rampant Growth,,,,,,,
main,1,Reclamation Sage,,,,,,,
main,1,Rishkar's Expertise,,,,,,,
main,1,Sedgemoor Witch,,,,,,,
main,1,Skyshroud Claim,NMS,,,,,,
main,1,Sol Ring,,,,,,,
main,14,Swamp,,,,,,,
main,1,Syphon Mind,,,,,,,
main,1,Szat's Will,,foil,,,,,
main,1,Talisman of Resilience,,,,,,,
main,1,Tendershoot Dryad,,foil,,,,,
main,1,Undergrowth Stadium,,foil,,,,,
main,1,Verdant Embrace,,foil,,,,,
main,1,Verdant Force,TMP,,,,,,
main,1,Village Rites,,foil,,,,,
main,1,Viscera Seer,,,,,,,
main,1,Vona's Hunger,,foil,,,,,
main,1,Witch's Clinic,,,,,,,
main,1,Without Weakness,,,,,,,
main,1,Wolverine Riders,,,,,,,
main,1,"Yahenni, Undying Partisan",,,,,,,
main,1,Zulaport Cutthroat,,,,,,,
