Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Abzan Falconer,MIC,,,,,,
main,1,"Adeline, Resplendent Cathar",,,,,,,
main,1,Angel of Glory's Rise,000,foil,,,,,
main,1,Arcane Signet,CMR,,,,,,
main,1,Augur of Autumn,,,,,,,
main,1,Aura Shards,CMD,,,,,,
main,1,Austere Command,AKHMPS,foil,,,,,
main,1,Avacyn's Pilgrim,000,foil,,,,DE,
main,1,"Avacyn, Angel of Hope",IMA,,,,,,
main,1,Beast Whisperer,KHC,,,,,,
main,1,Bountiful Promenade,BBD,,,,,,
main,1,Branchloft Pathway,ZNR,foil,,,,,
main,1,Brushland,5ED,,,,,DE,
main,1,Call the Coppercoats,C20,,,,,,
main,1,Canopy Vista,EXP,foil,,,,,
main,1,Captain Sisay,V11,foil,,,,,
main,1,Castle Ardenvale,ELD,,,,,,
main,1,Castle Garenbrig,ELD,,,,,DE,
main,1,Cathars' Crusade,AVR,foil,,,,,
main,1,"Cazur, Ruthless Stalker",C20,foil,,,,,
main,1,Champion of Lambholt,AVR,foil,,,,,
main,1,Chord of Calling,M15,foil,,,,DE,
main,1,Command Tower,C13,,,,,,
main,1,Cultivate,M21,foil,,,,,
main,1,Devout Chaplain,AVR,foil,,,,,
maybe,1,Druid of Purification,,,,,,,
main,1,"Elesh Norn, Grand Cenobite",MYS1,,,,,,
main,1,Esper Sentinel,MH2,,,,,DE,
main,1,Exotic Orchard,AFC,,,,,,
main,1,Fabled Passage,000,foil,,,,,
main,1,Fiend Hunter,UMA,foil,,,,,
main,1,Flawless Maneuver,C20,,,,,,
main,7,Forest,UN3,,,,,,
main,1,Fortified Village,SOI,foil,,,,,
main,1,Gavony Township,ISD,foil,,,,,
main,1,Guardian Project,RNA,foil,,,,,
main,1,Hanweir Militia Captain,SOI,foil,,,,,
main,1,Heroic Intervention,M21,foil,,,,,
main,1,Heronblade Elite,MIC,,,,,,
main,1,Horizon Canopy,ZNE,,,,,DE,
main,1,Increasing Devotion,DKA,foil,,,,,
main,1,Inspiring Call,MIC,,,,,,
main,1,Intrepid Adversary,MID,,,,,,
main,1,Intrepid Hero,M13,foil,,,,,
main,1,Juniper Order Ranger,CN2,foil,,,,,
main,1,"Kamahl, Heart of Krosa",CMR,foil,,,,,
main,1,"Katilda, Dawnhart Prime",,,,,,,
main,1,Keeper of the Accord,CMR,,,,,,
main,1,"Kyler, Sigardian Emissary",,foil,,,,,True
main,1,Land Tax,2XM,,,,,,
main,1,"Leinore, Autumn Sovereign",MIC,,,,,,
maybe,1,Luminarch Aspirant,,,,,,,
maybe,1,"Maja, Bretagard Protector",,,,,,,
main,1,"Mangara, the Diplomat",M21,,,,,,
main,1,Masako the Humorless,CHK,foil,,,,DE,
main,1,"Michiko Konda, Truth Seeker",SOK,,,,,DE,
main,1,"Mikaeus, the Lunarch",MIC,,,,,,
main,1,Mother of Runes,DDO,,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,,,,,,
main,1,"Odric, Master Tactician",M13,foil,,,,,
main,1,Orzhov Advokist,CMR,foil,,,,,
main,1,Overgrown Farmland,MID,,,,,DE,
main,8,Plains,UN3,,,,,,
main,1,Razorverge Thicket,SOM,,,,,,
maybe,1,Realmwalker,,,,,,,
main,1,Reflecting Pool,SHM,,,,,,
main,1,Saffi Eriksdotter,TSP,foil,,,,DE,
main,1,Scattered Groves,AKH,foil,,,,,
main,1,Selesnya Sanctuary,IMA,foil,,,,,
main,1,Serra Ascendant,IMA,foil,,,,,
main,1,"Shalai, Voice of Plenty",DOM,foil,,,,,
main,1,"Sigarda, Champion of Light",,,,,,,
main,1,"Sigarda, Heron's Grace",SOI,foil,,,,,
main,1,Sol Ring,C15,,,,,,
main,1,Sunpetal Grove,XLN,foil,,,,,
main,1,Swords to Plowshares,BBD,foil,,,,,
main,1,Talisman of Unity,MIC,,,,,,
main,1,Teferi's Protection,STA,foil,,,,JA,
main,1,Temple Garden,RTR,,,,,,
main,1,Thalia's Lieutenant,SOI,,,,,,
main,1,Three Visits,CMR,,,,,,
main,1,"Toski, Bearer of Secrets",KHM,,,,,,
main,1,Triumph of the Hordes,NPH,foil,,,,,
main,1,"Trynn, Champion of Freedom",C20,foil,,,,,
main,1,Unbreakable Formation,MIC,,,,,,
main,1,Unclaimed Territory,XLN,,,,,DE,
main,1,Vanquish the Horde,MID,,,,,DE,
maybe,1,Vanquisher's Banner,,,,,,,
main,1,Victory's Envoy,MIC,,,,,,
maybe,1,Vigor,,,,,,,
main,1,War Room,CMR,,,,,,
main,1,Werewolf Pack Leader,AFR,,,,,DE,
main,1,Windswept Heath,KTK,,,,,,
