Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ajani's Chosen,JMP,,,,,,
main,1,Alhammarret's Archive,MYS1,,,,,,
main,1,All That Glitters,ELD,,,,,,
maybe,1,Approach of the Second Sun,MYS1,,,,,,
main,1,Archon of Sun's Grace,THB,,,,,,
main,1,"Ardenn, Intrepid Archaeologist",CMR,,,,,,
main,1,Aura of Silence,MYS1,,,,,,
maybe,1,Austere Command,CMR,,,,,,
main,1,Axis of Mortality,XLN,,,,,,
main,1,Celestial Mantle,JMP,,,,,,
maybe,1,Coalition Flag,,,,,,,
main,1,Conviction,MYS1,,,,,,
main,1,Crystal Chimes,MYS1,,,,,,
main,1,"Danitha Capashen, Paragon",MYS1,,,,,,
main,1,Darksteel Mutation,MYS1,,,,,,
main,1,Daybreak Coronet,MM2,,,,,,
main,1,Dowsing Dagger,XLN,,,,,,
main,1,Eidolon of Countless Battles,BNG,,,,,,
main,1,Emergence Zone,WAR,,,,,,
main,1,"Emeria, The Sky Ruin",C14,,,,,,
main,1,Ethereal Armor,RTR,,,,,,
main,1,Felidar Sovereign,MYS1,,,,,,
main,1,Felidar Umbra,MYS1,,,,,,
main,1,Flickering Ward,TMP,,,,,,
main,1,Gelid Shackles,CSP,,,,,,
maybe,1,Gelid Shackles,CSP,,,,,,
main,1,Gift of Immortality,THS,,,,,,
maybe,1,Giver of Runes,MH1,,,,,,
main,1,Grafted Exoskeleton,SOM,,,,,,
main,1,Hall of Heliod's Generosity,MH1,,,,,,
main,1,"Halvar, God of Battle",KHM,,,,,,
main,1,Heavenly Blademaster,C18,,,,,,
main,1,Helm of the Gods,ORI,,,,,,
main,1,Holy Avenger,AFC,,,,,,
main,1,Hyena Umbra,MYS1,,,,,,
main,1,Idyllic Tutor,THB,,,,,,
main,1,Indestructibility,M14,,,,,,
main,1,"Kitsune Mystic / Autumn-Tail, Kitsune Sage",CHK,,,,,,
main,1,Kor Spiritdancer,BBD,,,,,,
main,1,Mantle of the Ancients,AFC,,,,,,
main,1,Mesa Enchantress,EMA,,,,,,
main,1,Mother of Runes,MYS1,,,,,,
main,1,Myriad Landscape,C20,,,,,,
main,1,Nomad Mythmaker,10E,,,,,,
main,1,On Thin Ice,MH1,,,,,,
main,1,Open the Armory,SOI,,,,,,
main,1,Open the Vaults,C16,,,,,,
main,1,Paradise Mantle,MMA,,,,,,
main,1,Pearl Medallion,C14,,,,,,
main,1,Prison Term,SHM,,,,,,
main,1,Pursuit of Knowledge,STH,,,,,,
main,1,Reliquary Tower,C19,,,,,,
main,1,Reprobation,MH1,,,,,,
main,1,Retether,PLC,,,,,,
main,1,Robe of Stars,AFC,,,,,,
main,1,Rogue's Passage,C20,,,,,,
main,1,Sage's Reverie,C18,,,,,,
main,1,Scout's Warning,FUT,,,,,,
main,1,Serra Avatar,C18,,,,,,
main,1,Shielded by Faith,EO2,,,,,,
main,1,Sigarda's Aid,EMN,,,,,,
main,1,Sigil of the Empty Throne,C18,,,,,,
maybe,1,Smothering Tithe,RNA,,,,,,
main,25,Snow-Covered Plains,MH1,,,,,,
main,1,Sol Ring,C19,,,,,,
main,1,Soltari Visionary,EXO,,,,,,
maybe,1,Soul of Eternity,CMR,,,,,,
main,1,Spectra Ward,M15,,,,,,
maybe,1,Sphere of Safety,C16,,,,,,
main,1,Spirit Link,10E,,,,,,
main,1,Spirit Loop,TSP,,,,,,
main,1,Spirit Mantle,PCA,,,,,,
main,1,"Sram, Senior Edificer",AER,,,,,,True
main,1,Starfield Mystic,M20,,,,,,
main,1,Swiftfoot Boots,C20,,,,,,
main,1,Sword of the Animist,ORI,,,,,,
main,1,Terrain Generator,NMS,,,,,,
main,1,Three Dreams,PCA,,,,,,
main,1,Trailblazer's Boots,ZEN,,,,,,
main,1,Transcendent Envoy,THB,,,,,,
main,1,Umbra Mystic,ROE,,,,,,
main,1,Unquestioned Authority,C18,,,,,,
main,1,Wayfarer's Bauble,5DN,,,,,,
main,1,Winds of Rath,C18,,,,,,
