Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Abjure,,,,,,,
main,1,Agent of Erebos,,foil,,,,,
main,1,Altar's Reap,ISD,foil,,,,,
main,1,Anguished Unmaking,000,foil,,,,,
main,1,Arcane Denial,A25,foil,,,,,
main,1,Archaeomancer,M13,foil,,,,,
main,1,Azorius Guildgate,,foil,,,,,
main,1,Bayou,3ED,,,,,,
main,1,Bojuka Bog,WWK,foil,,,,,
main,1,Boros Guildgate,,foil,,,,,
main,1,Breath of Life,,foil,,,,,
main,1,Bring to Light,,foil,,,,,
main,1,Burnished Hart,THS,foil,,,,,
main,1,Capsize,AKHMPS,foil,,,,,
main,1,Cataclysm,V14,foil,,,,,
main,1,Child of Alara,,foil,,,,,True
maybe,1,Comeuppance,,,,,,,
main,1,Corpse Dance,,,,,,,
main,1,Counterspell,000,foil,,,,,
main,1,Crop Rotation,ULG,foil,,,,,
main,1,Cultivate,000,foil,,,,,
maybe,1,Dance of the Dead,,,,,,,
main,1,Demonic Tutor,3ED,,,,,,
main,1,Diabolic Intent,AKHMPS,foil,,,,,
main,1,Diamond Valley,ARN,,,,,,
main,1,Dimir Guildgate,,foil,,,,,
main,1,Disallow,,foil,,,,,
main,1,Dissipate,ISD,foil,,,,,
main,1,"Erebos, God of the Dead",,foil,,,,,
main,1,Eternal Witness,000,foil,,,,,
main,1,Expedition Map,ZEN,foil,,,,,
main,1,Explosive Vegetation,ONS,foil,,,,,
main,1,Farseek,000,foil,,,,,
maybe,1,Fool's Demise,,,,,,,
main,4,Forest,SOM,foil,,,,,
main,1,Gift of Immortality,,foil,,,,,
main,1,Gift of Tusks,OGW,foil,,,,,
main,1,Golgari Guildgate,,foil,,,,,
maybe,1,Greater Gargadon,,,,,,,
main,1,Grim Backwoods,DKA,foil,,,,,
main,1,Grim Harvest,,foil,,,,,
main,1,Gruul Guildgate,,foil,,,,,
main,1,High Market,V12,foil,,,,,
main,1,Hour of Promise,,foil,,,,,
main,1,Imperial Seal,000,foil,,,,,
main,4,Island,SOM,foil,,,,,
main,1,Izzet Chronarch,GPT,foil,,,,,
main,1,Izzet Guildgate,,foil,,,,,
main,1,Journey to Eternity,,foil,,,,,
maybe,1,Kessig Wolf Run,,,,,,,
main,1,Kodama's Reach,CHK,foil,,,,,
main,1,Life / Death,APC,foil,,,,,
main,1,Life's Legacy,,foil,,,,,
main,1,Loyal Retainers,AKHMPS,foil,,,,,
main,1,Mana Drain,000,foil,,,,,
main,1,Maze's End,000,foil,,,,,
main,1,Mnemonic Wall,ROE,foil,,,,,
main,1,Momentous Fall,ROE,foil,,,,,
main,2,Mountain,SOM,foil,,,,,
main,1,Mystical Tutor,6ED,,,,,,
main,1,Necromancy,,,,,,,
main,1,Noxious Revival,,foil,,,,,
main,1,Orzhov Guildgate,,foil,,,,,
maybe,1,Phyrexian Tower,,,,,,,
main,2,Plains,SOM,foil,,,,,
maybe,1,Polymorphist's Jest,,,,,,,
main,1,Primal Growth,PLS,foil,,,,,
main,1,Rakdos Guildgate,,foil,,,,,
main,1,Reanimate,000,foil,,,,,
main,1,Reap and Sow,,foil,,,,,
main,1,Rescue from the Underworld,,foil,,,,,
main,1,Sakura-Tribe Elder,000,foil,,,,,
main,1,Scapeshift,,,,,,,
main,1,Search for Tomorrow,TSP,foil,,,,,
main,1,Selesnya Guildgate,,foil,,,,,
main,1,Simic Guildgate,,foil,,,,,
main,1,Solemn Simulacrum,M12,foil,,,,,
main,1,Splendid Reclamation,,foil,,,,,
main,1,Spoils of Victory,PTK,,,,,ZH,
main,1,Stitch Together,JUD,foil,,,,,
maybe,1,Sudden Spoiling,,,,,,,
maybe,1,"Svogthos, the Restless Tomb",,,,,,,
main,4,Swamp,SOM,foil,,,,,
main,1,Sylvan Scrying,000,foil,,,,,
main,1,Taiga,3ED,,,,,,
main,1,Tropical Island,3ED,,,,,,
main,1,Tundra,3ED,,,,,,
main,1,Unburial Rites,ISD,foil,,,,,
main,1,Underground Sea,3ED,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",V12,foil,,,,,
main,1,Utter End,000,foil,,,,,
main,1,Vampiric Tutor,6ED,,,,,,
main,1,Void Shatter,,foil,,,,,
main,1,Voidslime,,,,,,,
main,1,Volrath's Stronghold,STH,,,,,,
main,1,Wargate,,foil,,,,,
main,1,Worthy Cause,,,,,,,
main,1,"Xenagos, God of Revels",,foil,,,,,
