Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Alchemist's Refuge,,foil,True,,,,
main,1,Ancient Tomb,EXP,foil,True,,,,
main,1,Arcane Denial,A25,foil,,,,,
main,1,Bala Ged Recovery,ZNR,foil,,,,,
main,1,Bane of Progress,C15,,,,,,
main,1,Barkchannel Pathway,KHM,foil,,,,,
main,1,Beast Within,CN2,foil,,,,,
main,1,Breeding Pool,RNA,foil,,,,,
main,1,Coiling Oracle,DIS,foil,,,,,
main,1,Command Tower,CM1,foil,,,,,
main,1,Consecrated Sphinx,AKHMPS,foil,True,,,,
main,1,Counterspell,AKHMPS,foil,,,,,
main,1,Craterhoof Behemoth,AVR,foil,True,,,,
main,1,Crop Rotation,ULG,foil,,,,,
main,1,Cultivate,000,foil,,,,,
maybe,1,Curse of the Swine,,,,,,,
main,1,Cyclonic Rift,RTR,foil,True,,,,
main,1,Deadeye Navigator,AVR,foil,,,,,
main,1,Dig Through Time,,foil,True,,,,
main,1,Edge of Autumn,FUT,foil,,,,,
main,1,Eternal Witness,UMAP,foil,,,,,
main,1,Evacuation,8ED,foil,,,,,
maybe,1,Fact or Fiction,,,,,,,
main,1,Farseek,000,foil,,,,,
main,1,Flooded Grove,EXP,foil,,,,,
main,1,Force of Vigor,MH1,foil,,,,,
main,6,Forest,ODY,foil,,,,,
main,1,Frilled Mystic,RNA,foil,,,,,
maybe,1,Frontier Siege,,,,,,,
main,1,Gaea's Cradle,USG,foil,,,,,
maybe,1,"Garruk, Primal Hunter",,,,,,,
main,1,Ghostly Flicker,MM3,foil,,,,,
maybe,1,Greenwarden of Murasa,,,,,,,
maybe,1,Harmonize,,,,,,,
main,1,Hinterland Harbor,ISD,foil,,,,,
maybe,1,Imprisoned in the Moon,,,,,,,
main,5,Island,ODY,foil,,,,,
maybe,1,Karn Liberated,NPH,,,,,,
main,1,Kazandu Mammoth,ZNR,foil,,,,,
main,1,Kefnet the Mindful,AKHMPS,foil,,,,,
main,1,Khalni Ambush,ZNR,foil,,,,,
maybe,1,"Kiora, the Crashing Wave",,,,,,,
main,1,Kodama's Reach,CHK,foil,,,,,
main,1,Leyline of Anticipation,M11,foil,,,,,
main,1,Mana Crypt,MPS,foil,,,,,
main,1,Mana Drain,000,foil,,,,,
main,1,Managorger Hydra,ORI,foil,,,,,
main,1,Misty Rainforest,EXP,foil,,,,,
main,1,Mosswort Bridge,LRW,foil,,,,,
main,1,Mulldrifter,000,foil,,,,,
maybe,1,Mystic Confluence,,,,,,,
maybe,1,Mystical Tutor,MIR,,,,,,
main,1,Nature's Lore,ICE,,,,,,
main,1,"Nezahal, Primal Tide",RIX,foil,,,,,
maybe,1,"Nissa, Vital Force",,,,,,,
main,1,Omniscience,AKHMPS,foil,,,,,
main,1,Pact of Negation,MMA,foil,,,,,
maybe,1,Panharmonicon,,,,,,,
maybe,1,Phantasmal Image,,,,,,,
maybe,1,Pongify,,,,,,,
main,1,Prime Speaker Zegana,,,True,,,,True
main,1,Psychosis Crawler,CN2,foil,,,,,
main,1,Rampant Growth,7ED,foil,,,,,
main,1,Rapid Hybridization,GTC,foil,,,,,
main,1,Reality Shift,FRF,foil,True,,,,
main,1,Reclamation Sage,2XM,foil,,,,,
