Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Rector,UDS,,,,,,
main,1,Altar of Dementia,TMP,,,,,,
main,1,Animate Dead,GRV,foil,,,,,
main,1,Ashen Rider,THS,,,,,,
main,1,Avacyn's Pilgrim,000,foil,,,,,
main,1,Barren Moor,ONS,,,,,,
main,1,Birds of Paradise,SLD,,,,,,
main,1,Birthing Pod,NPH,,,,,,
main,1,Buried Alive,WTH,,,,,,
main,1,Carrion Feeder,SCG,,,,,,
main,1,City of Brass,MD1,,,,,,
main,1,Command Tower,ELD,,,,,,
main,1,Damn,MH2,,,,,,
main,1,Damnation,PLC,,,,,,
main,1,Dance of the Dead,ICE,,,,,,
main,1,Dark Confidant,RAV,,,,,,
main,1,Deathrite Shaman,RTR,,,,,,
main,1,Demonic Tutor,3ED,,,,,,
main,1,Diabolic Intent,PLS,,,,,,
main,1,Diligent Farmhand,ODY,,,,,,
main,1,Eladamri's Call,PLS,,,,,,
main,1,"Elesh Norn, Grand Cenobite",NPH,,,,,,
main,1,Elves of Deep Shadow,DRK,,,,,,
main,1,Enlightened Tutor,MIR,,,,,,
main,1,Entomb,ODY,,,,,,
main,1,Eternal Witness,MMA,,,,,,
main,1,False Prophet,000,foil,,,,,
main,1,Fetid Heath,EVE,,,,,,
main,1,Fiend Artisan,IKO,,,,,,
main,1,Forbidden Orchard,CHK,,,,,,
main,3,Forest,UGL,,,,,,
main,1,Foundation Breaker,MH2,,,,,,
main,1,Ghost Quarter,DIS,,,,,FR,
main,1,Godless Shrine,GTC,,,,,,
main,1,Grand Abolisher,C14,,,,,,
main,1,Greater Good,USG,,,,,,
main,1,High Market,MMQ,,,,,,
main,1,Horizon Canopy,IMA,,,,,,
main,1,Indatha Triome,IKO,,,,,,
main,1,"Jarad, Golgari Lich Lord",DDJ,foil,,,,,
main,1,"Karador, Ghost Chieftain",000,foil,,,,,True
main,1,Karmic Guide,ULG,,,,,,
main,1,"Kokusho, the Evening Star",CHK,,,,,,
main,1,Life from the Loam,RAV,,,,,,
main,1,Llanowar Elves,000,foil,,,,,
main,1,Lord of Extinction,ARB,,,,,,
main,1,Loyal Retainers,CMA,foil,,,,,
main,1,Lurrus of the Dream-Den,IKO,,,,,,
main,1,Mana Confluence,JOU,,,,,,
main,1,Marsh Flats,ZEN,,,,,,
main,1,Mindslicer,ODY,,,,,,
main,1,Murmuring Bosk,V12,foil,,,,,
main,1,Necromancy,VIS,,,,,,
main,1,Nurturing Peatland,MH1,,,,,,
main,1,Old Stickfingers,MID,foil,,,,,
main,1,Overgrown Tomb,RTR,,,,,,
main,1,Path to Exile,PSG,foil,,,,,
main,1,Phyrexian Delver,INV,,,,,,
main,1,Phyrexian Tower,USG,,,,,,
main,3,Plains,UGL,,,,,,
main,1,Reanimate,TMP,,,,,,
main,1,Reflecting Pool,SHM,,,,,,
main,1,Remorseful Cleric,M19,,,,,,
main,1,Sakura-Tribe Elder,000,foil,,,,,
main,1,Sandsteppe Citadel,000,foil,,,,,
main,1,Secluded Steppe,ONS,,,,,,
main,1,"Sheoldred, Whispering One",000,foil,,,,,
main,1,Silent Clearing,MH1,,,,,,
main,1,Skullclamp,DST,,,,,,
main,1,Smothering Tithe,RNA,,,,,,
main,1,Spore Frog,PCY,,,,,,
main,1,Strip Mine,4ED,,,,,,
main,1,Sun Titan,DDL,foil,,,,,
main,1,Survival of the Fittest,EXO,,,,,,
main,3,Swamp,UGL,,,,,,
main,1,Swords to Plowshares,V13,foil,,,,,
main,1,Sylvan Library,EMA,,,,,,
main,1,Temple Garden,RTR,,,,,,
main,1,Tranquil Thicket,ONS,,,,,,
main,1,Twilight Mire,EVE,,,,,,
main,1,Underrealm Lich,GRN,,,,,,
main,1,Vampiric Tutor,VIS,,,,,,
main,1,Verdant Catacombs,ZEN,,,,,,
main,1,Viscera Seer,M11,,,,,,
main,1,Void Winnower,BFZ,,,,,,
main,1,"Vorinclex, Voice of Hunger",NPH,,,,,,
main,1,Wasteland,TMP,,,,,,
main,1,Windswept Heath,KTK,,,,,,
main,1,Wood Elves,000,foil,,,,,
main,1,Wooded Bastion,SHM,,,,,,
main,1,Worldly Tutor,MIR,,,,,,
main,1,Wrath of God,10E,,,,,,
main,1,"Yawgmoth, Thran Physician",MH1,,,,,,
main,1,"Yosei, the Morning Star",CHK,,,,,,
