Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Animist's Awakening,ORI,,,,,,
main,1,Argothian Wurm,USG,,,,,,
main,1,Boom / Bust,PLC,,,,,,
main,1,Centaur Garden,ODY,,,,,,
main,1,Constant Mists,STH,,,,,,
main,1,Cosmic Larva,5DN,,,,,,
main,1,Courser of Kruphix,BNG,,,,,,
main,1,Crack the Earth,BOK,,,,,,
main,1,Creeping Mold,VIS,,,,,,
main,1,Crop Rotation,ULG,,,,,,
main,1,Crucible of Worlds,5DN,,,,,,
main,1,Decimate,ODY,,,,,,
main,1,Destructive Urge,USG,,,,,,
main,1,Deus of Calamity,SHM,,,,,,
main,1,Dryad of the Ilysian Grove,THB,,,,,,
main,1,Dust Bowl,MMQ,,,,,,
main,1,Dwarven Ruins,FEM,,,,,,
main,1,Elvish Reclaimer,M20,,,,,,
main,1,Emerald Medallion,TMP,,,,,,
main,1,Evolution Charm,PLC,,,,,,
main,1,Fabled Passage,ELD,,,,,,
main,1,Far Wanderings,TOR,,,,,,
main,1,Farseek,C16,,,,,,
main,9,Forest,THB,,,,,,
main,1,Genju of the Spires,BOK,,,,,,
main,1,Grapple with the Past,EMN,,,,,,
main,1,Groundskeeper,MMQ,,,,,,
main,1,Harrow,INV,,,,,,
main,1,Harvest Wurm,WTH,,,,,,
main,1,Havenwood Battleground,FEM,,,,,,
main,1,Impending Disaster,ULG,,,,,,
main,1,Jadelight Ranger,RIX,,,,,,
main,1,"Klothys, God of Destiny",THB,,,,,,True
main,1,Krosan Restorer,TOR,,,,,,
main,1,Kudzu,3ED,,,,,,
main,1,Life from the Loam,RAV,,,,,,
main,1,Lotus Field,M20,,,,,,
main,1,Mana Seism,CHK,,,,,,
main,1,Memorial to War,DOM,,,,,,
main,1,Molten Rain,MRD,,,,,,
main,10,Mountain,THB,,,,,,
main,1,Mulch,ISD,,,,,,
main,1,Orcish Lumberjack,ICE,,,,,,
main,1,Orcish Settlers,WTH,,,,,,
main,1,Ore-Scale Guardian,MH1,,,,,,
main,1,Pillage,ALL,,,,,,
main,1,Price of Glory,ODY,,,,,,
main,1,Ramunap Excavator,HOU,,,,,,
main,1,Raze,USG,,,,,,
main,1,Reclaiming Vines,BFZ,,,,,,
main,1,Restore,C13,,,,,,
main,1,Roiling Terrain,WWK,,,,,,
main,1,Rootbound Crag,XLN,,,,,,
main,1,Ruby Medallion,TMP,,,,,,
main,1,Ruination,STH,,,,,,
main,1,Sakura-Tribe Elder,CHK,,,,,,
main,1,Scorched Earth,TMP,,,,,,
main,1,Scorched Ruins,WTH,,,,,,
main,1,Seismic Spike,RAV,,,,,,
main,1,Shivan Wumpus,PLC,,,,,,
main,1,Sol Ring,3ED,,,,,,
main,1,Splendid Reclamation,EMN,,,,,,
main,1,Steam Vines,ODY,,,,,,
main,1,Stomping Ground,RNA,,,,,,
main,1,Stone Rain,3ED,,,,,,
main,1,Strip Mine,4ED,,,,,,
main,1,Taiga,3ED,,,,,,
main,1,Tectonic Break,MMQ,,,,,,
main,1,Terramorphic Expanse,TSP,,,,,,
main,1,Terravore,ODY,,,,,,
main,1,The Binding of the Titans,THB,,,,,,
main,1,Thermokarst,ICE,,,,,,
maybe,1,Tranquil Grove,,,,,,,
main,1,Tremble,ODY,,,,,,
main,1,"Valakut, the Molten Pinnacle",ZEN,,,,,,
main,1,Violent Impact,AKH,,,,,,
main,1,Volcanic Offering,C14,,,,,,
main,1,Wasteland,TMP,,,,,,
maybe,1,Wave of Vitriol,,,,,,,
main,1,Winding Way,MH1,,,,,,
main,1,Winter's Grasp,TMP,,,,,,
main,1,Wooded Foothills,KTK,,,,,,
main,1,World Shaper,RIX,,,,,,
main,1,Wreak Havoc,GPT,,,,,,
main,1,Wrenn and Six,MH1,,,,,,
