Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Akroma's Memorial,FUT,,,,,,
main,1,Altar of the Brood,KTK,,,,,,
main,1,Arcane Lighthouse,C14,,,,,,
main,1,Blood Moon,DRK,,,,,,
main,1,Boggart Shenanigans,LRW,,,,,,
main,1,Buried Ruin,M12,,,,,,
main,1,Castle Embereth,ELD,,,,,,
main,1,Chaos Warp,CMD,,,,,,
main,1,Coat of Arms,M10,,,,,,
main,1,Comet Storm,WWK,,,,,,
main,1,Command Beacon,C15,,,,,,
main,1,Conspicuous Snoop,M21,,,,,,
main,1,Deflecting Swat,C20,,,,,,
main,1,Detection Tower,M19,,,,,,
main,1,Dockside Extortionist,C19,,,,,,
main,1,Eldrazi Monument,ZEN,,,,,,
main,1,Endless Atlas,C18,,,,,,
main,1,Extraplanar Lens,MRD,,,,,,
main,1,Fervor,M13,,,,,,
main,1,Gauntlet of Power,TSP,,,,,,
main,1,Goblin Bombardment,TMP,,,,,,
main,1,Goblin Chieftain,M10,,,,,,
main,1,Goblin Chirurgeon,FEM,,,,,,
main,1,Goblin King,10E,,,,,,
main,1,Goblin Lackey,USG,,,,,,
main,1,Goblin Matron,USG,,,,,,
main,1,Goblin Recruiter,VIS,,,,,,
main,1,Goblin Sharpshooter,ONS,,,,,,
main,1,Goblin Trashmaster,M19,,,,,,
main,1,Goblin War Strike,SCG,,,,,,
main,1,Goblin Warchief,SCG,,,,,,
main,1,Goblin Wizard,DRK,,,,,,
main,1,Hanweir Battlements,EMN,,,,,,
main,1,Herald's Horn,C17,,,,,,
main,1,Heraldic Banner,ELD,,,,,,
main,1,Hobgoblin Bandit Lord,AFR,,,,,,
main,1,Homeward Path,C13,,,,,,
main,1,Illusionist's Bracers,GTC,,,,,,
main,1,Impact Tremors,DTK,,,,,,
main,1,In the Web of War,BOK,,,,,,
main,1,Jeska's Will,CMR,,,,,,
main,1,"Kiki-Jiki, Mirror Breaker",CHK,,,,,,
main,1,"Krenko, Mob Boss",M13,,,,,,True
main,1,Lightning Crafter,MOR,,,,,,
main,1,Lightning Greaves,MRD,,,,,,
main,1,Liquimetal Torque,MH2,,,,,,
main,1,Magewright's Stone,DIS,,,,,,
main,1,Mana Echoes,ONS,,,,,,
main,1,Marton Stromgald,ICE,,,,,,
main,1,Mind's Eye,MRD,,,,,,
main,1,Moggcatcher,NMS,,,,,,
main,1,"Muxus, Goblin Grandee",JMP,,,,,,
main,1,"Nykthos, Shrine to Nyx",THS,,,,,,
main,1,Pashalik Mons,MH1,,,,,,
main,1,"Purphoros, God of the Forge",THS,,,,,,
main,1,Red Sun's Zenith,MBS,,,,,,
main,1,Rings of Brighthearth,LRW,,,,,,
main,1,Ruby Medallion,C14,,,,,,
main,1,Seize the Day,ODY,,,,,,
main,1,Shared Animosity,MOR,,,,,,
main,1,Shattering Spree,GPT,,,,,,
main,1,Siege-Gang Commander,M10,,,,,,
main,1,Skirk Prospector,EVG,,,,,,
main,1,Skullclamp,C14,,,,,,
main,24,Snow-Covered Mountain,MH1,,,,,,
main,1,Sol Ring,CMD,,,,,,
main,1,Staff of Domination,CMR,,,,,,
main,1,Strip Mine,4ED,,,,,,
main,1,Swiftfoot Boots,M12,,,,,,
main,1,Thousand-Year Elixir,LRW,,,,,,
main,1,Throne of the God-Pharaoh,AKH,,,,,,
main,1,Treasure Nabber,C18,,,,,,
main,1,Urza's Incubator,UDS,,,,,,
main,1,"Valakut, the Molten Pinnacle",ZEN,,,,,,
main,1,Vanquisher's Banner,XLN,,,,,,
main,1,War Room,CMR,,,,,,
main,1,Warren Instigator,ZEN,foil,,,,,
