Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,,,,,,,
main,1,All Is Dust,MM2,,,,,,
main,1,Arcane Signet,CMR,,,,,,
main,1,Arcum Dagsson,,,,,,,
main,1,Argivian Restoration,,,,,,,
main,1,Ashnod's Altar,,,,,,,
main,1,Banishing Knack,,,,,,,
main,1,Basalt Monolith,2XM,,,,,,
main,1,Blasting Station,,,,,,,
main,1,Buried Ruin,,,,,,,
main,1,Chief Engineer,,,,,,,
main,1,Corrupted Conscience,,,,,,,
main,1,Counterspell,CMR,,,,,,
main,1,Darksteel Forge,,,,,,,
main,1,Darksteel Juggernaut,,,,,,,
main,1,Disallow,AER,,,,,,
main,1,Dissipate,,,,,,,
main,1,Domineer,,,,,,,
main,1,Dramatic Reversal,,,,,,,
main,1,Duplicant,,,,,,,
main,1,Elixir of Immortality,,,,,,,
side,1,Ensnaring Bridge,,,,,,,
main,1,Etherium Sculptor,,,,,,,
main,1,Expedition Map,2XM,,,,,,
main,1,Eye of Ugin,,,,,,,
main,1,Fabricate,M10,,,,,,
main,1,Gilded Lotus,,,,,,,
main,1,Grand Architect,2XM,,,,,,
main,1,Inventors' Fair,,,,,,,
main,24,Island,,,,,,,
main,1,Isochron Scepter,,,,,,,
side,1,"Karn, Silver Golem",,,,,,,
main,1,"Karn, the Great Creator",WAR,,,,,,
main,1,Lightning Greaves,C20,,,,,,
main,1,Liquimetal Coating,CM2,,,,,,
main,1,Mana Drain,CMR,,,,,,
main,1,Mass Manipulation,,,,,,,
main,1,Master Transmuter,CON,,,,,,
main,1,Memnarch,DST,,,,,,True
main,1,Memnite,,,,,,,
main,1,Merchant Scroll,,,,,,,
main,1,Mirran Spy,,,,,,,
main,1,Mycosynth Lattice,BBD,,,,,,
main,1,Myr Battlesphere,,,,,,,
main,1,Myr Retriever,,,,,,,
main,1,Negate,ZNR,,,,,,
main,1,Neurok Transmuter,,,,,,,
side,1,Nevinyrral's Disk,,,,,,,
main,1,Nim Deathmantle,,,,,,,
main,1,One with the Machine,,,,,,,
main,1,Ornithopter,,,,,,,
main,1,"Padeem, Consul of Innovation",KLD,,,,,,
main,1,Palladium Myr,,,,,,,
main,1,Phyrexian Altar,,,,,,,
main,1,Phyrexian Metamorph,2XM,,,,,,
main,1,Pili-Pala,SHM,,,,,,
side,1,Pithing Needle,,,,,,,
side,1,Platinum Angel,,,,,,,
main,1,Reliquary Tower,C20,,,,,,
main,1,Reshape,2XM,,,,,,
main,1,Rings of Brighthearth,CMR,,,,,,
main,1,Riptide Laboratory,,,,,,,
main,1,Saheeli's Artistry,,,,,,,
main,1,Seat of the Synod,C18,,,,,,
main,1,Silver Myr,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Solemn Simulacrum,,,,,,,
side,1,Sorcerous Spyglass,TSR,,,,,,
main,1,Spellskite,,,,,,,
main,1,Stoic Rebuttal,,,,,,,
main,1,Summoning Station,,,,,,,
main,1,Swiftfoot Boots,C20,,,,,,
main,1,Tezzeret the Seeker,,,,,,,
main,1,"Tezzeret, Artifice Master",,,,,,,
main,1,Thoughtcast,,,,,,,
main,1,Tolaria West,TSR,,,,,,
main,1,Urza's Mine,2XM,,,,,,
main,1,Urza's Power Plant,2XM,,,,,,
main,1,Urza's Tower,2XM,,,,,,
main,1,Vedalken Engineer,C16,,,,,,
main,1,Walking Ballista,,,,,,,
main,1,Whir of Invention,,,,,,,
main,1,Wizard's Retort,JMP,,,,,,
