Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,,,,,,,
main,1,Aetherflux Reservoir,,,,,,,
main,1,Ancient Tomb,TMP,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Badlands,3ED,,,,,,
main,1,Blast Zone,,,,,,,
main,1,Blood Crypt,,,,,,,
main,1,Bloodstained Mire,,,,,,,
main,1,Bolas's Citadel,,,,,,,
main,1,Brainstorm,MMQ,,,,,,
main,1,Buried Ruin,,,,,,,
main,1,Chalice of the Void,,,,,,,
main,1,Chrome Mox,,,,,,,
main,1,City of Brass,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Copy Artifact,,,,,,,
main,1,Cursed Totem,MIR,,,,,,
main,1,Demonic Tutor,2ED,,,,,,
main,1,Dimir Signet,,,,,,,
main,1,Emergence Zone,,,,,,,
main,1,Etherium Sculptor,,,,,,,
main,1,Fabricate,,,,,,,
main,1,Fellwar Stone,,,,,,,
main,1,Forbidden Orchard,,,,,,,
main,1,Force of Will,,,,,,,
main,1,Foundry Inspector,,,,,,,
main,1,Gamble,USG,,,,,,
main,1,Goblin Welder,ULG,,,,,,
main,1,Grim Monolith,,,,,,,
main,1,Homeward Path,,,,,,,
main,1,Ice Cave,,,,,,,
main,1,Inventors' Fair,,,,,,,
main,7,Island,AKH,,,,,,
main,1,Izzet Signet,,,,,,,
main,1,"Jhoira, Weatherlight Captain",,,,,,,
main,1,Junk Diver,,,,,,,
main,1,"Karn, the Great Creator",,,,,,,
main,1,Krark-Clan Ironworks,,,,,,,
main,1,Lodestone Golem,,,,,,,
main,1,Mana Confluence,,,,,,,
main,1,Mana Crypt,EMA,,,,,,
main,1,Mana Drain,,,,,,,
main,1,Mana Vault,3ED,,,,,,
main,1,Mirrormade,,,,,,,
main,1,"Mishra, Artificer Prodigy",,foil,True,,,,True
main,1,Morphic Pool,,,,,,,
main,1,Mox Opal,SOM,,,,,,
main,1,Mycosynth Lattice,,,,,,,
main,1,Myr Retriever,,,,,,,
main,1,Mystic Forge,,,,,,,
main,1,Mystic Remora,ICE,,,,,,
main,1,Nether Void,LEG,,,,,,
main,1,Nullstone Gargoyle,,,,,,,
main,1,Opposition Agent,,,,,,,
main,1,"Padeem, Consul of Innovation",,,,,,,
main,1,Phyrexian Metamorph,,,,,,,
main,1,Polluted Delta,,,,,,,
main,1,Possibility Storm,,,,,,,
main,1,Praetor's Grasp,,,,,,,
main,1,Pyrite Spellbomb,,,,,,,
main,1,Pyroblast,,,,,,,
main,1,Reckless Fireweaver,,,,,,,
main,1,Rhystic Study,,,,,,,
main,1,Scalding Tarn,,,,,,,
main,1,Scavenger Grounds,,,,,,,
main,1,Scrap Trawler,,,,,,,
main,1,Scroll Rack,TMP,,,,,,
main,1,Sculpting Steel,,,,,,,
main,1,Sensei's Divining Top,CHK,,,,,,
main,1,Shimmer Myr,,,,,,,
main,1,Sol Ring,C16,,,,,,
main,1,Spire of Industry,,,,,,,
main,1,Steam Vents,,,,,,,
main,1,Swamp,AKH,,,,,,
main,1,Swan Song,,,,,,,
main,1,Talisman of Creativity,,,,,,,
main,1,Talisman of Dominance,,,,,,,
main,1,Tezzeret the Seeker,DDF,foil,,,,,
main,1,"Tezzeret, Master of the Bridge",,foil,,,,,
main,1,"Thada Adel, Acquisitor",,,,,,,
main,1,Torpor Orb,,,,,,,
main,1,Toxic Deluge,,,,,,,
main,1,Transmute Artifact,ATQ,,,,,,
main,1,Underground Sea,3ED,,,,,,
main,1,Urza's Saga,,,,,,,
main,1,Vampiric Tutor,EMA,,,,,,
main,1,Vandalblast,,,,,,,
main,1,Vedalken Archmage,,,,,,,
main,1,Void Mirror,,,,,,,
main,1,Volcanic Island,3ED,,,,,,
main,1,Watery Grave,,,,,,,
main,1,Whir of Invention,,,,,,,
main,1,Wishclaw Talisman,,,,,,,
main,1,Workshop Assistant,,,,,,,
