Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,TSP,,,,,,
maybe,1,Anticipate,BFZ,,,,,,
maybe,1,Arcane Lighthouse,,,,,,,
main,1,Arcane Signet,ELD,,,,,,
main,1,Archaeomancer,M13,,,,,,
maybe,1,Archaeomender,JMP,,,,,,
main,1,Archmage Emeritus,STX,,,,,,
maybe,1,Archmage's Charm,,,,,,,
maybe,1,"Barrin, Tolarian Archmage",,,,,,,
main,1,Basilisk Collar,WWK,,,,,,
maybe,1,Batterskull,000,foil,,,,,
maybe,1,Bloodstained Mire,ONS,,,,,,
maybe,1,Bogardan Hellkite,DDG,foil,,,,,
maybe,1,Brainstorm,EMA,foil,,,,,
main,1,Burnished Hart,C15,,,,,,
main,1,Capsize,TMP,,,,,,
main,1,Cascade Bluffs,EVE,,,,,,
main,1,Castle Vantress,ELD,,,,,,
maybe,1,Cavern of Souls,AVR,,,,,,
main,1,Champion's Helm,CMD,,,,,,
main,1,Chandra's Ignition,ORI,,,,,,
main,1,Chaos Warp,CMD,,,,,,
main,1,Chromatic Lantern,RTR,,,,,,
maybe,1,Coalition Relic,DDE,,,,,,
main,1,Command Tower,C15,,,,,,
maybe,1,Commander's Sphere,,,,,,,
maybe,1,Confounding Conundrum,,,,,,,
maybe,1,Consecrated Sphinx,MBS,,,,,,
maybe,1,Counterspell,DD2,,,,,,
main,1,Cryptic Command,IMA,,,,,,
main,1,Crystal Shard,MRD,,,,,,
main,1,Cursed Mirror,C21,,,,,,
main,1,Cyclonic Rift,RTR,,,,,,
maybe,1,Darksteel Ingot,CMD,,,,,,
maybe,1,Darksteel Plate,MBS,,,,,,
main,1,Deadeye Navigator,AVR,,,,,,
maybe,1,Dig Through Time,KTK,,,,,,
maybe,1,Dismiss,C14,,,,,,
maybe,1,Dismiss into Dream,M14,,,,,,
main,1,Dockside Extortionist,C19,,,,,,
maybe,1,Draining Whelk,TSP,,,,,,
main,1,Dualcaster Mage,EMA,,,,,,
main,1,Electrodominance,RNA,,,,,,
maybe,1,Erratic Portal,EXO,,,,,,
main,1,Evacuation,10E,,,,,,
main,1,Fact or Fiction,EMA,,,,,,
maybe,1,Familiar's Ruse,,,,,,,
main,1,Flooded Strand,KTK,,,,,,
maybe,1,Frantic Search,,,,,,,
maybe,1,Gilded Lotus,M13,,,,,,
maybe,1,Glimmer of Genius,,,,,,,
main,1,Goblin Sharpshooter,C13,,,,,,
maybe,1,"Godo, Bandit Warlord",C16,,,,,,
main,1,Gorgon Flail,M10,,,,,,
main,1,Gorgon's Head,BNG,,,,,,
maybe,1,Grafted Exoskeleton,SOM,,,,,,
maybe,1,Great Furnace,MRD,,,,,,
maybe,1,Grixis Panorama,C13,,,,,,
maybe,1,Halimar Depths,WWK,,,,,,
main,1,Harmonic Prodigy,MH2,,,,,,
main,1,Imperial Recruiter,MH2,,,,,,
maybe,1,Impulse,DDN,,,,,,
maybe,1,Inferno Titan,M11,,,,,,
main,1,Insidious Will,KLD,,,,,,
main,1,Into the Core,MBS,,,,,,
main,5,Island,UNH,,,,,,
main,1,Izzet Boilerworks,GPT,,,,,,
maybe,1,Izzet Charm,MM3,,,,,,
main,1,Izzet Signet,C15,,,,,,
maybe,1,"Jace, Vryn's Prodigy",ORI,foil,,,,,
maybe,1,"Jin-Gitaxias, Core Augur",NPH,,,,,,
maybe,1,Keep Watch,,,,,,,
maybe,1,Lat-Nam's Legacy,CTD,,,,,,
maybe,1,Leadership Vacuum,C19,,,,,,
main,1,Leyline of Anticipation,M11,,,,,,
maybe,1,Long-Term Plans,SCG,,,,,,
main,1,Mana Drain,IMA,,,,,,
main,1,Midnight Clock,ELD,,,,,,
maybe,1,Mimic Vat,SOM,,,,,,
maybe,1,Mind Stone,,,,,,,
maybe,1,Mirage Mirror,,,,,,,
main,3,Mountain,UNH,,,,,,
main,1,Muddle the Mixture,RAV,,,,,,
main,1,Myriad Landscape,C21,,,,,,
main,1,Mystic Confluence,C15,,,,,,
main,1,Mystic Remora,ICE,,,,,,
main,1,Mystic Sanctuary,ELD,,,,,,
main,1,Mystical Tutor,MIR,,,,,,
maybe,1,"Nezahal, Primal Tide",RIX,,,,,,
main,1,"Niv-Mizzet, Dracogenius",RTR,foil,,,,,True
maybe,1,Nivix Guildmage,,,,,,,
main,1,Oblivion Stone,CMD,,,,,,
maybe,1,Overwhelming Intellect,DDJ,,,,,,
main,1,Path of Ancestry,C17,,,,,,
maybe,1,Phyrexian Revoker,,,,,,,
main,1,Polluted Delta,KTK,,,,,,
maybe,1,Polymorphist's Jest,M15,,,,,,
maybe,1,Pongify,PLC,,,,,,
main,1,Prismari Command,STX,,,,,,
maybe,1,Propaganda,CMD,,,,,,
maybe,1,Rack and Ruin,ULG,,,,,,
maybe,1,Rapid Hybridization,GTC,,,,,,
maybe,1,Reality Shift,FRF,,,,,,
main,1,Reflecting Pool,TMP,,,,,,
main,1,Reiterate,TSR,,,,,,
maybe,1,Relic of Progenitus,EMA,,,,,,
main,1,Reliquary Tower,000,foil,,,,,
main,1,Resculpt,STX,,,,,,
main,1,Reset,LEG,,,,,,
main,1,Rhystic Study,PCY,,,,,,
main,1,Riptide Laboratory,ONS,,,,,,
main,1,Riverglide Pathway,ZNR,,,,,,
maybe,1,Ronin Cliffrider,BOK,foil,,,,,
main,1,Scalding Tarn,MH2,,,,,,
main,1,Scavenger Grounds,HOU,,,,,,
maybe,1,Scour from Existence,,,,,,,
main,1,Sensei's Divining Top,EMA,,,,,,
maybe,1,Shadowspear,,,,,,,
maybe,1,Shimmer Myr,MBS,,,,,,
main,1,"Shinka, the Bloodsoaked Keep",CHK,,,,,,
main,1,Shivan Reef,10E,,,,,,
maybe,1,Sigil of Sleep,DDI,,,,,,
main,1,Silverbluff Bridge,MH2,,,,,,
main,1,Snapcaster Mage,ISD,,,,,,
main,1,Sol Ring,CMD,,,,,,
main,1,Solemn Simulacrum,CMD,,,,,,
main,1,Soul-Guide Lantern,THB,,,,,,
main,1,Spellseeker,BBD,,,,,,
maybe,1,Spire of Industry,,,,,,,
main,1,Spirebluff Canal,KLD,,,,,,
main,1,Starstorm,C13,,,,,,
main,1,Steam Vents,GRN,,,,,,
maybe,1,Stroke of Genius,C14,,,,,,
main,1,Stunt Double,CN2,,,,,,
main,1,Sublime Epiphany,M21,,,,,,
main,1,Sulfur Falls,ISD,,,,,,
maybe,1,Supreme Will,HOU,,,,,,
main,1,Surtland Frostpyre,KHM,,,,,,
main,1,Swan Song,THS,,,,,,
main,1,Swiftfoot Boots,C15,,,,,,
maybe,1,Sword of Feast and Famine,MBS,,,,,,
main,1,Tectonic Edge,WWK,,,,,,
main,1,"Teferi, Mage of Zhalfir",TSP,,,,,,
maybe,1,Telling Time,,,,,,,
maybe,1,Temple of Epiphany,JOU,,,,,,
main,1,Tezzeret the Seeker,ALA,foil,,,,,
main,1,Thawing Glaciers,000,foil,,,,,
maybe,1,The Locust God,,,,,,,
maybe,1,Thirst for Knowledge,,,,,,,
maybe,1,Thought Vessel,C15,,,,,,
maybe,1,Thran Dynamo,C14,,,,,,
main,1,Tolaria West,FUT,,,,,,
main,1,Torrential Gearhulk,KLD,,,,,,
maybe,1,Tower of the Magistrate,,,,,,,
main,1,Training Center,CMR,,,,,,
main,1,Trinket Mage,DDF,,,,,,
main,1,Triskaidekaphile,MID,,,,,,
main,1,Trophy Mage,AER,,,,,,
maybe,1,Turnabout,,,,,,,
maybe,1,Vedalken AEthermage,,,,,,,
maybe,1,Vedalken Orrery,5DN,,,,,,
main,1,Veilstone Amulet,,,,,,,
main,1,"Venser, Shaper Savant",FUT,,,,,,
main,1,Volatile Fjord,KHM,,,,,,
main,1,Volcanic Offering,CM2,,,,,,
maybe,1,Wandering Fumarole,,,,,,,
maybe,1,Wavebreak Hippocamp,THB,,,,,,
main,1,Wayfarer's Bauble,MM2,,,,,,
main,1,Winding Canyons,WTH,,,,,,
maybe,1,Wooded Foothills,ONS,,,,,,
maybe,1,Word of Seizing,C15,,,,,,
