Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Aetherflux Reservoir,KLD,,,,,,
main,1,Arbor Elf,M13,,,,,,
main,1,Arch of Orazca,RIX,,,,,,
main,1,Beast Whisperer,,,,,,,
main,1,Beastmaster Ascension,,,,,,,
main,1,Benefactor's Draught,C16,,,,,,
main,1,Birchlore Rangers,ONS,,,,,,
main,1,Boreal Druid,CSP,,,,,,
main,1,Chameleon Colossus,C15,,,,,,
main,1,Citanul Woodreaders,DDR,,,,,,
maybe,1,Cloudstone Curio,,,,,,,
main,1,Coat of Arms,DDS,,,,,,
main,1,Collective Unconscious,,,,,,,
maybe,1,Craterhoof Behemoth,,,,,,,
main,1,Creeping Renaissance,,,,,,,
main,1,Curse of Bounty,C17,,,,,,
main,1,Diligent Farmhand,ODY,,,,,,
main,1,Druid Lyrist,ODY,,,,,,
main,1,Elvish Harbinger,EVG,,,,,,
main,1,Elvish Mystic,,,,,,,
main,1,Elvish Pioneer,8ED,,,,,,
main,1,Farhaven Elf,,,,,,,
main,1,Fecundity,C13,,,,,,
main,28,Forest,BFZ,,,,,,
main,1,Fyndhorn Elves,ICE,,,,,,
main,1,Genesis Wave,IMA,,,,,,
main,1,Gilt-Leaf Archdruid,MOR,,,,,,
main,1,Groundskeeper,SOI,,,,,,
main,1,Guardian Project,,,,,,,
main,1,Harmonize,C17,,,,,,
main,1,Harvest Season,,,,,,,
main,1,Heart Warden,UDS,,,,,,
maybe,1,Heritage Druid,,,,,,,
main,1,Heroic Intervention,AER,,,,,,
main,1,Honored Hierarch,ORI,,,,,,
main,1,Ixalli's Diviner,XLN,,,,,,
main,1,Joraga Treespeaker,ROE,,,,,,
main,1,Karametra's Acolyte,THS,,,,,,
main,1,Kindred Summons,C17,,,,,,
main,1,Krosan Grip,,,,,,,
main,1,Krosan Wayfarer,JUD,,,,,,
main,1,Lifecrafter's Bestiary,AER,,,,,,
main,1,Lightning Greaves,C17,,,,,,
main,1,Lignify,DDD,,,,,,
main,1,Llanowar Druid,WTH,,,,,,
main,1,Llanowar Elves,,,,,,,
maybe,1,Masked Vandal,,,,,,,
main,1,Mobilize,POR,,,,,,
main,1,Nantuko Cultivator,TOR,,,,,,
main,1,Nightshade Peddler,AVR,,,,,,
main,1,Oashra Cultivator,AKH,,,,,,
maybe,1,Orochi Hatchery,,,,,,,
maybe,1,Praetor's Counsel,,,,,,,
main,1,Priest of Titania,,,,,,,
main,1,Primordial Sage,,,,,,,
main,1,Promised Kannushi,SOK,,,,,,
main,1,Quirion Ranger,,,,,,,
main,1,Quirion Sentinel,INV,,,,,,
maybe,1,Realmwalker,,,,,,,
main,1,Recycle,,,,,,,
main,1,Regal Force,EMA,,,,,,
maybe,1,Return of the Wildspeaker,,,,,,,
main,1,"Seton, Krosan Protector",,,,,,,True
main,1,Shamanic Revelation,C16,,,,,,
main,1,Skullclamp,C17,,,,,,
main,1,Slate of Ancestry,EVG,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Soul of the Harvest,,,,,,,
main,1,Staff of Nin,C17,,,,,,
main,1,Swiftfoot Boots,C17,,,,,,
maybe,1,The Great Henge,,,,,,,
main,1,Throne of the God-Pharaoh,AKH,,,,,,
main,1,Treefolk Harbinger,LRW,,,,,,
main,1,Triumph of the Hordes,NPH,,,,,,
main,1,Vanquisher's Banner,XLN,,,,,,
main,1,Village Elder,BRB,,,,,,
main,1,Vitalize,6ED,,,,,,
main,1,Whispersilk Cloak,PCA,,,,,,
maybe,1,Winter Orb,,,,,,,
main,1,Wirewood Symbiote,EMA,,,,,,
main,1,Woodland Druid,ODY,,,,,,
main,1,Yavimaya Elder,CMD,,,,,,
main,1,Zendikar Resurgent,C17,,,,,,
