Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Amulet of Vigor,SLD,foil,,,,,
main,1,Ancient Tomb,V12,foil,,,,,
main,1,Arcane Signet,ELD,,,,,,
main,1,Arid Mesa,ZNE,,,,,,
main,1,Atarka's Command,DTK,,,,,,
main,1,Avenger of Zendikar,DDP,foil,,,,,
main,1,"Azusa, Lost but Seeking",M21,foil,,,,,
main,1,Beast Within,TSR,foil,,,,,
main,1,Birds of Paradise,000,foil,,,,,
main,1,Bloodstained Mire,ZNE,,,,,,
main,1,Bonders' Enclave,IKO,foil,,,,,
main,1,Boom / Bust,PLC,foil,,,,,
main,1,"Boseiju, Who Shelters All",V12,foil,,,,,
main,1,Cavalier of Flame,M20,foil,,,,,
main,1,Cavern of Souls,ZNE,,,,,,
main,1,"Chandra, Torch of Defiance",KLD,foil,,,,,
main,1,Chord of Calling,2XM,foil,,,,,
main,1,Cinder Glade,EXP,foil,,,,,
main,1,Command Tower,CMR,foil,,,,,
main,1,Craterhoof Behemoth,MM3,foil,,,,,
main,1,Crop Rotation,2XM,foil,,,,,
main,1,Crucible of Worlds,MPS,foil,,,,,
main,1,Deflecting Swat,C20,,,,,,
main,1,Dockside Extortionist,C19,,,,,,
main,1,Eternal Witness,5DN,foil,,,,,
main,1,Exploration,2XM,foil,,,,,
main,1,Fire-Lit Thicket,EXP,foil,,,,,
main,1,Force of Vigor,MH1,foil,,,,,
main,8,Forest,BFZ,foil,,,,,
main,1,Fury,MH2,,,,,,
main,1,Gaea's Cradle,USG,,,,,,
main,1,Garruk's Uprising,M21,foil,,,,,
main,1,Gemstone Caverns,TSP,,,,,,
main,1,Glimmer Bairn,MH2,foil,,,,,
main,1,Goblin Bombardment,000,foil,,,,,
main,1,Green Sun's Zenith,MBS,,,,,,
main,1,Grove of the Burnwillows,FUT,,,,,,
main,1,Harmonize,000,,,,,,
main,1,Harrow,000,,,,,,
main,1,Jeweled Lotus,CMR,,,,,,
main,1,Krosan Grip,000,foil,,,,,
main,1,Life from the Loam,UMAP,foil,,,,,
main,1,Llanowar Elves,MOP,foil,,,,,
main,1,Lotus Cobra,000,foil,,,,,
main,1,Mana Crypt,000,foil,,,,,
main,1,Mana Vault,3ED,,,,,,
main,1,Misty Rainforest,ZNE,,,,,,
main,5,Mountain,BFZ,foil,,,,,
main,1,Mox Diamond,STH,,,,,,
main,1,Natural Order,VIS,,,,,,
main,1,Nature's Claim,EMA,foil,,,,,
main,1,Nesting Dragon,C18,,,,,,
main,1,"Nissa, Vastwood Seer",V17,foil,,,,,
main,1,"Omnath, Locus of Rage",BFZ,foil,,,,,True
main,1,Phyrexian Altar,INV,,,,,,
main,1,Pyroblast,SS3,,,,,,
main,1,Ramunap Excavator,000,foil,,,,,
main,1,Rootbound Crag,M13,foil,,,,,
main,1,Sakura-Tribe Elder,000,foil,,,,,
main,1,"Saryth, the Viper's Fang",MID,,,,,,
main,1,Scalding Tarn,ZNE,,,,,,
main,1,Scapeshift,MOR,,,,,,
main,1,Scavenging Ooze,M21,foil,,,,,
main,1,Scute Swarm,ZNR,foil,,,,,
main,1,Shaman of Forgotten Ways,DTK,foil,,,,,
main,1,Sheltered Thicket,AKH,foil,,,,,
main,1,Sol Ring,V10,foil,,,,,
main,1,Song of the Dryads,CM1,,,,,,
main,1,Spire Garden,ZNE,,,,,,
main,1,Splendid Reclamation,EMN,foil,,,,,
main,1,Stomping Ground,SLD,,,,,,
main,1,Strip Mine,EXP,foil,,,,,
main,1,Sylvan Library,EMA,,,,,,
main,1,Sylvan Safekeeper,CM1,,,,,,
main,1,Sylvan Scrying,000,foil,,,,,
main,1,Taiga,3ED,,,,,,
main,1,Temple of Abandon,THB,foil,,,,,
main,1,Terror of the Peaks,M21,,,,,,
main,1,Tireless Provisioner,MH2,foil,,,,,
main,1,Tireless Tracker,SOI,,,,,,
main,1,"Titania, Protector of Argoth",MH2,foil,,,,,
main,1,Triumph of the Hordes,NPH,,,,,,
main,1,Verdant Catacombs,ZEN,,,,,,
main,1,Wasteland,EMA,foil,,,,,
main,1,Wheel of Fortune,3ED,,,,,,
main,1,Windswept Heath,ONS,,,,,,
main,1,Wooded Foothills,EXP,foil,,,,,
main,1,World Shaper,RIX,foil,,,,,
main,1,Worldly Tutor,MIR,,,,,,
