Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Abhorrent Overlord,,,,,,,
main,1,Ancient Tomb,TMP,,,,,,
main,1,Archfiend of Depravity,FRF,,,,,,
main,1,Archfiend of Despair,,,,,,,
main,1,Ashnod's Altar,EMA,,,,,,
maybe,1,Barter in Blood,DDC,,,,,,
main,1,Bitterblossom,UMA,,,,,,
main,1,Blood Speaker,,,,,,,
main,1,Bloodgift Demon,ISD,,,,,,
main,1,Bojuka Bog,WWK,,,,,,
main,1,Burnished Hart,THS,,,,,,
main,1,Cabal Coffers,,,,,,,
main,1,Cabal Stronghold,,,,,,,
main,1,Caged Sun,NPH,,,,,,
main,1,Charcoal Diamond,C14,,,,,,
main,1,Crypt Ghast,,,,,,,
main,1,Damnation,MM3,,,,,,
main,1,Dark Petition,,,,,,,
main,1,Demon of Dark Schemes,,,,,,,
main,1,Demonic Tutor,3ED,,,,,,
main,1,Demonlord Belzenlok,DOM,,,,,,
main,1,Dread Cacodemon,CMD,,,,,,
maybe,1,"Endrek Sahr, Master Breeder",,,,,,,
main,1,Expedition Map,ZEN,,,,,,
main,1,Extraplanar Lens,MRD,,,,,,
main,1,Fellwar Stone,C15,,,,,,
main,1,Grave Titan,M12,,,,,,
main,1,Gray Merchant of Asphodel,THS,,,,,,
maybe,1,Grim Haruspex,,,,,,,
main,1,Harvester of Souls,AVR,foil,,,,,
main,1,Hedron Archive,BFZ,,,,,,
maybe,1,Innocent Blood,,,,,,,
main,1,Jet Medallion,C14,,,,,,
main,1,Kindred Dominance,,,,,,,
main,1,Leaden Myr,MRD,,,,,,
maybe,1,Liege of the Pit,,,,,,,
main,1,Liliana's Contract,,,,,,,
main,1,Lord of the Void,,,,,,,
main,1,"Mikaeus, the Unhallowed",DKA,foil,,,,,
main,1,Mind Stone,CM2,,,,,,
maybe,1,Mindslicer,,,,,,,
main,1,Murderous Rider,ELD,,,,,,
main,1,Myriad Landscape,C14,,,,,,
main,1,Necropotence,ICE,,,,,,
main,1,"Nykthos, Shrine to Nyx",,,,,,,
main,1,Ob Nixilis Reignited,BFZ,,,,,,
main,1,"Ob Nixilis, Unshackled",,,,,,,
main,1,Ophiomancer,,,,,,,
main,1,Overseer of the Damned,C14,,,,,,
maybe,1,Pawn of Ulamog,,,,,,,
main,1,Pestilence Demon,C14,,,,,,
main,1,Phyrexian Arena,DDE,,,,,,
main,1,Phyrexian Reclamation,ULG,,,,,,
main,1,Phyrexian Tower,UMA,,,,,,
maybe,1,Priest of Forgotten Gods,,,,,,,
main,1,Priest of the Blood Rite,DDR,,,,,,
main,1,"Razaketh, the Foulblooded",,foil,,,,,True
main,1,Read the Bones,THS,,,,,,
main,1,Reaper from the Abyss,C14,,,,,,
main,1,Reassembling Skeleton,M19,foil,,,,,
main,1,Reliquary Tower,M19,,,,,,
main,1,Rune-Scarred Demon,IMA,,,,,,
main,1,Sengir Autocrat,EMA,,,,,,
maybe,1,Shadowborn Demon,,,,,,,
maybe,1,Sifter of Skulls,,,,,,,
main,1,Sign in Blood,M15,,,,,,
main,1,Skirsdag High Priest,C14,,,,,,
main,1,Sol Ring,C13,,,,,,
main,1,Solemn Simulacrum,M12,,,,,,
main,1,Strip Mine,4ED,,,,,,
main,25,Swamp,HOU,,,,,,
main,1,Thespian's Stage,UMA,,,,,,
main,1,Thought Vessel,C15,,,,,,
main,1,Thran Dynamo,IMA,,,,,,
maybe,1,Torment of Hailfire,,,,,,,
main,1,Toxic Deluge,C13,,,,,,
main,1,Tragic Slip,C14,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",M15,,,,,,
main,1,Vampiric Tutor,6ED,,,,,,
main,1,"Vilis, Broker of Blood",,,,,,,
main,1,Village Rites,M21,,,,,,
maybe,1,Vindictive Lich,,,,,,,
main,1,Volrath's Stronghold,STH,,,,,,
main,1,Wayfarer's Bauble,C17,,,,,,
main,1,Westvale Abbey,,,,,,,
main,1,Whip of Erebos,,,,,,,
main,1,Worn Powerstone,C18,,,,,,
main,1,Yawgmoth's Will,,,,,,,
