Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Anguished Unmaking,000,foil,,,,,
main,1,Ankle Shanker,,,,,,,
main,1,Arcane Lighthouse,,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Basilisk Collar,,,,,,,
main,1,Black Sun's Zenith,000,foil,,,,,
main,1,Blasphemous Act,,,,,,,
main,1,Blind Obedience,,,,,,,
main,1,Blood Crypt,,,,,,,
main,1,Burnished Hart,,,,,,,
main,1,Champion's Helm,MPS,foil,,,,,
maybe,1,Chandra's Ignition,,,,,,,
main,1,Chaos Warp,,,,,,,
main,1,Chromatic Lantern,MYS1,,,,,,
main,1,Clifftop Retreat,,,,,,,
main,1,Command Beacon,CMR,foil,,,,,
main,1,Command Tower,CMR,foil,,,,,
main,1,Deflecting Swat,,,,,,,
main,1,Demonic Tutor,,,,,,,
main,1,Detection Tower,,,,,,,
main,1,Dragonskull Summit,,,,,,,
main,1,Expedition Map,2XM,foil,,,,,
main,1,"Falthis, Shadowcat Familiar",CMR,,,,,,
main,1,Fetid Heath,,,,,,,
main,1,Field of Ruin,THB,,,,,,
main,1,Fiendish Duo,,foil,,,,,
main,1,Fiery Emancipation,,,,,,,
main,1,Flawless Maneuver,,,,,,,
main,1,Forbidden Orchard,EXP,foil,,,,,
main,1,Ghost Quarter,MYS1,,,,,,
main,1,Gift of Doom,,,,,,,
main,1,"Gisela, Blade of Goldnight",,,,,,,
main,1,Goblin Sharpshooter,,,,,,,
main,1,Godless Shrine,EXP,foil,,,,,
main,1,Gorgon Flail,,,,,,,
main,1,Gorgon's Head,,,,,,,
main,1,Graven Cairns,EXP,foil,,,,,
main,1,Hammer of Nazahn,2XM,,,,,,
main,1,Illusionist's Bracers,,,,,,,
main,1,Inspiring Vantage,,,,,,,
main,1,Isolated Chapel,,,,,,,
main,1,"Kelsien, the Plague",,,,,,,True
main,1,Land Tax,,,,,,,
main,1,Lucille,SLD,,,,,,
main,1,"Mangara, the Diplomat",M21,,,,,,
main,1,Merciless Eviction,,foil,,,,,
main,1,Mind Stone,,,,,,,
main,4,Mountain,,,,,,,
main,1,Myriad Landscape,,,,,,,
main,1,Necropotence,V09,foil,,,,,
main,1,Night's Whisper,,,,,,,
main,1,Open the Armory,,,,,,,
main,1,Painful Truths,,,,,,,
main,1,Phyrexian Arena,,,,,,,
main,3,Plains,,,,,,,
main,1,Quietus Spike,,,,,,,
main,1,Rakdos Signet,,,,,,,
main,1,Read the Bones,,,,,,,
main,1,Reconnaissance,,,,,,,
main,1,Reflecting Pool,000,foil,,,,,
main,1,Revel in Riches,,,,,,,
main,1,Rogue's Passage,,,,,,,
main,1,Ronin Cliffrider,,,,,,,
main,1,Ruinous Ultimatum,,,,,,,
main,1,Rune of Mortality,KHM,,,,,,
main,1,Sacred Foundry,EXP,foil,,,,,
main,1,Savai Triome,IKO,,,,,,
main,1,Shadowspear,,,,,,,
main,1,"Shizo, Death's Storehouse",MYSTOR,foil,,,,,
main,1,Sigarda's Aid,CMR,,,,,,
main,1,Smoldering Marsh,EXP,foil,,,,,
main,1,Smothering Tithe,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Solemn Simulacrum,MPS,foil,,,,,
main,1,Spectator Seating,CMR,,,,,,
main,1,Steelshaper's Gift,5DN,foil,,,,,
main,1,Stoneforge Mystic,2XM,foil,,,,,
main,1,Strip Mine,V09,foil,,,,,
main,1,Sun Titan,000,foil,,,,,
main,3,Swamp,,,,,,,
main,1,Swiftfoot Boots,CMR,foil,,,,,
main,1,Sword of Feast and Famine,MPS,foil,,,,,
main,1,Sword of Fire and Ice,MPS,foil,,,,,
main,1,Sword of Hearth and Home,MH2,,,,,,
main,1,Sword of Truth and Justice,,,,,,,
main,1,Teferi's Protection,,,,,,,
main,1,Thornbite Staff,,,,,,,
main,1,Thousand-Year Elixir,,,,,,,
main,1,Vampiric Tutor,CMR,,,,,,
main,1,Vandalblast,,,,,,,
main,1,Vault of the Archangel,,,,,,,
main,1,Void Beckoner,,,,,,,
main,1,Vorpal Sword,AFR,foil,,,,,
main,1,"Zagras, Thief of Heartbeats",,,,,,,
