Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Abundance,,,,,,,
main,1,Acidic Slime,,,,,,,
main,1,Aetherflux Reservoir,,,,,,,
main,1,Amulet of Vigor,,,,,,,
main,1,Angelic Chorus,,,,,,,
main,1,Anointed Procession,,,,,,,
main,1,Archangel of Thune,,,,,,,
main,1,Aura Shards,,,,,,,
main,1,Avenger of Zendikar,,,,,,,
main,1,Beacon of Immortality,,,,,,,
main,1,Birds of Paradise,,,,,,,
main,1,Bountiful Promenade,,,,,,,
main,1,Branchloft Pathway,,,,,,,
main,1,"Brimaz, King of Oreskos",,,,,,,
main,1,Canopy Vista,,,,,,,
main,1,Champion of Lambholt,,,,,,,
main,1,Concordant Crossroads,,,,,,,
main,1,Courser of Kruphix,,,,,,,
main,1,Craterhoof Behemoth,,,,,,,
main,1,Cream of the Crop,,,,,,,
main,1,Devout Invocation,,,,,,,
main,1,Doubling Season,,,,,,,
main,1,Dragonlord Dromoka,,,,,,,
main,1,"Elspeth, Sun's Champion",,,,,,,
main,1,Emeria Angel,,,,,,,
main,1,Emeria Shepherd,,,,,,,
main,1,"Emeria, The Sky Ruin",,,,,,,
main,1,End-Raze Forerunners,,,,,,,
main,1,Engulfing Slagwurm,,,,,,,
main,1,Eternal Witness,,,,,,,
main,1,Fated Retribution,,,,,,,
main,1,Field of the Dead,,,,,,,
main,12,Forest,,,,,,,
main,1,Fortified Village,,,,,,,
main,1,Fumigate,,,,,,,
main,1,Glare of Subdual,,,,,,,
main,1,Green Sun's Zenith,,,,,,,
main,1,Growing Rites of Itlimoc,,,,,,,
main,1,"Heliod, God of the Sun",,,,,,,
main,1,Hydra Broodmaster,,,,,,,
main,1,"Karametra, God of Harvests",,,,,,,True
main,1,Krosan Verge,,,,,,,
main,1,Lifecrafter's Bestiary,,,,,,,
main,1,Lotus Cobra,,,,,,,
main,1,"Maja, Bretagard Protector",,,,,,,
main,1,Mirari's Wake,,,,,,,
main,1,"Mirri, Weatherlight Duelist",,foil,,,,,
main,1,Mistveil Plains,,,,,,,
main,1,Mosswort Bridge,,,,,,,
main,1,"Nissa, Vital Force",,,,,,,
main,1,"Nylea, God of the Hunt",,,,,,,
main,1,Oracle of Mul Daya,,,,,,,
main,1,Overwhelming Stampede,,,,,,,
main,1,Parallel Lives,,,,,,,
main,11,Plains,,,,,,,
main,1,Primal Surge,,,,,,,
main,1,Privileged Position,,,,,,,
main,1,Qasali Pridemage,,,,,,,
main,1,Rampaging Baloths,,,,,,,
main,1,Razorverge Thicket,,,,,,,
main,1,Rhox Faithmender,,,,,,,
main,1,Rhys the Redeemed,,,,,,,
main,1,Rishkar's Expertise,,,,,,,
main,1,Scattered Groves,,,,,,,
main,1,Scute Swarm,,,,,,,
main,1,Selesnya Sanctuary,,,,,,,
main,1,Serra Ascendant,,,,,,,
main,1,"Sigarda, Host of Herons",,,,,,,
main,1,Sunpetal Grove,,,,,,,
main,1,Sylvan Caryatid,,,,,,,
main,1,Temple Garden,,,,,,,
main,1,Thunderfoot Baloth,,,,,,,
main,1,"Trostani, Selesnya's Voice",,,,,,,
main,1,True Conviction,,,,,,,
main,1,Vivien Reid,,,,,,,
main,1,Voice of Resurgence,,,,,,,
main,1,Wooded Bastion,,,,,,,
main,1,Wurmcoil Engine,,,,,,,
main,1,Zendikar Resurgent,,,,,,,
