Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Accorder Paladin,,,,,,,
main,1,Agadeem's Awakening,,,,,,,
main,1,"Anafenza, the Foremost",,,,,,,
main,1,Angelfire Ignition,,,,,,,
main,1,Anguished Unmaking,000,foil,,,,,
main,1,Arid Mesa,,,,,,,
main,1,Assassin's Trophy,GRN,,,,,,
main,1,"Aurelia, the Warleader",V15,foil,,,,,
main,1,Badlands,3ED,,,,,,
main,1,Bastion Protector,,,,,,,
main,1,Bayou,3ED,,,,,,
main,1,Berserk,,,,,,,
main,1,Blood Crypt,,,,,,,
main,1,Bloodstained Mire,,,,,,,
main,1,Branchloft Pathway,,,,,,,
main,1,Cavern of Souls,,,,,,,
main,1,Coastline Marauders,,,,,,,
main,1,Combat Celebrant,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Deflecting Swat,,,,,,,
main,1,Demonic Tutor,3ED,,,,,,
main,1,"Drana, Liberator of Malakir",,,,,,,
main,1,Dreadhorde Butcher,WAR,,,,,,
main,1,Embercleave,,,,,,,
main,1,Emeria's Call,,,,,,,
main,1,Faeburrow Elder,,,,,,,
main,1,Fire Covenant,,,,,,,
main,1,Flawless Maneuver,,,,,,,
main,1,Flooded Strand,,,,,,,
main,1,Forest,BFZ,foil,,,,,
main,1,Gaddock Teeg,,,,,,,
main,1,General Ferrous Rokiric,,,,,,,
main,1,"Ghalta, Primal Hunger",,,,,,,
main,1,Gideon Blackblade,WAR,foil,,,,,
main,1,Giver of Runes,,,,,,,
main,1,Godless Shrine,,,,,,,
main,1,Guardian Augmenter,,,,,,,
main,1,Hatred,,,,,,,
main,1,Heroic Intervention,,,,,,,
main,1,Honored Crop-Captain,,,,,,,
main,1,"Iroas, God of Victory",,,,,,,
main,1,Keen Sense,,,,,,,
main,1,Knight of Autumn,,,,,,,
main,1,"Kytheon, Hero of Akros",V17,foil,,,,,
main,1,Majestic Myriarch,,,,,,,
main,1,Marsh Flats,,,,,,,
main,1,Mirri's Guile,,,,,,,
main,1,"Mirri, Weatherlight Duelist",,foil,,,,,
main,1,Misty Rainforest,,,,,,,
main,1,Mother of Runes,,,,,,,
main,1,Mountain,BFZ,foil,,,,,
main,1,Needleverge Pathway,,,,,,,
main,1,Overgrown Tomb,,,,,,,
main,1,Path to Exile,,,,,,,
main,1,Plains,,foil,,,,,
main,1,Plateau,3ED,,,,,,
main,1,Polluted Delta,,,,,,,
main,1,Prismatic Vista,,,,,,,
main,1,Questing Beast,,foil,,,,,
main,1,"Ragavan, Nimble Pilferer",,,,,,,
main,1,Raging River,2ED,,,,,,
main,1,Reconnaissance,,,,,,,
main,1,Rotting Regisaur,,,,,,,
main,1,Sacred Foundry,,,,,,,
main,1,"Samut, Voice of Dissent",,,,,,,
main,1,"Sarulf, Realm Eater",,,,,,,
main,1,Saskia the Unyielding,SLD,foil,,,,,True
main,1,Savannah,3ED,,,,,,
main,1,Scalding Tarn,,,,,,,
main,1,Scrubland,3ED,,,,,,
main,1,Selfless Spirit,,,,,,,
main,1,Serra Ascendant,,,,,,,
main,1,Shatterskull Smashing,,,,,,,
main,1,Silverblade Paladin,,foil,,,,,
main,1,Stomping Ground,,,,,,,
main,1,Stoneforge Mystic,,,,,,,
main,1,Sun Titan,,,,,,,
main,1,Swamp,,foil,,,,,
main,1,Sword of Fire and Ice,,,,,,,
main,1,Sylvan Library,,,,,,,
main,1,Taiga,3ED,,,,,,
main,1,"Tajic, Legion's Edge",,,,,,,
main,1,Temple Garden,,,,,,,
main,1,Territorial Kavu,,,,,,,
main,1,"Thalia, Heretic Cathar",,,,,,,
main,1,Thoughtseize,,,,,,,
main,1,Thundermaw Hellkite,,,,,,,
main,1,Toxic Deluge,,,,,,,
main,1,Triumph of the Hordes,,,,,,,
main,1,Turntimber Symbiosis,,,,,,,
main,1,Umezawa's Jitte,V16,foil,,,,,
main,1,Vampiric Tutor,,,,,,,
main,1,Venerable Warsinger,,,,,,,
main,1,Verdant Catacombs,,,,,,,
main,1,Wheel of Fortune,3ED,,,,,,
main,1,Windswept Heath,,,,,,,
main,1,Wooded Foothills,,,,,,,
main,1,"Xenagos, God of Revels",,,,,,,
main,1,"Zagras, Thief of Heartbeats",,,,,,,
main,1,Zurgo Helmsmasher,,foil,,,,,
