Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Brainstorm,CNS,,,,,,
main,1,Desert of the Mindful,HOU,,,,,,
main,1,Dispel,RTR,,,,,,
main,1,Frantic Search,ULG,,,,,,
main,1,Ipnu Rivulet,HOU,,,,,,
main,85,Island,,,,,,,
main,1,"Jace, Wielder of Mysteries",SLD,foil,,,,,
main,1,"Kaho, Minamo Historian",SOK,,,,,,True
main,1,Laboratory Maniac,ISD,,,,,,
main,1,Long-Term Plans,SCG,,,,,,
main,1,Mana Severance,TMP,,,,,,
main,1,Muddle the Mixture,RAV,,,,,,
main,1,Mystic Sanctuary,ELD,,,,,,
main,1,Mystical Tutor,MIR,,,,,,
main,1,Thassa's Oracle,THB,,,,,,
main,1,Trickbind,TSP,,,,,,
