Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,2XM,,,,,,
main,1,Arcane Signet,CMR,,,,,,
main,1,Argentum Armor,C17,,,,,,
main,1,Armory Automaton,C16,,,,,,
main,1,Blackblade Reforged,SS2,,,,,,
main,1,Buried Ruin,2XM,,,,,,
main,1,Cascade Bluffs,2XM,,,,,,
main,1,Castle Vantress,ELD,,,,,,
main,1,Champion's Helm,MPS,foil,,,,,
main,1,Chaos Warp,STA,,,,,,
main,1,Chitinous Cloak,OGW,,,,,,
main,1,Command Tower,CMR,,,,,,
main,1,Conqueror's Flail,C16,,,,,,
main,1,Counterspell,STA,,,,,,
main,1,Cyclonic Rift,2XM,,,,,,
main,1,"Dalakos, Crafter of Wonders",THB,,,,,,True
main,1,Disallow,AER,,,,,,
main,1,Dockside Extortionist,C19,,,,,,
main,1,Dowsing Dagger,000,,,,,,
main,1,Duplicant,MPS,foil,,,,,
main,1,Embercleave,ELD,,,,,,
main,1,Evacuation,C16,,,,,,
main,1,Fabled Passage,ELD,,,,,,
main,1,Fervent Champion,ELD,,,,,,
main,1,Fierce Guardianship,IKO,,,,,,
main,1,Fiery Islet,MH1,,,,,,
main,1,Fireshrieker,CMR,,,,,,
main,1,"Godo, Bandit Warlord",2XM,,,,,,
main,1,Goldvein Pick,KHM,,,,,,
main,1,Great Furnace,C21,,,,,,
main,1,Hammer of Nazahn,2XM,,,,,,
main,1,Hellkite Igniter,C18,,,,,,
main,1,Hellkite Tyrant,C16,,,,,,
main,1,Helm of the Host,DOM,,,,,,
main,1,Hero's Blade,CMR,,,,,,
main,1,Into the Roil,ZNR,,,,,,
main,1,Inventors' Fair,KLD,,,,,,
main,7,Island,THB,,,,,,
main,1,Izzet Signet,GK1,,,,,,
main,1,"Jhoira, Weatherlight Captain",2XM,,,,,,
main,1,Kazuul's Toll Collector,2XM,,,,,,
main,1,Lightning Greaves,MPS,foil,,,,,
main,1,Loxodon Warhammer,C21,,,,,,
main,1,Magmaquake,000,,,,,,
main,1,Mask of Memory,CMR,,,,,,
main,1,Mind Stone,C21,,,,,,
main,8,Mountain,THB,,,,,,
main,1,One with the Machine,M19,,,,,,
main,1,"Padeem, Consul of Innovation",KLD,,,,,,
main,1,Path of Ancestry,CMR,,,,,,
main,1,Rapid Hybridization,GK2,,,,,,
main,1,Reality Shift,000,,,,,,
main,1,Reverse Engineer,000,,,,,,
main,1,Rhystic Study,000,,,,,,
main,1,River's Rebuke,GN2,,,,,,
main,1,Riverglide Pathway,ZNR,,,,,,
main,1,Saheeli Rai,KLD,,,,,,
main,1,Saheeli's Directive,C18,,,,,,
main,1,Seat of the Synod,C18,,,,,,
main,1,Shadowspear,THB,,,,,,
main,1,Shimmer Dragon,ELD,,,,,,
main,1,Shivan Reef,C21,,,,,,
main,1,Silverbluff Bridge,MH2,,,,,,
main,1,Sol Ring,CMR,,,,,,
main,1,Spirebluff Canal,KLD,,,,,,
main,1,Steam Vents,SLD,,True,,,,
main,1,Steel Hellkite,C21,,,,,,
main,1,Stoic Rebuttal,MM2,,,,,,
main,1,Sulfur Falls,DOM,,True,,,,
main,1,Swiftfoot Boots,CMR,,True,,,,
main,1,Swiftwater Cliffs,IKO,,True,,,,
main,1,Sword of Feast and Famine,2XM,,True,,,,
main,1,Sword of Fire and Ice,2XM,,True,,,,
main,1,Sword of Hearth and Home,MH2,,,,,,
main,1,Sword of Sinew and Steel,MH1,,True,,,,
main,1,Sword of the Animist,MYS1,,True,,,,
main,1,Sword of Vengeance,CMR,,,,,,
main,1,Sword of War and Peace,2XM,,True,,,,
main,1,Talisman of Creativity,C21,,True,,,,
main,1,Temple of Epiphany,M21,,,,,,
main,1,Terramorphic Expanse,JMP,,True,,,,
main,1,"Tezzeret, Artifice Master",M19,,True,,,,
main,1,Thought Vessel,CMR,,True,,,,
main,1,Thoughtcast,MYS1,,True,,,,
main,1,Thran Dynamo,MYS1,,True,,,,
main,1,Vulshok Battlemaster,MRD,,True,,,,
main,1,Whir of Invention,AER,,,,,,
