Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,AEtherling,DGM,foil,,,,,
main,1,Anger,UMA,foil,,,,,
main,1,Arcane Lighthouse,,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Arcanis the Omnipotent,DDN,foil,,,,,
main,1,Blood Crypt,RTR,foil,,,,,
main,1,Buried Alive,UMA,foil,,,,,
main,1,Captivating Crew,,,,,,,
main,1,"Chandra, Flamecaller",OGW,foil,,,,,
main,1,Command Tower,,,,,,,
main,1,Crumbling Necropolis,ALA,foil,,,,,
main,1,Deadeye Navigator,AVR,foil,,,,,
main,1,Demonic Tutor,UMA,foil,,,,,
main,1,Detection Tower,M19,pre,,,,,
main,1,Diabolic Tutor,KLD,foil,,,,,
main,1,"Diaochan, Artful Beauty",CMA,foil,,,,,
main,1,Dimir Signet,RAV,foil,,,,,
main,1,"Drana, Kalastria Bloodchief",,,,,,,
main,1,Endbringer,000,foil,,,,,
main,1,Endling,MH1,foil,,,,,
main,1,Evolving Wilds,000,foil,,,,,
main,1,Faithless Looting,UMA,foil,,,,,
main,1,Flamekin Village,,,,,,,
main,1,Galecaster Colossus,,,,,,,
main,1,"Geth, Lord of the Vault",SOM,foil,,,,,
main,1,Gilded Lotus,DOM,foil,,,,,
main,1,Hanweir Battlements,000,foil,,,,,
main,1,Heartstone,PDS,foil,,,,,
main,1,Hex Parasite,NPH,foil,,,,,
main,1,Homeward Path,,,,,,,
main,1,Intuition,000,foil,,,,,
main,1,Inventors' Fair,,,,,,,
main,6,Island,HOU,foil,,,,,
main,1,Izzet Signet,GPT,foil,,,,,
main,1,Jace's Archivist,M12,foil,,,,,
main,1,"Jaya Ballard, Task Mage",PSG,foil,,,,,
main,1,"Kozilek, the Great Distortion",,,,,,,
main,1,Liliana of the Dark Realms,M14,foil,,,,,
main,1,"Mairsil, the Pretender",,foil,True,,,,True
main,1,Memnarch,V16,foil,,,,,
main,1,Mercurial Chemister,RTR,foil,,,,,
main,1,"Minamo, School at Water's Edge",,,,,,,
main,1,Mirage Mirror,HOU,pre,,,,,
main,1,Morphling,000,foil,,,,,
main,6,Mountain,HOU,foil,,,,,
main,1,Nevinyrral's Disk,,,,,,,
main,1,"Nezahal, Primal Tide",RIX,pre,,,,,
main,1,Oblivion Stone,,,,,,,
main,1,Olivia Voldaren,,,,,,,
main,1,"Oona, Queen of the Fae",,,,,,,
main,1,Pack Rat,RTR,foil,,,,,
main,1,Path of Ancestry,,,,,,,
main,1,Pendant of Prosperity,,,,,,,
main,1,Perilous Vault,,,,,,,
main,1,Prismatic Geoscope,000,foil,,,,,
main,1,"Purphoros, Bronze-Blooded",,foil,,,,,
main,1,Quicksilver Elemental,MRD,foil,,,,,
main,1,Rakdos Signet,DIS,foil,,,,,
main,1,Rings of Brighthearth,MPS,foil,,,,,
main,1,Riptide Laboratory,ONS,foil,,,,,
main,1,Rogue's Passage,RTR,foil,,,,,
main,1,Shadowspear,THB,pre,,,,,
main,1,"Shauku, Endbringer",,,,,,,
main,1,Shenanigans,,,,,,,
main,1,Skyship Stalker,000,foil,,,,,
main,1,Sol Ring,,,,,,,
main,1,Soul of New Phyrexia,M15,foil,,,,,
main,1,Spark Double,WAR,pre,,,,,
main,1,Spikeshot Elder,,,,,,,
main,1,Staff of Domination,MPS,foil,,,,,
main,1,Steam Vents,RTR,foil,,,,,
main,1,Steel Hellkite,000,foil,,,,,
main,6,Swamp,HOU,foil,,,,,
main,1,Terramorphic Expanse,TSP,foil,,,,,
main,1,Tezzeret the Seeker,,foil,,,,,
main,1,"Thassa, Deep-Dwelling",THB,foil,,,,,
main,1,The Scarab God,HOU,pre,,,,,
main,1,Thousand-Year Elixir,LRW,foil,,,,,
main,1,Torchling,PLC,foil,,,,,
main,1,Training Grounds,,,,,,,
main,1,Tree of Perdition,EMN,foil,,,,,
main,1,Visara the Dreadful,,,,,,,
main,1,Watery Grave,GTC,foil,,,,,
main,1,Windfall,IMA,foil,,,,,
main,1,Xathrid Gorgon,000,foil,,,,,
