Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Alchemist's Refuge,AVR,,,,,,
main,1,Ancient Tomb,V12,foil,,,,,
main,1,Avenger of Zendikar,,,True,,,,
main,1,"Azusa, Lost but Seeking",,,True,,,,
main,1,Beast Within,,,True,,,,
main,1,Brainstorm,MMQ,,,,,,
main,1,Breeding Pool,GTC,,,,,,
main,1,Burgeoning,STH,,,,,,
main,1,Cloudstone Curio,,,True,,,,
main,1,Command Tower,CMR,foil,,,,,
main,1,Counterspell,,,True,,,,
main,1,Cultivate,,,True,,,,
main,1,Cyclonic Rift,,,True,,,,
main,1,Delay,,,True,,,,
main,1,Dryad of the Ilysian Grove,,,True,,,,
main,1,Eternal Witness,,,True,,,,
main,1,Exploration,2XM,,,,,,
main,1,Fabled Passage,ELD,,,,,,
main,1,Fertilid,MOR,,,,,,
main,1,Fierce Guardianship,,,True,,,,
main,1,Finale of Devastation,WAR,,,,,,
main,1,Flooded Grove,2XM,,,,,,
main,1,Flooded Strand,KTK,,,,,,
main,1,Flusterstorm,IMA,,,,,,
main,10,Forest,ODY,foil,,,,,
main,1,Future Sight,,,True,,,,
main,1,Gaea's Touch,DRK,,True,,,,
main,1,Genesis Wave,,,True,,,,
main,1,Ghost Town,TMP,,,,,,
main,1,Gush,,,True,,,,
main,1,Hinterland Harbor,DOM,foil,,,,,
main,10,Island,ONS,foil,,,,,
main,1,Khalni Heart Expedition,,,True,,,,
main,1,Kodama's Reach,,,True,,,,
main,1,Krosan Grip,,,True,,,,
main,1,"Kruphix, God of Horizons",,,True,,,,True
main,1,Leyline of Anticipation,,,True,,,,
main,1,Lotus Cobra,ZEN,,,,,,
main,1,Meloku the Clouded Mirror,,,True,,,,
main,1,Misty Rainforest,MM3,,,,,,
main,1,Mystic Remora,ICE,,,,,,
main,1,Mystical Tutor,MIR,,,,,,
main,1,Narset's Reversal,WAR,,,,,,
main,1,Pact of Negation,,,True,,,,
main,1,Planar Portal,,,True,,,,
main,1,Polluted Delta,KTK,,,,,,
main,1,Ponder,,,True,,,,
main,1,Preordain,M11,,,,,,
main,1,Prismatic Vista,H1R,foil,,,,,
main,1,Rampaging Baloths,,,True,,,,
main,1,Reliquary Tower,000,foil,,,,,
main,1,Retreat to Coralhelm,,,True,,,,
main,1,Rewind,USG,,,,,,
main,1,Rite of Replication,ZEN,,,,,,
main,1,Sakura-Tribe Scout,SOK,,,,,,
main,1,Scalding Tarn,MH2,,,,,,
main,1,Scute Swarm,ZNR,,,,,,
main,1,Seedborn Muse,,,True,,,,
main,1,Sensei's Divining Top,CHK,,,,,,
main,1,Simic Growth Chamber,IMA,foil,,,,,
main,1,Sol Ring,,,True,,,,
main,1,Solve the Equation,STX,,,,,,
main,1,Soratami Savant,,,True,,,,
main,1,Spellseeker,,,True,,,,
main,1,Sunder,,,True,,,,
main,1,Swan Song,,,True,,,,
main,1,Sylvan Library,,,True,,,,
main,1,"Tatyova, Benthic Druid",,,True,,,,
main,1,Temple of the False God,C20,,,,,,
main,1,Tidal Barracuda,,,True,,,,
main,1,Tireless Provisioner,,,True,,,,
main,1,Tireless Tracker,,,True,,,,
main,1,Tooth and Nail,,,True,,,,
main,1,Unwind,DOM,,,,,,
main,1,"Uro, Titan of Nature's Wrath",,,True,,,,
main,1,Verdant Catacombs,ZEN,,,,,,
main,1,Voidslime,DIS,,,,,,
main,1,Walking Atlas,,,True,,,,
main,1,Wilderness Reclamation,RNA,,,,,,
main,1,Windswept Heath,KTK,,,,,,
main,1,Wooded Foothills,KTK,,,,,,
main,1,Yavimaya Coast,ORI,foil,,,,,
