Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
maybe,1,Adarkar Wastes,10E,,,,,,
maybe,1,Aegis Angel,ORI,,,,SL,,
maybe,1,AEtherspouts,M15,,,,,,
maybe,1,Anguished Unmaking,SOI,,,,,,
maybe,2,Animate Dead,3ED,,,,,,
main,1,Aphetto Alchemist,ONS,,,,,,
main,1,Approach of the Second Sun,AKH,,,,,,
main,1,Arcane Lighthouse,C14,,,,,,
main,1,Arcane Sanctum,MM3,,,,,,
main,1,Arcane Signet,ELD,,,,,,
maybe,1,Arcanis the Omnipotent,EMA,,,,SL,,
main,1,Archaeomancer,M14,,,,,,
main,1,Arena of the Ancients,CHR,,,,,,
maybe,1,Ashen Rider,THS,,,,,,
maybe,1,Ashes of the Abhorrent,XLN,,,,SL,,
main,1,Aura of Silence,C15,,,,,,
maybe,1,Aurification,ONS,,,,,,
maybe,2,Austere Command,LRW,,,,,,
main,1,Authority of the Consuls,KLD,,,,,,
maybe,1,"Avacyn, Angel of Hope",AVR,,,,,,
maybe,1,Avatar of Woe,CN2,,,,,,
main,1,Azorius Signet,DIS,,,,,,
main,1,Bad River,MIR,,,,,,
maybe,1,Baneful Omen,,,,,SL,,
maybe,1,Banishing Light,C15,,,,SL,,
maybe,1,Banishing Stroke,MM3,,,,SL,,
maybe,1,Baral's Expertise,AER,,,,SL,,
maybe,2,Bastion Protector,C15,,,,,,
maybe,1,Black Sun's Zenith,,,,,,,
maybe,1,Blast Zone,WAR,,,,,,
main,1,Blind Obedience,C16,,,,,,
maybe,1,Blood Reckoning,,,,,,,
maybe,1,Bloodchief Ascension,,,,,,,
maybe,1,Blue Sun's Zenith,C15,,,,SL,,
main,1,Bojuka Bog,WWK,,,,,,
maybe,1,Bond of Insight,,,,,SL,,
maybe,1,Brainstorm,ICE,,,,SL,,
maybe,1,Breathstealer's Crypt,VIS,,,,,,
maybe,1,Burnished Hart,THS,,,,SL,,
maybe,1,Calciform Pools,TSP,,,,,,
maybe,1,Call to Mind,M11,,,,,,
maybe,1,Capsize,TPR,,,,,,
maybe,1,Captain of the Mists,DDQ,,,,SL,,
maybe,1,Cast Out,AKH,,,,SL,,
main,1,Caves of Koilos,MD1,,,,,,
main,1,Chromatic Lantern,RTR,,,,,,
main,1,Cleansing Nova,M19,,,,,,
maybe,1,Clever Impersonator,KTK,,,,,,
maybe,1,Clone,M14,,,,SL,,
maybe,1,Cloudshift,AVR,,,,SL,,
maybe,1,Cold Storage,TMP,,,,SL,,
maybe,1,Collective Restraint,INV,,,,,,
main,1,Command Tower,C16,,,,,,
maybe,1,Concealed Courtyard,KLD,,,,,,
maybe,1,Condemn,C17,,,,SL,,
maybe,1,Condescend,5DN,,,,SL,,
main,1,Conjurer's Closet,AVR,,,,,,
maybe,1,Consecrated Sphinx,MBS,,,,,,
maybe,1,Consulate Crackdown,AER,,,,SL,,
main,1,Counterspell,TMP,,,,,,
maybe,1,Crawlspace,C13,,,,,,
maybe,1,Crux of Fate,FRF,,,,SL,,
maybe,1,Cryptic Command,LRW,,,,,,
maybe,1,Curse of the Swine,THS,,,,SL,,
main,1,Cyclonic Rift,MM3,,,,,,
maybe,1,Damnable Pact,DTK,,,,SL,,
maybe,2,Damnation,MM3,,,,,,
main,1,Dark Petition,ORI,,,,,,
maybe,1,Darkslick Shores,SOM,,,,,,
maybe,1,Darksteel Mutation,C13,,,,SL,,
maybe,3,Darksteel Plate,,,,,,,
maybe,1,Daxos of Meletis,THS,,,,SL,,
maybe,1,Daze,EMA,,,,SL,,
maybe,1,Deadly Tempest,C15,,,,SL,,
main,1,Debtors' Knell,GPT,,,,,,
maybe,1,Deja Vu,POR,,,,,,
maybe,1,Descend upon the Sinful,SOI,,,,SL,,
maybe,1,Desertion,,,,,,,
maybe,1,Despark,WAR,,,,,,
maybe,2,Detection Tower,M19,,,,,,
