Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Rector,,,,,,,
main,1,Acidic Slime,,,,,,,
main,1,Altar of Dementia,,,,,,,
maybe,1,Altar of the Brood,,,,,,,
maybe,1,Arashin Sovereign,,,,,,,
main,1,Ash Barrens,,,,,,,
main,1,Ashnod's Altar,,,,,,,
main,1,Beast Within,,,,,,,
main,1,Bifurcate,,,,,,,
main,1,Birds of Paradise,,,,,,,
main,1,Birthing Pod,,,,,,,
main,1,Blighted Woodland,,,,,,,
main,1,Bountiful Promenade,,,,,,,
main,1,Brushland,,,,,,,
main,1,Brutalizer Exarch,,,,,,,
main,1,Buried Ruin,,,,,,,
main,1,Canopy Vista,,,,,,,
main,1,Cloudthresher,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Conqueror's Flail,,,,,,,
main,1,Cornered Market,,,,,,,
main,1,Cultivate,,,,,,,
main,1,Deathrender,,,,,,,
main,1,Defense of the Heart,,,,,,,
main,1,Demonmail Hauberk,,,,,,,
main,1,Dryad Arbor,FUT,,,,,,
main,1,Eidolon of Blossoms,,,,,,,
main,1,Eldrazi Displacer,,,,,,,
main,1,Eldritch Evolution,,,,,,,
maybe,1,Elvish Soultiller,,,,,,,
main,1,Enlightened Tutor,,,,,,,
maybe,1,Epitaph Golem,,,,,,,
main,1,Eternal Witness,,,,,,,
main,10,Forest,,,,,,,
main,1,God-Eternal Rhonas,,,,,,,
main,1,Greater Good,,,,,,,
main,1,Green Sun's Zenith,EMA,,,,,,
main,1,Hall of Heliod's Generosity,,,,,,,
main,1,Hammer of Nazahn,,,,,,,
main,1,Harmonize,,,,,,,
main,1,High Market,,,,,,,
main,1,Horizon Canopy,,,,,,,
main,1,Hornet Queen,,,,,,,
main,1,Idyllic Tutor,,,,,,,
main,1,Inventors' Fair,,,,,,,
maybe,1,Karmic Guide,,,,,,,
main,1,Kozilek's Predator,,,,,,,
main,1,Krosan Grip,,,,,,,
main,1,Krosan Verge,,,,,,,
main,1,Lightning Greaves,,,,,,,
maybe,1,Martyr's Cause,,,,,,,
main,1,Mirage Mirror,,,,,,,
main,1,Mirari's Wake,,,,,,,
maybe,1,Mirri's Guile,,,,,,,
main,1,Mistveil Plains,,,,,,,
maybe,1,Mortarpod,,,,,,,
main,1,Natural Order,,,,,,,
main,1,Nature's Lore,,,,,,,
main,1,"Nazahn, Revered Bladesmith",,foil,,,,,True
main,1,Nim Deathmantle,,,,,,,
main,1,Noxious Revival,,,,,,,
main,1,Pack Hunt,,,,,,,
main,1,Path to Exile,,,,,,,
maybe,1,Pattern of Rebirth,,,,,,,
main,5,Plains,,,,,,,
main,1,Privileged Position,,,,,,,
main,1,Protean Hulk,,,,,,,
maybe,1,Remembrance,,,,,,,
main,1,Reveillark,,,,,,,
main,1,Riftsweeper,MMA,,,,,,
main,1,Saffi Eriksdotter,,,,,,,
main,1,Sakura-Tribe Elder,,,,,,,
main,1,Scavenger Grounds,,,,,,,
main,1,Search for Tomorrow,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Soldevi Digger,ALL,,,,,,
main,1,Song of the Dryads,,,,,,,
main,1,Spy Kit,,,,,,,
main,1,Sterling Grove,,,,,,,
main,1,Stirring Wildwood,,,,,,,
main,1,Stoneforge Mystic,,,,,,,
main,1,Sun Titan,,,,,,,
main,1,Sunpetal Grove,,,,,,,
main,1,Survival of the Fittest,,,,,,,
main,1,Swords to Plowshares,,,,,,,
main,1,Sylvan Library,,,,,,,
main,1,Temple Garden,,,,,,,
main,1,Thragtusk,,,,,,,
main,1,Verdant Succession,,,,,,,
main,1,Vigor,,,,,,,
main,1,Windswept Heath,,,,,,,
main,1,Wood Elves,,,,,,,
main,1,Wooded Bastion,,,,,,,
main,1,Wooded Foothills,,,,,,,
main,1,Worldly Tutor,,,,,,,
main,1,Worldspine Wurm,,,,,,,
main,1,Wrath of God,,,,,,,
