Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Abzan Charm,KTK,foil,,,,,
main,1,Animate Dead,GRV,foil,,,,,
main,1,Arcane Lighthouse,C14,,,,,,
main,1,Ashen Rider,THS,foil,,,,,
main,1,"Athreos, Shroud-Veiled",THB,foil,,,,,
main,1,Beacon of Unrest,2XM,foil,,,,,
main,1,Birds of Paradise,M12,,,,,,
main,1,Blind Obedience,GTC,,,,,,
main,1,Bountiful Promenade,BBD,,,,,,
main,1,Buried Alive,UMA,,,,,,
main,1,Cataclysmic Gearhulk,KLD,pre,,,,,
main,1,Cavalier of Night,M20,pre,,,,,
main,1,Command Tower,CMR,foil,,,,,
main,1,Commander's Sphere,CMR,foil,,,,,
main,1,Courser of Kruphix,000,foil,,,,,
main,1,Cultivate,M21,foil,,,,,
main,1,Dakmor Salvage,MMA,foil,,,,,
main,1,Damn,MH2,foil,,,,,
main,1,Damnation,MM3,,,,,,
main,1,Disciple of Bolas,M13,foil,,,,,
main,1,Doomed Necromancer,2XM,foil,,,,,
main,1,Doomskar,KHM,,,,,,
main,1,Dread Return,GRV,foil,,,,,
main,1,Duneblast,KTK,pre,,,,,
main,1,Eerie Ultimatum,IKO,foil,,,,,
main,1,Embodiment of Agonies,M20,pre,,,,,
main,1,Ever After,SOI,pre,,,,,
main,1,Fabled Passage,000,,,,,,
main,1,Fetid Heath,A25,,,,,,
main,1,Fiend Hunter,UMA,foil,,,,,
main,4,Forest,THB,foil,,,,,
main,1,Godless Shrine,GTC,,,,,,
main,1,Grand Abolisher,M12,,,,,,
main,1,Grave Titan,M12,,,,,,
main,1,Greenseeker,TSP,foil,,,,,
main,1,Greenwarden of Murasa,BFZ,,,,,,
main,1,Hour of Revelation,HOU,pre,,,,,
main,1,Indatha Triome,IKO,foil,,,,,
main,1,Isolated Chapel,DOM,foil,,,,,
main,1,Jarad's Orders,RTR,foil,,,,,
main,1,"Jarad, Golgari Lich Lord",DDJ,foil,,,,,
main,1,Journey to Eternity,RIX,pre,,,,,
main,1,Karmic Guide,EMA,foil,,,,,
main,1,Kodama of the East Tree,CMR,foil,,,,,
main,1,"Kokusho, the Evening Star",IMA,,,,,,
main,1,Life from the Loam,UMA,foil,,,,,
main,1,Lightning Greaves,2XM,foil,,,,,
main,1,Liliana Vess,000,foil,,,,,
main,1,Magister of Worth,000,foil,,,,,
main,1,Marsh Flats,MH2,foil,,,,,
main,1,Merciless Eviction,2XM,foil,,,,,
main,1,Mesmeric Orb,2XM,foil,,,,,
main,1,Oblivion Ring,ALA,foil,,,,,
main,1,Obzedat's Aid,DGM,foil,,,,,
main,1,Overgrown Tomb,RTR,,,,,,
main,1,Pernicious Deed,A25,foil,,,,,
main,4,Plains,THB,foil,,,,,
main,1,Qasali Pridemage,ARB,foil,,,,,
main,1,Ramunap Excavator,HOU,foil,,,,,
main,1,Reanimate,GRV,foil,,,,,
main,1,Sandsteppe Citadel,000,foil,,,,,
main,1,Satyr Wayfinder,BNG,foil,,,,,
main,1,Search for Tomorrow,IMA,foil,,,,,
main,1,Seasons Past,SOI,pre,,,,,
main,1,Sensei's Divining Top,EMA,,,,,,
main,1,Sepulchral Primordial,ZNC,foil,,,,,
main,1,"Sheoldred, Whispering One",000,foil,,,,,
main,1,"Sidisi, Undead Vizier",DTK,pre,,,,,
main,1,Sol Ring,C14,,,,,,
main,1,Stinkweed Imp,MYS1,foil,,,,,
main,1,Sudden Spoiling,TSR,foil,,,,,
main,1,Sun Titan,000,pre,,,,,
main,1,Sunpetal Grove,M12,,,,,,
main,4,Swamp,THB,foil,,,,,
main,1,Swords to Plowshares,STA,,,,,,
main,1,Temple Garden,RTR,,,,,,
main,1,"Teneb, the Harvester",PLC,foil,,,,,True
main,1,Terastodon,000,foil,,,,,
main,1,The Gitrog Monster,SOI,pre,,,,,
main,1,Twilight Mire,A25,,,,,,
main,1,Unburial Rites,ISD,foil,,,,,
main,1,Underrealm Lich,GRN,foil,,,,,
main,1,"Urborg, Tomb of Yawgmoth",UMA,foil,,,,,
main,1,Utter End,000,foil,,,,,
main,1,Verdant Catacombs,MH2,pre,,,,,
main,1,Victimize,EMA,foil,,,,,
main,1,Vindicate,EMA,foil,,,,,
main,1,Windswept Heath,KTK,,,,,,
main,1,Woodland Cemetery,DOM,,,,,,
main,1,World Shaper,RIX,pre,,,,,
main,1,Wrath of God,V14,foil,,,,,
