Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Arcane Signet,,,,,,,
main,1,Beetleback Chief,C14,,,,,,
main,1,Blasphemous Act,ISD,,,,,,
main,1,Breya's Apprentice,MH2,,,,,,
maybe,1,Breya's Apprentice,MH2,,,,,,
main,1,"Chandra, Acolyte of Flame",M20,,,,,,
main,1,Chaos Warp,CMD,,,,,,
main,1,Crawlspace,ULG,foil,,,,,
maybe,1,Cursed Mirror,C21,,,,,,
main,1,Deflecting Swat,C20,,True,,,,
main,1,Descent of the Dragons,DTK,foil,,,,,
main,1,Devastating Summons,ROE,,,,,,
main,1,Dragonmaster Outcast,BFZ,,,,,,
main,1,Dualcaster Mage,EMA,foil,,,,,
main,1,Dwarven Mine,,,,,,,
main,1,Empty the Warrens,TSP,,,,,,
main,1,Emrakul's Hatcher,ROE,,,,,,
main,1,Endless Atlas,C18,,,,,,
main,1,Ensnaring Bridge,8ED,,,,,,
maybe,1,Fabled Passage,M21,,,,,,
main,1,Feldon of the Third Path,C19,,,,,,
main,1,Force of Rage,,foil,,,,,
main,1,Glacial Chasm,V12,foil,,,,,
main,1,Goblin Rally,RTR,,,,,,
main,1,Goblin War Party,MH1,,,,,,
maybe,1,Grim Initiate,WAR,,,,,,
main,1,Grinning Ignus,MMA,,,,,,
main,1,Grixis Panorama,ALA,,,,,,
main,1,Guttersnipe,RTR,,,,,,
main,1,Hammerheim,LEG,,,,SL,,
main,1,Hanweir Battlements,EMN,,,,,,
main,1,Hanweir Garrison,EMN,,,,,,
main,1,Hordeling Outburst,A25,foil,,,,,
main,1,Howling Mine,M10,foil,,,,,
main,1,Jeska's Will,,,,,,,
main,1,Kher Keep,C13,,,,,,
main,1,Krenko's Command,M13,,,,,,
main,1,"Krenko, Mob Boss",M13,,,,,,
main,1,Kuldotha Rebirth,SOM,,,,,,
main,1,Loyal Apprentice,C18,,,,,,
main,1,Magus of the Moon,FUT,,,,,,
main,1,Magus of the Wheel,A25,,,,,,
main,1,Mana Geyser,5DN,,,,,,
main,1,Meekstone,5ED,,,,,FR,
main,1,Mogg Alarm,NMS,,,,,,
main,1,Mogg Infestation,STH,,,,,,
main,1,Mogg War Marshal,EVG,foil,,,,,
main,9,Mountain,,,True,,,,
main,9,Mountain,,,True,,,,
main,9,Mountain,,,True,,,,
main,1,Naya Panorama,ALA,,,,,,
main,1,"Neheb, the Eternal",HOU,pre,,,,,
main,1,Nevinyrral's Disk,4EDFBB,,True,,,IT,
main,1,Norin the Wary,TSP,,True,,,,
main,1,Panharmonicon,KLD,,,,,,
main,1,Pia and Kiran Nalaar,ORI,,,,,,
maybe,1,Prismatic Vista,MH1,,,,,,
main,1,"Purphoros, God of the Forge",SLD,foil,,,,,True
main,1,Pyrohemia,PLC,,,,,,
main,1,Reverberate,PFL,foil,,,,,
main,1,Ruby Medallion,,,,,,,
main,1,Runaway Steam-Kin,GRN,,,,,,
main,1,Shattering Spree,GPT,,,,,,
main,1,Siege-Gang Commander,DOM,pre,,,,,
main,1,Skittering Invasion,ROE,,,,,,
main,1,Skullclamp,C14,,,,,,
main,1,Sol Ring,C13,,,,,,
main,1,Spawning Bed,BFZ,,,,,,
main,1,Spawning Pit,DST,,,,,,
main,1,Spinerock Knoll,LRW,,,,,,
main,1,"Squee, the Immortal",DOM,pre,,,,,
main,1,Temple Bell,C16,,,,,,
main,1,Tempt with Vengeance,C13,,,,,,
main,1,Thatcher Revolt,AVR,,,,,,
main,1,Thopter Assembly,C18,,,,,,
main,1,Tibalt's Trickery,KHM,,,,,,
maybe,1,Tibalt's Trickery,KHM,,,,,,
main,1,Tuktuk the Explorer,C14,,,,,,
main,1,Valakut Awakening,ZNR,,,,,,
main,1,"Valakut, the Molten Pinnacle",000,foil,,,,,
main,1,Wheel of Fortune,3ED,,,,HP,,
main,1,Young Pyromancer,M14,foil,,,,,
