Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ad Nauseam,2XM,,,,,,
main,1,Ancient Tomb,ZNE,,,,,,
main,1,Arcane Signet,C20,,,,,,
main,1,Banehound,WAR,,,,,,
main,1,Buried Alive,UMA,,,,,,
main,1,Cabal Initiate,MH2,,,,,,
main,1,Careful Study,ODY,,,,,,
main,1,Cavern Harpy,PLS,,,,,,
main,1,Cephalid Coliseum,ODY,,,,,,
main,1,Choked Estuary,SOI,,,,,,
main,1,Clearwater Pathway,ZNR,,,,,,
main,1,Command Beacon,C15,,,,,,
main,1,Command Tower,CMR,,,,,,
main,1,Counterspell,STA,,,,,,
main,1,Crackdown Construct,AER,,,,,,
main,1,Cyclonic Rift,2XM,,,,,,
main,1,Damnation,SLD,,,,,,
main,1,Dark Confidant,MM2,,,,,,
main,1,Demonic Tutor,STA,,,,,,
main,1,Dimir Signet,C18,,,,,,
main,1,Disallow,AER,,,,,,
main,1,Drowned Catacomb,XLN,,,,,,
main,1,Entomb,EMA,,,,,,
main,1,Feed the Swarm,ZNR,,,,,,
main,1,Fierce Guardianship,C20,,,,,,
main,1,Force of Will,2XM,,,,,,
main,1,Frantic Search,UMA,,,,,,
main,1,Geier Reach Sanitarium,C19,,,,,,
main,1,Gingerbrute,ELD,,,,,,
main,1,Grim Monolith,ULG,,,,,,
main,1,Grim Tutor,M21,,,,,,
main,1,Hunted Horror,RAV,,,,,,
main,1,Insidious Dreams,TOR,,,,,,
main,1,Intuition,TMP,,,,,,
main,1,Invisible Stalker,ISD,,,,,,
main,8,Island,MID,,,,,,
main,1,Key to the City,KLD,,,,,,
main,1,"Lazav, the Multifarious",GRN,,,,,,True
main,1,Lazotep Plating,WAR,,,,,,
main,1,Lightning Greaves,2XM,,,,,,
main,1,Mana Crypt,2XM,,,,,,
main,1,Mana Drain,CMR,,,,,,
main,1,Mana Vault,UMA,,,,,,
main,1,"Minamo, School at Water's Edge",CHK,,,,,,
main,1,Misdirection,CNS,,,,,,
main,1,Mission Briefing,GRN,,,,,,
main,1,Morphic Pool,ZNE,,,,,,
main,1,Mox Amber,DOM,,,,,,
main,1,Muddle the Mixture,RAV,,,,,,
main,1,Mystic Remora,ICE,,,,,,
main,1,Mystical Tutor,EMA,,,,,,
main,1,Negate,STA,,,,,,
main,1,Nether Traitor,TSP,,,,,,
main,1,Ornithopter,AER,,,,,,
main,1,Otherworldly Gaze,MID,,,,,,
main,1,Phyrexian Dreadnought,,,,,,,
main,1,Pull from Tomorrow,AKH,,,,,,
main,1,Resculpt,STX,,,,,,
main,1,Rhystic Study,JMP,,,,,,
main,1,River of Tears,IMA,,,,,,
main,1,Scorched Ruins,WTH,,,,,,
main,1,Search for Azcanta,XLN,,,,,,
main,1,Shipwreck Marsh,MID,,,,,,
main,1,"Shizo, Death's Storehouse",CHK,,,,,,
main,1,Sol Ring,CMR,,,,,,
main,1,Stifle,CNS,,,,,,
main,1,Sunken Hollow,BFZ,,,,,,
main,1,Suspend,MH2,,,,,,
main,7,Swamp,MID,,,,,,
main,1,Swan Song,C16,,,,,,
main,1,Swiftfoot Boots,CMR,,,,,,
main,1,Tale's End,M20,,,,,,
main,1,Talisman of Dominance,MRD,,,,,,
main,1,The Biblioplex,STX,,,,,,
main,1,Thirst for Knowledge,MMA,,,,,,
main,1,Toxic Deluge,2XM,,,,,,
main,1,Training Grounds,ROE,,,,,,
main,1,Turn Aside,EMN,,,,,,
main,1,Underground River,C16,,,,,,
main,1,Unmarked Grave,MH2,,,,,,
main,1,Vampiric Tutor,CMR,,,,,,
main,1,Vector Asp,SOM,,,,,,
main,1,Wall of Blood,MRD,,,,,,
main,1,Watery Grave,GRN,,,,,,
main,1,Windfall,C15,,,,,,
main,1,Witch's Clinic,C21,,,,,,
main,1,You Come to a River,AFR,,,,,,
