Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
maybe,1,Admiral's Order,,,,,,,
maybe,1,Aetherspouts,,,,,,,
maybe,1,Alluring Siren,,,,,,,
main,1,Amphin Mutineer,,,,,,,
maybe,1,Aphetto Alchemist,,,,,,,
main,1,Arcane Lighthouse,,,,,,,
maybe,1,Arcane Signet,,,,,,,
maybe,1,Ash Barrens,,,,,,,
maybe,1,Aspect of Lamprey,,,,,,,
maybe,1,Asphodel Wanderer,,,,,,,
maybe,1,Astral Cornucopia,,,,,,,
maybe,1,Augur of Skulls,,,,,,,
maybe,1,Avatar of Woe,,,,,,,
main,1,Barren Moor,,,,,,,
maybe,1,Barrier of Bones,,,,,,,
main,1,Bident of Thassa,,,,,,,
maybe,1,Black Sun's Zenith,,,,,,,
maybe,1,Blatant Thievery,,,,,,,
maybe,1,Blood for Bones,,,,,,,
side,1,Blowfly Infestation,SHM,,,,,,
maybe,1,Bojuka Bog,,,,,,,
maybe,1,Bone Flute,,,,,,,
maybe,1,Bone Harvest,,,,,,,
maybe,1,Bone Shards,,,,,,,
maybe,1,Bone Splinters,,,,,,,
maybe,1,Bone to Ash,,,,,,,
main,1,Boneyard Parley,XLN,,,,,,
maybe,1,"Braids, Cabal Minion",,,,,,,
maybe,1,Breaching Leviathan,,,,,,,
main,1,Breaking Wave,,,,,,,
maybe,1,Breathstealer,,,,,,,
maybe,1,Brine Elemental,,,,,,,
maybe,1,Brine Hag,,,,,,,
maybe,1,"Brinelin, the Moon Kraken",,,,,,,
maybe,1,Buoyancy,,,,,,,
main,1,Capsize,TMP,,,,,,
maybe,1,Captain's Hook,,,,,,,
side,1,Carrionette,,,,,,,
maybe,1,Castaway's Despair,,,,,,,
maybe,1,Casting of Bones,,,,,,,
main,1,Cauldron of Souls,,,,,,,
maybe,1,Cephalid Coliseum,,,,,,,
maybe,1,Cerulean Wisps,,,,,,,
maybe,1,Champion of Stray Souls,,,,,,,
maybe,1,Chart a Course,XLN,,,,,,
main,1,Chasm Skulker,,,,,,,
maybe,1,Choice of Damnations,,,,,,,
maybe,1,Choked Estuary,,,,,,,
maybe,1,Cinderbones,,,,,,,
maybe,1,Clattering Augur,,,,,,,
maybe,1,Clever Impersonator,,,,,,,
maybe,1,Coastal Breach,,,,,,,
main,1,Coastal Piracy,,,,,,,
maybe,1,Coastal Piracy,,,,,,,
maybe,1,Coffin Puppets,,,,,,,
side,1,Colossal Whale,000,,,,,,
maybe,1,Conqueror's Galleon,,,,,,,
maybe,1,Conspiracy,,,,,,,
maybe,1,Contagion Clasp,,,,,,,
maybe,1,Contagion Engine,,,,,,,
maybe,1,Contamination,,,,,,,
maybe,1,Contentious Plan,,,,,,,
maybe,1,Coral Atoll,VIS,,,,,,
maybe,1,Coral Barrier,,,,,,,
maybe,1,Corsair Captain,,,,,,,
maybe,1,Costly Plunder,,,,,,,
maybe,1,Counterspell,ME4,,,,,,
maybe,1,Countersquall,,,,,,,
main,1,Cowardice,MMQ,,,,,,
maybe,1,Crab Umbra,,,,,,,
maybe,1,Crashing Tide,,,,,,,
side,1,Crumbling Ashes,EVE,,,,,,
main,1,Crush of Tentacles,,,,,,,
maybe,1,Cursed Flesh,EXO,,,,,,
maybe,1,Customs Depot,,,,,,,
maybe,1,Cyclonic Rift,,,,,,,
main,1,Dance of the Dead,,,,,,,
maybe,1,Daring Saboteur,,,,,,,
maybe,1,Darkslick Shores,,,,,,,
maybe,1,Dead Drop,,,,,,,
main,1,Dead Man's Chest,,,,,,,
main,1,Deadeye Navigator,,,,,,,
maybe,2,Deadeye Navigator,,,,,,,
maybe,1,Deadly Tempest,,,,,,,
maybe,1,Death Baron,,,,,,,
maybe,1,Decree of Pain,SCG,,,,,,
maybe,1,Deep-Sea Kraken,TSP,,,,,,
maybe,1,Deep-Sea Terror,,,,,,,
main,1,Departed Deckhand,,,,,,,
maybe,1,Desperate Castaways,,,,,,,
main,1,Detection Tower,,,,,,,
maybe,1,Devastation Tide,,,,,,,
main,1,Diabolic Edict,TMP,,,,,,
